COMMON.NAME,URL
Nicobar Megapode,
Nicobar Sparrowhawk,
Narcondam Hornbill,
White-headed Starling,
Lesser Florican,
Terek Sandpiper,
Jerdon's Courser,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151487971/2400
Green Avadavat,
Sclater's Monal,
White-bellied Heron,
Snowy-throated Babbler,
Bugun Liocichla,
White-winged Duck,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152842541/2400
Baer's Pochard,
Bengal Florican,
Swamp Grass Babbler,
Northern Pintail,
Lesser Adjutant,
Greater Adjutant,
Bank Myna,
Sirkeer Malkoha,
Common Redshank,
Sulphur-bellied Warbler,
Spot-winged Starling,
Tufted Duck,
Great Crested Grebe,
Yellow-crowned Woodpecker,
Thick-billed Flowerpecker,
Forest Owlet,
Blue-capped Rock-Thrush,
Black-bellied Plover,
Eurasian Curlew,
Slender-billed Gull,
Caspian Tern,
Black-bellied Tern,
Indian Skimmer,
Great White Pelican,
Isabelline Shrike,
Eurasian Oystercatcher,
Sandwich Tern,
Malabar Gray Hornbill,
Black-capped Kingfisher,
Greater Flamingo,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153399251/2400
Macqueen's Bustard,
Common Crane,
Sociable Lapwing,
Pied Avocet,
Egyptian Vulture,
Imperial Eagle,
White-naped Tit,
Ruddy Shelduck,
Western Tragopan,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999601/2400
Slender-billed Vulture,
Brown Dipper,
Wallcreeper,
Tibetan Blackbird,
Kashmir Flycatcher,
Plumbeous Redstart,
Black-headed Gull,
White-rumped Vulture,
Indian Vulture,
Yellow-throated Bulbul,
Nilgiri Sholakili,
White-bellied Blue Flycatcher,
Garganey,
Broad-tailed Grassbird,
Banasura Laughingthrush,
Ashambu Laughingthrush,
Common Merganser,
Bearded Vulture,
Saker Falcon,
Eurasian Crag-Martin,
Lesser Sand-Plover,
Common Greenshank,
Western Reef-Heron,
Red-headed Vulture,
Nilgiri Wood-Pigeon,
Indian Courser,
Pallid Harrier,
Manipur Bush-Quail,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152998361/2400
Slender-billed Oriole,
Naga Wren-Babbler,
Jerdon's Bushchat,
Dark-rumped Swift,
Tawny-breasted Wren-Babbler,
Rufous-gorgeted Flycatcher,
Olive-backed Pipit,
Wreathed Hornbill,
Great Slaty Woodpecker,
Chin Hills Wren-Babbler,
Mount Victoria Babax,
Blyth's Tragopan,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999641/2400
Chestnut-backed Laughingthrush,
Pale-capped Pigeon,
Mangrove Pitta,
Pin-tailed Snipe,
Common Tern,
Bristled Grassbird,
Jerdon's Babbler,
Yellow-eyed Pigeon,
Great Indian Bustard,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153359961/2400
Variable Wheatear,
Blood Pheasant,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999711/2400
Great Parrotbill,
Fulvous Parrotbill,
Hoary-throated Barwing,
Nilgiri Laughingthrush,
White-bellied Sholakili,
Nilgiri Pipit,
Little Tern,
River Tern,
Sarus Crane,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152821921/2400
Cheer Pheasant,
Pallas's Fish-Eagle,
Gray-crowned Prinia,
Finn's Weaver,
Rufous-necked Hornbill,
Brown-winged Kingfisher,
Yellow-breasted Bunting,
Rose-ringed Parakeet,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151436601/2400
Great Hornbill,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151473381/2400
House Sparrow,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153572421/2400
Common Hill Myna,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153138311/2400
Flame-throated Bulbul,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153499061/2400
Black Francolin,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152998781/2400
Asian Koel,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152813911/2400
Indian Roller,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151475881/2400
Indian Paradise-Flycatcher,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153083521/2400
Yellow-footed Green-Pigeon,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153386851/2400
Hume's Pheasant,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999871/2400
Northern Goshawk,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153735771/2400
Asian Emerald Dove,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153732701/2400
Green Imperial-Pigeon,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153345151/2400
Himalayan Monal,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152999511/2400
White-throated Kingfisher,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151464961/2400
Andaman Wood-Pigeon,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151429531/2400
Indian Gray Hornbill,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151473561/2400
Kalij Pheasant,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/153397351/2400
Black-necked Crane,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/152822141/2400
Sooty Tern,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/151489431/2400
