"SCIENTIFIC.NAME"
"Cinnyris jugularis"
"Haliaeetus leucogaster"
"Charadrius mongolus"
"Delichon urbicum/dasypus"
"Montifringilla blanfordi"
"Urosphena pallidipes"
"Haliaeetus ichthyaetus"
"Apus melba"
"Bubulcus ibis"
"Iole indica"
"Cincloramphus palustris"
"Ardea/Egretta/Bubulcus sp."
"Sterna acuticauda/aurantia"
"Charadrius alexandrinus"
"Gallinago stenura/megala"
"Charadrius leschenaultii"
"Charadrius sp."
"Ketupa coromandus"
"Haliaeetus humilis"
"Pycnonotus striatus"
"Apus sp."
"Charadrius mongolus/leschenaultii"
"Brachypodius priocephalus"
"Pluvialis apricaria/dominica/fulva"
"Psilopogon duvaucelii"
"Brachypodius/Rubigula/Pycnonotus sp."
"Haliaeetus humilis/ichthyaetus"
"Chloropsis cochinchinensis"
"Brachypodius fuscoflavescens"
"Chleuasicus atrosuperciliaris"
"Hypsipetes nicobariensis"
"Larus michahellis/cachinnans"
"Serilophus lunatus"
"Gallinago gallinago/stenura"
"Pycnonotus cafer/jocosus"
"Charadrius asiaticus"
"Cyornis concretus"
"Montifringilla taczanowskii"
"Melopsittacus undulatus"
"Glareola pratincola/maldivarum"
"Cairina moschata"
"Anser cygnoides"
"Anser sp. (Domestic type)"
"Stercorarius pomarinus/parasiticus"
"Brachypodius melanocephalos"
"Sylviidae (parrotbill sp.)"
"Taeniopygia guttata"
"Montifringilla ruficollis"
"Ardea intermedia/Bubulcus ibis"
"Dromaius novaehollandiae"
"Harpactes sp."
"Anser anser x cygnoides"
"Meleagris gallopavo"
"Phalaropus lobatus/fulicarius"
"Cygnus atratus"
"Gorsachius magnificus"
"Cairina moschata x Anas platyrhynchos"
"Cygnus sp."
"Numida meleagris"
"Struthio camelus"
"Poodytes/Cincloramphus sp."
"Glareola pratincola/nordmanni"
"Tauraco persa"
"Padda oryzivora"
"Trichoglossus haematodus"
"Geopelia cuneata"
"Aix sponsa"
"Nymphicus hollandicus"
"Charadrius veredus"
"Tringa erythropus/totanus"
"Ixobrychus sinensis/cinnamomeus"
"Trichoglossus moluccanus"
"Stercorarius pomarinus/longicaudus"
"Lorius garrulus"
"Ara ararauna"
"Alaudala sp."
"Coragyps atratus"
"Agapornis fischeri"
"Ara chloropterus"
"Carpodacus edwardsii/rodopeplus"
"Aratinga jandaya"
