"eBird.Scientific.Name.2023","CMS.Appendix.New","CMS.Appendix.Old"
"Dendrocygna javanica","","Appendix II"
"Anas albogularis","","Appendix II"
"Fulica atra","Appendix II",""
"Vanellus duvaucelii","","Appendix II"
"Vanellus malabaricus","","Appendix II"
"Vanellus indicus","","Appendix II"
"Calidris canutus","Appendix II","Appendix I"
"Stercorarius longicaudus","","Appendix II"
"Stercorarius parasiticus","","Appendix II"
"Stercorarius pomarinus","","Appendix II"
"Stercorarius antarcticus","","Appendix II"
"Stercorarius maccormicki","","Appendix II"
"Sternula saundersi","Appendix II","Appendix I"
"Sterna paradisaea","Appendix II",""
"Sterna dougallii","Appendix II",""
"Elanus caeruleus","","Appendix II"
"Aegypius monachus","Appendix II","Appendix I"
"Spilornis klossi","","Appendix II"
"Spilornis cheela","","Appendix II"
"Spilornis elgini","","Appendix II"
"Nisaetus kelaarti","","Appendix II"
"Nisaetus nipalensis","","Appendix II"
"Nisaetus cirrhatus","","Appendix II"
"Lophotriorchis kienerii","","Appendix II"
"Ictinaetus malaiensis","","Appendix II"
"Clanga hastata","","Appendix II"
"Aquila fasciata","","Appendix II"
"Butastur teesa","","Appendix II"
"Butastur liventer","","Appendix II"
"Accipiter trivirgatus","","Appendix II"
"Accipiter butleri","","Appendix II"
"Haliastur indus","","Appendix II"
"Icthyophaga humilis","","Appendix II"
"Icthyophaga ichthyaetus","","Appendix II"
"Asio otus","Appendix II",""
"Pteruthius rufiventer","","Appendix II"
"Pteruthius aeralatus","","Appendix II"
"Pteruthius xanthochlorus","","Appendix II"
"Pteruthius melanotis","","Appendix II"
"Pteruthius intermedius","","Appendix II"
"Erpornis zantholeuca","","Appendix II"
"Pachycephala cinerea","","Appendix II"
"Oriolus xanthornus","","Appendix II"
"Oriolus traillii","","Appendix II"
"Artamus fuscus","","Appendix II"
"Artamus leucorynchus","","Appendix II"
"Tephrodornis sylvicola","","Appendix II"
"Tephrodornis virgatus","","Appendix II"
"Tephrodornis pondicerianus","","Appendix II"
"Hemipus picatus","","Appendix II"
"Rhipidura albicollis","","Appendix II"
"Rhipidura albogularis","","Appendix II"
"Rhipidura aureola","","Appendix II"
"Hypothymis azurea","","Appendix II"
"Lanius minor","Appendix II",""
"Chelidorhynx hypoxanthus","","Appendix II"
"Culicicapa ceylonensis","","Appendix II"
"Orthotomus sutorius","","Appendix II"
"Orthotomus atrogularis","","Appendix II"
"Prinia crinigera","","Appendix II"
"Prinia atrogularis","","Appendix II"
"Prinia khasiana","","Appendix II"
"Prinia superciliaris","","Appendix II"
"Prinia cinereocapilla","","Appendix II"
"Prinia buchanani","","Appendix II"
"Prinia rufescens","","Appendix II"
"Prinia hodgsonii","","Appendix II"
"Prinia lepida","","Appendix II"
"Prinia sylvatica","","Appendix II"
"Prinia flaviventris","","Appendix II"
"Prinia socialis","","Appendix II"
"Prinia inornata","","Appendix II"
"Cisticola juncidis","","Appendix II"
"Cisticola exilis","","Appendix II"
"Locustella kashmirensis","","Appendix II"
"Schoenicola platyurus","","Appendix II"
"Schoenicola striatus","","Appendix II"
"Megalurus palustris","","Appendix II"
"Pnoepyga albiventer","","Appendix II"
"Pnoepyga immaculata","","Appendix II"
"Pnoepyga pusilla","","Appendix II"
"Phylloscopus proregulus","Appendix II",""
"Phylloscopus intermedius","","Appendix II"
"Phylloscopus poliogenys","","Appendix II"
"Phylloscopus burkii","","Appendix II"
"Phylloscopus tephrocephalus","","Appendix II"
"Phylloscopus whistleri","","Appendix II"
"Phylloscopus tenellipes","Appendix II",NA
"Phylloscopus castaniceps","","Appendix II"
"Phylloscopus xanthoschistos","","Appendix II"
"Urosphena squameiceps","Appendix II",""
