"TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","STATE","STATE.CODE","COUNTY","COUNTY.CODE","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","OBSERVER.ID"
"delete","species","delete","Dicrurus leucophaeus","delete","X","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S42193994","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr785271"
"delete","species","delete","Dicrurus leucophaeus","delete","X","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S33813089","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr508410"
"delete","species","delete","Prinia socialis","delete","1","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S33813089","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr508410"
"delete","species","delete","Prinia socialis","delete","1","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S42193994","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr785271"
"delete","species","delete","Anastomus oscitans","delete","4","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S42193994","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr785271"
"delete","species","delete","Anastomus oscitans","delete","4","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S33813089","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr508410"
"delete","species","delete","Hirundo rustica","delete","15","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S33813089","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr508410"
"delete","species","delete","Hirundo rustica","delete","15","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S42193994","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr785271"
"delete","species","delete","Dicrurus macrocercus","delete","X","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S42193994","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr785271"
"delete","species","delete","Dicrurus macrocercus","delete","X","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S33813089","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr508410"
"delete","species","delete","Milvus migrans","delete","2","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S33813089","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr508410"
"delete","species","delete","Milvus migrans","delete","2","Karnataka","IN-KA","Haveri","IN-KA-HV","Tadas à²¤à²¡à²¸","L5294606","H",15.1307348,75.128594,2017-01-13,"S42193994","Traveling","P22",25,0.2,"delete",1,"G2156938","obsr785271"
