"eBird.Scientific.Name.2022","SOIB.Concern.Status.Old","SOIB.Concern.Status.New"
"Anser indicus","Moderate","Low"
"Sarkidiornis melanotos","Low","Moderate"
"Tadorna ferruginea","High","Low"
"Nettapus coromandelianus","Moderate","High"
"Spatula querquedula","High","Low"
"Spatula clypeata","High","Low"
"Mareca strepera","Moderate","Low"
"Mareca falcata","Moderate",NA
"Mareca penelope","Moderate","Low"
"Anas acuta","High","Low"
"Anas crecca","High","Low"
"Marmaronetta angustirostris","High",NA
"Aythya ferina","High","Moderate"
"Aythya nyroca","Moderate","Low"
"Aythya baeri","High",NA
"Aythya fuligula","High","Low"
"Mergus merganser","High","Low"
"Arborophila mandellii","Moderate","High"
"Arborophila rufogularis","Low","Moderate"
"Lerwa lerwa",NA,"Moderate"
"Ithaginis cruentus","High","Moderate"
"Tragopan temminckii","High",NA
"Pucrasia macrolopha","Low","Moderate"
"Galloperdix lunulata","Low","Moderate"
"Polyplectron bicalcaratum","Moderate",NA
"Bambusicola fytchii",NA,"Moderate"
"Perdicula asiatica","Low","Moderate"
"Perdicula argoondah","Moderate","Low"
"Phoenicopterus roseus","High","Low"
"Podiceps cristatus","High","Low"
"Columba leuconota","Moderate","Low"
"Columba palumbus","Moderate",NA
"Columba hodgsonii","Moderate","Low"
"Streptopelia tranquebarica","Low","Moderate"
"Caloenas nicobarica","Moderate",NA
"Treron bicinctus","Moderate","Low"
"Treron chloropterus","Moderate","High"
"Treron phayrei","Moderate",NA
"Treron curvirostra","Low",NA
"Ducula aenea","Low",NA
"Ducula badia","Low",NA
"Syrrhaptes tibetanus",NA,"Moderate"
"Pterocles exustus","Low","Moderate"
"Pterocles indicus","Moderate","Low"
"Chlamydotis macqueenii","High",NA
"Taccocua leschenaultii","High","Moderate"
"Clamator coromandus","Moderate",NA
"Chrysococcyx maculatus","Moderate",NA
"Cacomantis merulinus","Low","Moderate"
"Hierococcyx varius","Low","Moderate"
"Cuculus poliocephalus","Low","Moderate"
"Cuculus micropterus","Low","Moderate"
"Cuculus saturatus","Low","Moderate"
"Cuculus canorus","Low","Moderate"
"Collocalia affinis",NA,"High"
"Hemiprocne coronata","Moderate","High"
"Fulica atra","Low","Moderate"
"Porphyrio poliocephalus","Low","Moderate"
"Gallicrex cinerea","Low","Moderate"
"Rallina eurizonoides",NA,"Moderate"
"Zapornia akool","Low","Moderate"
"Zapornia pusilla","Moderate","Low"
"Anthropoides virgo","High","Low"
"Antigone antigone","High","Moderate"
"Grus grus","High","Moderate"
"Grus nigricollis","Moderate","High"
"Esacus recurvirostris","High","Moderate"
"Burhinus indicus","Low","Moderate"
"Recurvirostra avosetta","High","Moderate"
"Ibidorhyncha struthersii","Moderate",NA
"Haematopus ostralegus","High","Moderate"
"Pluvialis squatarola","High","Moderate"
"Pluvialis fulva","Moderate","High"
"Charadrius dubius","High","Moderate"
"Charadrius placidus","Moderate",NA
"Vanellus duvaucelii","Low","Moderate"
"Vanellus malabaricus","Low","Moderate"
"Anarhynchus atrifrons","High","Moderate"
"Anarhynchus leschenaultii",NA,"Low"
"Anarhynchus alexandrinus","High","Moderate"
"Rostratula benghalensis","Low","Moderate"
"Numenius arquata","High","Moderate"
"Limosa limosa","High","Low"
"Gallinago stenura","High","Moderate"
"Xenus cinereus","High","Low"
"Tringa ochropus","Low","Moderate"
"Tringa stagnatilis","High","Moderate"
"Tringa glareola","Moderate","Low"
"Tringa totanus","High","Moderate"
"Tringa erythropus","High","Low"
"Arenaria interpres","Moderate","Low"
"Calidris pugnax","High","Low"
"Calidris ferruginea","High","Moderate"
"Calidris alba","High","Moderate"
"Calidris alpina","High","Moderate"
"Calidris minuta","High","Moderate"
"Dromas ardeola","Moderate",NA
"Cursorius coromandelicus","High","Moderate"
"Glareola maldivarum","Low","Moderate"
"Chroicocephalus genei","High","Low"
"Chroicocephalus ridibundus","High","Moderate"
"Chroicocephalus brunnicephalus","High","Moderate"
"Ichthyaetus ichthyaetus","Moderate","Low"
"Larus fuscus","Moderate","Low"
"Sternula albifrons","High","Moderate"
"Hydroprogne caspia","High","Moderate"
"Chlidonias hybrida","High","Moderate"
"Sterna hirundo","High","Low"
"Thalasseus sandvicensis","High",NA
"Thalasseus bengalensis","Moderate","Low"
"Ciconia episcopus","Moderate","Low"
"Mycteria leucocephala","Low","Moderate"
"Pelecanus onocrotalus","High","Low"
"Ixobrychus flavicollis","Low","Moderate"
"Ixobrychus cinnamomeus","Low","High"
"Gorsachius melanolophus",NA,"Moderate"
"Egretta gularis","High","Low"
"Butorides striata","Moderate","Low"
"Ardea goliath","Low",NA
"Platalea leucorodia","High","Low"
"Pandion haliaetus","High","Low"
"Elanus caeruleus","Moderate","Low"
"Gypaetus barbatus","High","Moderate"
"Aviceda jerdoni","Low","Moderate"
"Gyps fulvus","High","Moderate"
"Nisaetus kelaarti","Moderate",NA
"Nisaetus nipalensis","Low",NA
"Lophotriorchis kienerii","Low","Moderate"
"Clanga clanga","Low","Moderate"
"Aquila nipalensis","Low","High"
"Aquila chrysaetos","Low","Moderate"
"Circus aeruginosus","High","Low"
"Circus cyaneus","Moderate",NA
"Circus macrourus","High","Moderate"
"Circus melanoleucos","Low",NA
"Circus pygargus","High","Moderate"
"Accipiter trivirgatus","Moderate","Low"
"Accipiter virgatus","Low","Moderate"
"Accipiter nisus","Low","Moderate"
"Icthyophaga humilis","Low","Moderate"
"Buteo refectus",NA,"Low"
"Ketupa zeylonensis","Moderate","Low"
"Harpactes wardi","Moderate","High"
"Buceros bicornis","Low","Moderate"
"Anorrhinus austeni","Moderate","High"
"Alcedo hercules","Moderate",NA
"Ceyx rufidorsa",NA,"Moderate"
"Pelargopsis amauroptera","High",NA
"Halcyon coromanda","Moderate",NA
"Halcyon pileata","High","Moderate"
"Megaceryle lugubris","Moderate","Low"
"Coracias garrulus","Moderate","Low"
"Coracias benghalensis","Moderate","Low"
"Coracias affinis","Low",NA
"Psilopogon malabaricus","Low","Moderate"
