"TAXONOMIC.ORDER","CATEGORY","COMMON.NAME","SCIENTIFIC.NAME","EXOTIC.CODE","OBSERVATION.COUNT","STATE","STATE.CODE","COUNTY","COUNTY.CODE","LOCALITY","LOCALITY.ID","LOCALITY.TYPE","LATITUDE","LONGITUDE","OBSERVATION.DATE","SAMPLING.EVENT.IDENTIFIER","PROTOCOL.TYPE","PROTOCOL.CODE","DURATION.MINUTES","EFFORT.DISTANCE.KM","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","GROUP.IDENTIFIER","OBSERVER.ID"
"delete","species","delete","Eremopterix griseus","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Prinia socialis","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Eudynamys scolopaceus","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Gracupica contra","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Cypsiurus balasiensis","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Lanius vittatus","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Hirundo rustica","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Himantopus himantopus","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Dicrurus macrocercus","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Threskiornis melanocephalus","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Anthus godlewskii","delete","2","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Sturnia pagodarum","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Bubulcus coromandus","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Aegithina tiphia","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Acridotheres tristis","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
"delete","species","delete","Pavo cristatus","delete","X","Telangana","IN-TS","Sangareddy","IN-TS-SR","Mokila","L17433563","H",17.442085,78.2199526,2021-10-19,"S96457668","Traveling","P22",180,10,"delete",1,"G7332907","obsr1461300"
