eBird.English.Name.2025,eBird.Scientific.Name.2025,BLI.Common.Name,BLI.Scientific.Name,IUCN.Category,WPA.Schedule,CITES.Appendix,CMS.Appendix,Onepercent.Estimates,Avilist.English.Name,Avilist.Scientific.Name,Avibase.ID
Fulvous Whistling-Duck,Dendrocygna bicolor,Fulvous Whistling-duck,Dendrocygna bicolor,Least Concern,Schedule-I,,Appendix II,500,Fulvous Whistling Duck,Dendrocygna bicolor,avibase-9A60617E
Lesser Whistling-Duck,Dendrocygna javanica,Lesser Whistling-duck,Dendrocygna javanica,Least Concern,Schedule-II,,Appendix II,10000,Lesser Whistling Duck,Dendrocygna javanica,avibase-BD683E6E
Bar-headed Goose,Anser indicus,Bar-headed Goose,Anser indicus,Least Concern,Schedule-II,,Appendix II,NA,Bar-headed Goose,Anser indicus,avibase-B7159EF0
Graylag Goose,Anser anser,Greylag Goose,Anser anser,Least Concern,Schedule-II,,Appendix II,250,Greylag Goose,Anser anser,avibase-4AED44E8
Greater White-fronted Goose,Anser albifrons,Greater White-fronted Goose,Anser albifrons,Least Concern,Schedule-II,,Appendix II,NA,Greater White-fronted Goose,Anser albifrons,avibase-466E9077
Lesser White-fronted Goose,Anser erythropus,Lesser White-fronted Goose,Anser erythropus,Vulnerable,Schedule-II,,Appendix I,NA,Lesser White-fronted Goose,Anser erythropus,avibase-184D2329
Taiga Bean-Goose,Anser fabalis,Bean Goose,Anser fabalis,Least Concern,Schedule-II,,Appendix II,NA,Taiga Bean Goose,Anser fabalis,avibase-BDB497A3
Tundra Bean-Goose,Anser serrirostris,Not at species rank,Anser fabalis serrirostris,Not recognized,Schedule-II,,Appendix II,NA,Tundra Bean Goose,Anser serrirostris,avibase-AD849FCB
Barnacle Goose,Branta leucopsis,Barnacle Goose,Branta leucopsis,Least Concern,Recent addition,,Appendix II,NA,Barnacle Goose,Branta leucopsis,avibase-3163ED86
Red-breasted Goose,Branta ruficollis,Red-breasted Goose,Branta ruficollis,Vulnerable,Schedule-II,Appendix II,Appendix I,NA,Red-breasted Goose,Branta ruficollis,avibase-0D280B3F
Mute Swan,Cygnus olor,Mute Swan,Cygnus olor,Least Concern,Schedule-II,,Appendix II,NA,Mute Swan,Cygnus olor,avibase-694C127A
Tundra Swan,Cygnus columbianus,Tundra Swan,Cygnus columbianus,Least Concern,Schedule-II,,Appendix II,NA,Tundra Swan,Cygnus columbianus,avibase-0BCBA6B9
Whooper Swan,Cygnus cygnus,Whooper Swan,Cygnus cygnus,Least Concern,Schedule-II,,Appendix II,NA,Whooper Swan,Cygnus cygnus,avibase-BDDB5670
Knob-billed Duck,Sarkidiornis melanotos,Knob-billed Duck,Sarkidiornis melanotos,Least Concern,Schedule-II,Appendix II,Appendix II,250,Knob-billed Duck,Sarkidiornis melanotos,avibase-3948131B
Ruddy Shelduck,Tadorna ferruginea,Ruddy Shelduck,Tadorna ferruginea,Least Concern,Schedule-II,,Appendix II,500,Ruddy Shelduck,Tadorna ferruginea,avibase-1F9D883E
Common Shelduck,Tadorna tadorna,Common Shelduck,Tadorna tadorna,Least Concern,Schedule-II,,Appendix II,1000,Common Shelduck,Tadorna tadorna,avibase-5EAB32D3
