ST_NM,DISTRICT,region
Andaman & Nicobar Island,South Andaman,Island
Andaman & Nicobar Island,North & Middle Andaman,Island
Andaman & Nicobar Island,Nicobar,Island
Andhra Pradesh,Kurnool,Plains
Andhra Pradesh,Anantapur,Plains
Andhra Pradesh,Krishna,Coast
Andhra Pradesh,Chittoor,Plains
Andhra Pradesh,Sri Potti Sriramulu Nellore,Coast
Andhra Pradesh,Visakhapatnam,Coast
Andhra Pradesh,East Godavari,Coast
Andhra Pradesh,West Godavari,Coast
Andhra Pradesh,Srikakulam,Coast
Andhra Pradesh,Vizianagaram,Coast
Andhra Pradesh,Prakasam,Coast
Andhra Pradesh,Guntur,Coast
Andhra Pradesh,Nizamabad,Plains
Andhra Pradesh,Y.s.r.,Plains
Arunanchal Pradesh,Changlang,North-east
Arunanchal Pradesh,East Kameng,North-east
Arunanchal Pradesh,West Kameng,North-east
Arunanchal Pradesh,Lohit,North-east
Arunanchal Pradesh,Tawang,North-east
Arunanchal Pradesh,Lower Dibang Valley,North-east
Arunanchal Pradesh,Anjaw,North-east
Arunanchal Pradesh,Upper Siang,North-east
Arunanchal Pradesh,East Siang,North-east
Arunanchal Pradesh,Dibang Valley,North-east
Arunanchal Pradesh,West Siang,North-east
Arunanchal Pradesh,Papum Pare,North-east
Arunanchal Pradesh,Lower Subansiri,North-east
Arunanchal Pradesh,Tirap,North-east
Arunanchal Pradesh,Upper Subansiri,North-east
Assam,Golaghat,North-east
Assam,Kamrup,North-east
Assam,Kamrup Metropolitan,North-east
Assam,Marigaon,North-east
Assam,Baksa,North-east
Assam,Sonitpur,North-east
Assam,Tinsukia,North-east
Assam,Darrang,North-east
Assam,Jorhat,North-east
Assam,Nagaon,North-east
Assam,Dibrugarh,North-east
Assam,Barpeta,North-east
Assam,Bongaigaon,North-east
Assam,Chirang,North-east
Assam,Goalpara,North-east
Assam,Karimganj,North-east
Assam,Udalguri,North-east
Assam,Sivasagar,North-east
Assam,Dhubri,North-east
Assam,Kokrajhar,North-east
Assam,Karbi Anglong,North-east
Assam,Cachar,North-east
Assam,Lakhimpur,North-east
Assam,Nalbari,North-east
Assam,Dhemaji,North-east
Assam,Dima Hasao,North-east
Assam,Hailakandi,North-east
Bihar,Darbhanga,Plains
Bihar,Madhubani,Plains
Bihar,Araria,Plains
Bihar,Supaul,Plains
Bihar,Patna,Plains
Bihar,Bhagalpur,Plains
Bihar,Munger,Plains
Bihar,Nalanda,Plains
Bihar,Gaya,Plains
Bihar,Vaishali,Plains
Bihar,Pashchim Champaran,Plains
