ST_NM,DISTRICT.SHP,region,DISTRICT
Andaman and Nicobar Islands,Nicobar,Island,Nicobar
Andaman and Nicobar Islands,North and Middle Andaman,Island,North and Middle Andaman
Andaman and Nicobar Islands,South Andaman,Island,South Andaman
Andhra Pradesh,Anantapur,RPeninsulas,Anantapuramu
Andhra Pradesh,Chittoor,RPeninsulas,Chittoor
Andhra Pradesh,East Godavari,Coast,East Godavari
Andhra Pradesh,Guntur,Coast,Guntur
Andhra Pradesh,Krishna,Coast,Krishna
Andhra Pradesh,Kurnool,RPeninsulas,Kurnool
Andhra Pradesh,Prakasam,Coast,Prakasam
Andhra Pradesh,Sri Potti Sriramulu Nellore,Coast,Sri Potti Sriramulu Nellore
Andhra Pradesh,Srikakulam,Coast,Srikakulam
Andhra Pradesh,Visakhapatnam,Coast,Visakhapatnam
Andhra Pradesh,Vizianagaram,Coast,Vizianagaram
Andhra Pradesh,West Godavari,Coast,West Godavari
Andhra Pradesh,Y.S.R.,RPeninsulas,YSR District (Kadapa)
Arunachal Pradesh,Anjaw,North-east,Anjaw
Arunachal Pradesh,Changlang,North-east,Changlang
Arunachal Pradesh,East Kameng,North-east,East Kameng
Arunachal Pradesh,East Siang,North-east,East Siang
Arunachal Pradesh,Kamle,North-east,Kamle
Arunachal Pradesh,Kra Daadi,North-east,Kra Daadi
Arunachal Pradesh,Kurung Kumey,North-east,Kurung Kumey
Arunachal Pradesh,Lepa Rada,North-east,Lepa Rada
Arunachal Pradesh,Lohit,North-east,Lohit
Arunachal Pradesh,Longding,North-east,Longding
Arunachal Pradesh,Lower Dibang Valley,North-east,Lower Dibang Valley
Arunachal Pradesh,Lower Siang,North-east,Lower Siang
Arunachal Pradesh,Lower Subansiri,North-east,Lower Subansiri
Arunachal Pradesh,Namsai,North-east,Namsai
Arunachal Pradesh,Pakke Kessang,North-east,Pakke Kessang
Arunachal Pradesh,Papum Pare,North-east,Papum Pare
Arunachal Pradesh,Shi Yomi,North-east,Shi Yomi
Arunachal Pradesh,Siang,North-east,Siang
Arunachal Pradesh,Tawang,North-east,Tawang
Arunachal Pradesh,Tirap,North-east,Tirap
Arunachal Pradesh,Upper Dibang Valley,North-east,Upper Dibang Valley
Arunachal Pradesh,Upper Siang,North-east,Upper Siang
Arunachal Pradesh,Upper Subansiri,North-east,Upper Subansiri
Arunachal Pradesh,West Kameng,North-east,West Kameng
Arunachal Pradesh,West Siang,North-east,West Siang
Assam,Baksa,North-east,Baksa
Assam,Barpeta,North-east,Barpeta
Assam,Biswanath,North-east,Biswanath
Assam,Bongaigaon,North-east,Bongaigaon
Assam,Cachar,North-east,Cachar
Assam,Charaideo,North-east,Charaideo
Assam,Chirang,North-east,Chirang
Assam,Darrang,North-east,Darrang
Assam,Dhemaji,North-east,Dhemaji
Assam,Dhubri,North-east,Dhubri
Assam,Dibrugarh,North-east,Dibrugarh
Assam,Dima Hasao,North-east,Dima Hasao
Assam,Goalpara,North-east,Goalpara
Assam,Golaghat,North-east,Golaghat
Assam,Hailakandi,North-east,Hailakandi
Assam,Hojai,North-east,Hojai
Assam,Jorhat,North-east,Jorhat
Assam,Kamrup,North-east,Kamrup
Assam,Kamrup Metropolitan,North-east,Kamrup Metropolitan
