"COMMON.NAME","SCIENTIFIC.NAME"
"Alexandrine Parakeet","Psittacula eupatria"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
"Ashy Drongo","Dicrurus leucophaeus"
"Ashy Prinia","Prinia socialis"
"Asian Koel","Eudynamys scolopaceus"
"Asian Openbill","Anastomus oscitans"
"Indian Pied Starling","Gracupica contra"
"Bay-backed Shrike","Lanius vittatus"
"Bar-headed Goose","Anser indicus"
"Baillon's Crake","Zapornia pusilla"
"Bank Myna","Acridotheres ginginianus"
"Barred Buttonquail","Turnix suscitator"
"Barn Swallow","Hirundo rustica"
"Baya Weaver","Ploceus philippinus"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Bengal Bushlark","Mirafra assamica"
"Black-breasted Weaver","Ploceus benghalensis"
"Black-headed Gull","Chroicocephalus ridibundus"
"Black-rumped Flameback","Dinopium benghalense"
"Black-winged Kite","Elanus caeruleus"
"Black-tailed Godwit","Limosa limosa"
"Black-winged Stilt","Himantopus himantopus"
"Black Bittern","Ixobrychus flavicollis"
"Black Drongo","Dicrurus macrocercus"
"Black Kite","Milvus migrans"
"Black Redstart","Phoenicurus ochruros"
"Black-headed Ibis","Threskiornis melanocephalus"
"Black Francolin","Francolinus francolinus"
"Black-necked Stork","Ephippiorhynchus asiaticus"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"Bluethroat","Luscinia svecica"
"Brown-headed Gull","Chroicocephalus brunnicephalus"
"Bonelli's Eagle","Aquila fasciata"
"Booted Warbler","Iduna caligata"
"Brahminy Starling","Sturnia pagodarum"
"Brown-headed Barbet","Psilopogon zeylanicus"
"Barn Owl","Tyto alba"
"Brown Crake","Zapornia akool"
"Bronze-winged Jacana","Metopidius indicus"
"Blue Rock-Thrush","Monticola solitarius"
"Cattle Egret","Bubulcus ibis"
"Chestnut-bellied Sandgrouse","Pterocles exustus"
"Yellow-throated Sparrow","Gymnoris xanthocollis"
"Citrine Wagtail","Motacilla citreola"
"Clamorous Reed Warbler","Acrocephalus stentoreus"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Common Babbler","Argya caudata"
"Common Chiffchaff","Phylloscopus collybita"
"Common Crane","Grus grus"
"Knob-billed Duck","Sarkidiornis melanotos"
"Common Greenshank","Tringa nebularia"
"Common Kingfisher","Alcedo atthis"
"Eurasian Moorhen","Gallinula chloropus"
"Common Myna","Acridotheres tristis"
"Indian Peafowl","Pavo cristatus"
"Common Pochard","Aythya ferina"
"Common Redshank","Tringa totanus"
"Common Rosefinch","Carpodacus erythrinus"
"Common Sandpiper","Actitis hypoleucos"
"Common Shelduck","Tadorna tadorna"
"Common Snipe","Gallinago gallinago"
"Common Tailorbird","Orthotomus sutorius"
"Common Woodshrike","Tephrodornis pondicerianus"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Crested Bunting","Emberiza lathami"
"Crested Lark","Galerida cristata"
"Crested Serpent-Eagle","Spilornis cheela"
"Oriental Darter","Anhinga melanogaster"
"Black-throated Thrush","Turdus atrogularis"
"Delicate Prinia","Prinia lepida"
"Desert Wheatear","Oenanthe deserti"
"Dusky Crag-Martin","Ptyonoprogne concolor"
"Western Yellow Wagtail","Motacilla flava"
"Egyptian Vulture","Neophron percnopterus"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Eurasian Coot","Fulica atra"
"Eurasian Curlew","Numenius arquata"
"Eurasian Hobby","Falco subbuteo"
"Eurasian Spoonbill","Platalea leucorodia"
"European Starling","Sturnus vulgaris"
"Eurasian Wigeon","Mareca penelope"
"Eurasian Wryneck","Jynx torquilla"
"Gadwall","Mareca strepera"
"Garganey","Spatula querquedula"
"Pallas's Gull","Ichthyaetus ichthyaetus"
"Glossy Ibis","Plegadis falcinellus"
"Green-winged Teal","Anas crecca"
"Graylag Goose","Anser anser"
"Gray Heron","Ardea cinerea"
"Great Cormorant","Phalacrocorax carbo"
"Greater Coucal","Centropus sinensis"
"Great Egret","Ardea alba"
"Greater Flamingo","Phoenicopterus roseus"
"Cinereous Tit","Parus cinereus"
"Greenish Warbler","Phylloscopus trochiloides"
"Asian Green Bee-eater","Merops orientalis"
"Green Sandpiper","Tringa ochropus"
"Greater Painted-Snipe","Rostratula benghalensis"
"Greater Spotted Eagle","Clanga clanga"
"Great White Pelican","Pelecanus onocrotalus"
"Gray Francolin","Ortygornis pondicerianus"
"Gray Wagtail","Motacilla cinerea"
"Greater Short-toed Lark","Calandrella brachydactyla"
"Gull-billed Tern","Gelochelidon nilotica"
"Gray-breasted Prinia","Prinia hodgsonii"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis"
"Gray-throated Martin","Riparia chinensis"
"Eurasian Hoopoe","Upupa epops"
"House Crow","Corvus splendens"
"Hume's Warbler","Phylloscopus humei"
"Imperial Eagle","Aquila heliaca"
"Indian Bushlark","Mirafra erythroptera"
"Brown Rock Chat","Oenanthe fusca"
"Indian Cormorant","Phalacrocorax fuscicollis"
"Indian Courser","Cursorius coromandelicus"
"Indian Robin","Copsychus fulicatus"
"Indian Roller","Coracias benghalensis"
"Indian Thick-knee","Burhinus indicus"
"Indian Gray Hornbill","Ocyceros birostris"
"Indian Golden Oriole","Oriolus kundoo"
"Indian Pond-Heron","Ardeola grayii"
"Indian Spotted Eagle","Clanga hastata"
"Indian Scops-Owl","Otus bakkamoena"
"Intermediate Egret","Ardea intermedia"
"Isabelline Shrike","Lanius isabellinus"
"Isabelline Wheatear","Oenanthe isabellina"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Jungle Babbler","Argya striata"
"Kentish Plover","Charadrius alexandrinus"
"Large-billed Crow","Corvus macrorhynchos"
"Large Gray Babbler","Argya malcolmi"
"Laughing Dove","Spilopelia senegalensis"
"Lesser Whitethroat","Curruca curruca"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Little Ringed Plover","Charadrius dubius"
"Little Cormorant","Microcarbo niger"
"Little Egret","Egretta garzetta"
"Little Grebe","Tachybaptus ruficollis"
"Little Stint","Calidris minuta"
"Long-billed Pipit","Anthus similis"
"Long-legged Buzzard","Buteo rufinus"
"Long-tailed Minivet","Pericrocotus ethologus"
"Long-tailed Shrike","Lanius schach"
"Oriental Magpie-Robin","Copsychus saularis"
"Mallard","Anas platyrhynchos"
"Marsh Sandpiper","Tringa stagnatilis"
"Moustached Warbler","Acrocephalus melanopogon"
"Northern Lapwing","Vanellus vanellus"
"Northern Pintail","Anas acuta"
"Northern Shoveler","Spatula clypeata"
"Great Gray Shrike","Lanius excubitor"
"Scaly-breasted Munia","Lonchura punctulata"
"Olive-backed Pipit","Anthus hodgsoni"
"Orange-headed Thrush","Geokichla citrina"
"Oriental Honey-buzzard","Pernis ptilorhynchus"
"Paddyfield Pipit","Anthus rufulus"
"Oriental Pratincole","Glareola maldivarum"
"Oriental Skylark","Alauda gulgula"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Osprey","Pandion haliaetus"
"Paddyfield Warbler","Acrocephalus agricola"
"Pacific Golden-Plover","Pluvialis fulva"
"Painted Sandgrouse","Pterocles indicus"
"Painted Stork","Mycteria leucocephala"
"Peregrine Falcon","Falco peregrinus"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"Pied Avocet","Recurvirostra avosetta"
"Pied Bushchat","Saxicola caprata"
"Plain Prinia","Prinia inornata"
"Plum-headed Parakeet","Psittacula cyanocephala"
"Purple Heron","Ardea purpurea"
"Purple Sunbird","Cinnyris asiaticus"
"Gray-headed Swamphen","Porphyrio poliocephalus"
"Red-breasted Flycatcher","Ficedula parva"
"Red Collared-Dove","Streptopelia tranquebarica"
"Red-crested Pochard","Netta rufina"
"Red Avadavat","Amandava amandava"
"Red-headed Bunting","Emberiza bruniceps"
"Red-necked Falcon","Falco chicquera"
"Red-naped Ibis","Pseudibis papillosa"
"Red-rumped Swallow","Cecropis daurica"
"Red-vented Bulbul","Pycnonotus cafer"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Red-wattled Lapwing","Vanellus indicus"
"River Lapwing","Vanellus duvaucelii"
"River Tern","Sterna aurantia"
"Rose-ringed Parakeet","Psittacula krameri"
"Rosy Pipit","Anthus roseatus"
"Rosy Starling","Pastor roseus"
"Ruddy-breasted Crake","Zapornia fusca"
"Ruddy Shelduck","Tadorna ferruginea"
"Ruff","Calidris pugnax"
"Rufous Treepie","Dendrocitta vagabunda"
"Rufous-tailed Lark","Ammomanes phoenicura"
"Sand Lark","Alaudala raytal"
"Sarus Crane","Antigone antigone"
"Short-eared Owl","Asio flammeus"
"Shikra","Accipiter badius"
"Short-toed Snake-Eagle","Circaetus gallicus"
"Siberian Stonechat","Saxicola maurus"
"Small Minivet","Pericrocotus cinnamomeus"
"Small Pratincole","Glareola lactea"
"Spotted Owlet","Athene brama"
"Spotted Redshank","Tringa erythropus"
"Steppe Eagle","Aquila nipalensis"
"Striated Babbler","Argya earlei"
"Streaked Weaver","Ploceus manyar"
"Streak-throated Swallow","Petrochelidon fluvicola"
"Sulphur-bellied Warbler","Phylloscopus griseolus"
"Sykes's Warbler","Iduna rama"
"Taiga Flycatcher","Ficedula albicilla"
"Tawny Pipit","Anthus campestris"
"Temminck's Stint","Calidris temminckii"
"Tickell's Thrush","Turdus unicolor"
"Tree Pipit","Anthus trivialis"
"Tricolored Munia","Lonchura malacca"
"Tufted Duck","Aythya fuligula"
"Variable Wheatear","Oenanthe picata"
"Verditer Flycatcher","Eumyias thalassinus"
