TaxonID,group,sci_name,ISO3,pp,groupcode,Scientific
22678583,Bird,Megapodius nicobariensis,IND,1,1,22678583
22678649,Bird,Lerwa lerwa,IND,0.150071514,1,22678649
22678652,Bird,Ammoperdix griseogularis,IND,5.48E-04,1,22678652
22678667,Bird,Tetraogallus tibetanus,IND,0.027220679,1,22678667
22678673,Bird,Tetraogallus himalayensis,IND,0.069200609,1,22678673
22678680,Bird,Tetraophasis szechenyii,IND,0.056757782,1,22678680
22678691,Bird,Alectoris chukar,IND,0.019003745,1,22678691
22678719,Bird,Francolinus francolinus,IND,0.417220366,1,22678719
22678722,Bird,Francolinus pictus,IND,0.98926933,1,22678722
22678725,Bird,Francolinus pintadeanus,IND,0.002144563,1,22678725
22678728,Bird,Ortygornis pondicerianus,IND,0.755241022,1,22678728
22678733,Bird,Ortygornis gularis,IND,0.628115581,1,22678733
22678919,Bird,Perdix hodgsoniae,IND,0.015813863,1,22678919
22678944,Bird,Coturnix coturnix,IND,0.079739781,1,22678944
22678949,Bird,Coturnix japonica,IND,0.001003613,1,22678949
22678958,Bird,Coturnix coromandelica,IND,0.892839901,1,22678958
22678979,Bird,Synoicus chinensis,IND,0.19827385,1,22678979
22678997,Bird,Perdicula asiatica,IND,0.998738846,1,22678997
22679002,Bird,Perdicula argoondah,IND,1,1,22679002
22679007,Bird,Perdicula erythrorhyncha,IND,1,1,22679007
22679012,Bird,Perdicula manipurensis,IND,1,1,22679012
22679017,Bird,Arborophila torqueola,IND,0.291360731,1,22679017
22679020,Bird,Arborophila rufogularis,IND,0.193614792,1,22679020
22679023,Bird,Arborophila atrogularis,IND,0.479422392,1,22679023
22679029,Bird,Arborophila mandellii,IND,0.683794172,1,22679029
22679114,Bird,Bambusicola fytchii,IND,0.125963995,1,22679114
22679131,Bird,Galloperdix spadicea,IND,1,1,22679131
22679134,Bird,Galloperdix lunulata,IND,1,1,22679134
22679141,Bird,Ophrysia superciliosa,IND,1,1,22679141
22679144,Bird,Ithaginis cruentus,IND,0.041539364,1,22679144
22679147,Bird,Tragopan melanocephalus,IND,0.749804211,1,22679147
22679157,Bird,Tragopan satyra,IND,0.2789342,1,22679157
22679163,Bird,Tragopan blythii,IND,0.477487865,1,22679163
22679169,Bird,Tragopan temminckii,IND,0.022228069,1,22679169
22679179,Bird,Pucrasia macrolopha,IND,0.051905562,1,22679179
22679182,Bird,Lophophorus impejanus,IND,0.270813823,1,22679182
22679185,Bird,Lophophorus sclateri,IND,0.493452603,1,22679185
22679199,Bird,Gallus gallus,IND,0.199451778,1,22679199
22679203,Bird,Gallus sonneratii,IND,1,1,22679203
22679217,Bird,Lophura leucomelanos,IND,0.242479387,1,22679217
22679312,Bird,Catreus wallichii,IND,0.570427633,1,22679312
22679330,Bird,Syrmaticus humiae,IND,0.079361151,1,22679330
22679435,Bird,Pavo cristatus,IND,0.93022396,1,22679435
22679746,Bird,Dendrocygna bicolor,IND,0.114404894,1,22679746
22679758,Bird,Dendrocygna javanica,IND,0.368219476,1,22679758
22679814,Bird,Oxyura leucocephala,IND,0.051930935,1,22679814
22679881,Bird,Anser albifrons,IND,0.020754927,1,22679881
22679889,Bird,Anser anser,IND,0.076884451,1,22679889
22679893,Bird,Anser indicus,IND,0.332840659,1,22679893
22680003,Bird,Tadorna ferruginea,IND,0.108056476,1,22680003
22680024,Bird,Tadorna tadorna,IND,0.009668316,1,22680024
22680064,Bird,Asarcornis scutulata,IND,0.082202361,1,22680064
22680090,Bird,Nettapus coromandelianus,IND,0.266820641,1,22680090
22680149,Bird,Mareca strepera,IND,0.058851355,1,22680149
22680153,Bird,Mareca falcata,IND,0.038758708,1,22680153
22680157,Bird,Mareca penelope,IND,0.045892686,1,22680157
22680186,Bird,Anas platyrhynchos,IND,0.040458443,1,22680186
22680247,Bird,Spatula clypeata,IND,0.060237558,1,22680247
22680301,Bird,Anas acuta,IND,0.047391858,1,22680301
22680313,Bird,Spatula querquedula,IND,0.068281817,1,22680313
22680321,Bird,Anas crecca,IND,0.075691768,1,22680321
22680339,Bird,Marmaronetta angustirostris,IND,0.025873759,1,22680339
22680344,Bird,Rhodonessa caryophyllacea,IND,0.670796905,1,22680344
22680348,Bird,Netta rufina,IND,0.186291468,1,22680348
22680358,Bird,Aythya ferina,IND,0.086981848,1,22680358
22680373,Bird,Aythya nyroca,IND,0.055676043,1,22680373
22680384,Bird,Aythya baeri,IND,0.038131833,1,22680384
22680391,Bird,Aythya fuligula,IND,0.092270565,1,22680391
22680492,Bird,Mergus merganser,IND,0.013061453,1,22680492
22680500,Bird,Turnix sylvaticus,IND,0.165322633,1,22680500
22680539,Bird,Turnix tanki,IND,0.302785675,1,22680539
22680549,Bird,Turnix suscitator,IND,0.35002639,1,22680549
22680652,Bird,Indicator xanthonotus,IND,0.392580765,1,22680652
22680683,Bird,Jynx torquilla,IND,0.090926714,1,22680683
22680694,Bird,Picumnus innominatus,IND,0.1051065,1,22680694
22680792,Bird,Sasia ochracea,IND,0.107034415,1,22680792
22681060,Bird,Picoides nanus,IND,0.934155299,1,22681060
22681068,Bird,Picoides canicapillus,IND,0.042472637,1,22681068
22681079,Bird,Leiopicus auriceps,IND,0.370018407,1,22681079
22681089,Bird,Dendrocopos atratus,IND,0.102575633,1,22681089
22681092,Bird,Leiopicus mahrattensis,IND,0.816138976,1,22681092
22681105,Bird,Dendrocopos hyperythrus,IND,0.163507801,1,22681105
22681111,Bird,Dendrocopos darjellensis,IND,0.241861573,1,22681111
22681124,Bird,Dendrocopos major,IND,0.001589703,1,22681124
22681133,Bird,Dendrocopos assimilis,IND,0.035122897,1,22681133
22681136,Bird,Dendrocopos himalayensis,IND,0.533930013,1,22681136
22681314,Bird,Micropternus brachyurus,IND,0.241377195,1,22681314
22681376,Bird,Dryocopus javensis,IND,0.0397293,1,22681376
22681379,Bird,Dryocopus hodgei,IND,1,1,22681379
22681431,Bird,Picus chlorolophus,IND,0.324795978,1,22681431
