EnglishName,MinPop,MaxPop,Largest SubPop,Min Breeding Pop Percent,Max Breeding Pop Percent,Male Ratio,Year of Estimation,Source
White-winged Wood-Duck,50,150,50,0.5,0.5,0.5,2023,Ahmed et al. (2023); BirdLife
Jerdon's Courser,1,50,NA,0.75,0.75,0.5,2024,BirdLife
Bugun Liocichla,40,330,105,0.75,0.75,0.5,2024,BirdLife
Narcondam Hornbill,750,1400,NA,0.46,0.53,0.56,2020,Birds of the World; BirdLife
White-bellied Heron,6,10,10,0.5,0.5,0.5,2026,Menzies et al. (2026)
Banasura Laughingthrush,660,2000,400,0.8,0.8,0.5,2016,BirdLife
Ashambu Laughingthrush,12500,16250,NA,0.8,0.8,0.5,2016,BirdLife
Great Indian Bustard,110,150,100,0.5,0.5,0.5,2025,Dutta et al. (2025)
Lesser Florican,712,2456,NA,0.5,0.5,0.5,2018,Dutta et al. (2018); BirdLife
White-rumped Vulture,6000,6000,NA,0.66,0.66,0.5,2015,Prakash et al. 2019;BirdLife
Slender-billed Vulture,900,1100,NA,0.66,0.66,0.5,2015,Prakash et al. 2019;BirdLife
Indian Vulture,7500,22500,NA,0.66,0.66,0.5,2015,Prakash et al. 2019;BirdLife
