SOIBv2.Long.Term.Status,SOIBv2.Current.Status,SOIB.Range.Status,SOIBv2.Priority.Status
Rapid Decline,Rapid Decline,Very Restricted,High
Decline,Rapid Decline,Very Restricted,High
eBird Data Deficient,Rapid Decline,Very Restricted,High
eBird Data Indecisive,Rapid Decline,Very Restricted,High
Stable,Rapid Decline,Very Restricted,High
Increase,Rapid Decline,Very Restricted,High
Rapid Increase,Rapid Decline,Very Restricted,High
Rapid Decline,Decline,Very Restricted,High
Decline,Decline,Very Restricted,High
eBird Data Deficient,Decline,Very Restricted,High
eBird Data Indecisive,Decline,Very Restricted,High
Stable,Decline,Very Restricted,High
Increase,Decline,Very Restricted,Moderate
Rapid Increase,Decline,Very Restricted,Moderate
Rapid Decline,eBird Data Deficient,Very Restricted,NA
Decline,eBird Data Deficient,Very Restricted,NA
eBird Data Deficient,eBird Data Deficient,Very Restricted,High
eBird Data Indecisive,eBird Data Deficient,Very Restricted,NA
Stable,eBird Data Deficient,Very Restricted,NA
Increase,eBird Data Deficient,Very Restricted,NA
Rapid Increase,eBird Data Deficient,Very Restricted,NA
Rapid Decline,eBird Data Indecisive,Very Restricted,High
Decline,eBird Data Indecisive,Very Restricted,High
eBird Data Deficient,eBird Data Indecisive,Very Restricted,High
eBird Data Indecisive,eBird Data Indecisive,Very Restricted,High
Stable,eBird Data Indecisive,Very Restricted,Low
Increase,eBird Data Indecisive,Very Restricted,Moderate
Rapid Increase,eBird Data Indecisive,Very Restricted,Moderate
Rapid Decline,Stable,Very Restricted,High
Decline,Stable,Very Restricted,High
eBird Data Deficient,Stable,Very Restricted,Moderate
eBird Data Indecisive,Stable,Very Restricted,Moderate
Stable,Stable,Very Restricted,Low
Increase,Stable,Very Restricted,Low
Rapid Increase,Stable,Very Restricted,Low
Rapid Decline,Increase,Very Restricted,High
Decline,Increase,Very Restricted,High
eBird Data Deficient,Increase,Very Restricted,Moderate
eBird Data Indecisive,Increase,Very Restricted,Moderate
Stable,Increase,Very Restricted,Low
Increase,Increase,Very Restricted,Low
Rapid Increase,Increase,Very Restricted,Low
Rapid Decline,Rapid Increase,Very Restricted,High
Decline,Rapid Increase,Very Restricted,High
eBird Data Deficient,Rapid Increase,Very Restricted,Moderate
eBird Data Indecisive,Rapid Increase,Very Restricted,Moderate
Stable,Rapid Increase,Very Restricted,Low
Increase,Rapid Increase,Very Restricted,Low
Rapid Increase,Rapid Increase,Very Restricted,Low
Rapid Decline,Rapid Decline,Restricted,High
Decline,Rapid Decline,Restricted,High
eBird Data Deficient,Rapid Decline,Restricted,High
eBird Data Indecisive,Rapid Decline,Restricted,High
Stable,Rapid Decline,Restricted,High
Increase,Rapid Decline,Restricted,Moderate
Rapid Increase,Rapid Decline,Restricted,Moderate
Rapid Decline,Decline,Restricted,High
Decline,Decline,Restricted,High
eBird Data Deficient,Decline,Restricted,High
eBird Data Indecisive,Decline,Restricted,High
Stable,Decline,Restricted,Moderate
Increase,Decline,Restricted,Moderate
Rapid Increase,Decline,Restricted,Moderate
Rapid Decline,eBird Data Deficient,Restricted,NA
Decline,eBird Data Deficient,Restricted,NA
eBird Data Deficient,eBird Data Deficient,Restricted,Moderate
eBird Data Indecisive,eBird Data Deficient,Restricted,NA
Stable,eBird Data Deficient,Restricted,NA
Increase,eBird Data Deficient,Restricted,NA
Rapid Increase,eBird Data Deficient,Restricted,NA
Rapid Decline,eBird Data Indecisive,Restricted,High
Decline,eBird Data Indecisive,Restricted,High
eBird Data Deficient,eBird Data Indecisive,Restricted,Moderate
eBird Data Indecisive,eBird Data Indecisive,Restricted,Moderate
Stable,eBird Data Indecisive,Restricted,Low
Increase,eBird Data Indecisive,Restricted,Low
Rapid Increase,eBird Data Indecisive,Restricted,Low
Rapid Decline,Stable,Restricted,High
Decline,Stable,Restricted,Moderate
eBird Data Deficient,Stable,Restricted,Low
eBird Data Indecisive,Stable,Restricted,Low
Stable,Stable,Restricted,Low
Increase,Stable,Restricted,Low
Rapid Increase,Stable,Restricted,Low
Rapid Decline,Increase,Restricted,Moderate
Decline,Increase,Restricted,Moderate
eBird Data Deficient,Increase,Restricted,Low
eBird Data Indecisive,Increase,Restricted,Low
Stable,Increase,Restricted,Low
