ST_NM,COMMON.NAME,abb
Andhra Pradesh,Rose-ringed Parakeet,ap
Arunachal Pradesh,Great Hornbill,ar
Assam,White-winged Duck,as
Bihar,House Sparrow,bh
Chhattisgarh,Common Hill Myna,ct
Goa,Flame-throated Bulbul,ga
Gujarat,Greater Flamingo,gj
Haryana,Black Francolin,hr
Himachal Pradesh,Western Tragopan,hp
Jharkhand,Asian Koel,jh
Karnataka,Indian Roller,ka
Kerala,Great Hornbill,kl
Madhya Pradesh,Indian Paradise-Flycatcher,mp
Maharashtra,Yellow-footed Green-Pigeon,mh
Manipur,Hume's Pheasant,mn
Meghalaya,Common Hill Myna,ml
Mizoram,Hume's Pheasant,mz
Nagaland,Blyth's Tragopan,nl
Odisha,Indian Roller,or
Punjab,Northern Goshawk,pb
Rajasthan,Great Indian Bustard,rj
Sikkim,Blood Pheasant,sk
Tamil Nadu,Asian Emerald Dove,tn
Telangana,Indian Roller,ts
Tripura,Green Imperial-Pigeon,tr
Uttar Pradesh,Sarus Crane,up
Uttarakhand,Himalayan Monal,ul
West Bengal,White-throated Kingfisher,wb
Andaman and Nicobar Islands,Andaman Wood-Pigeon,an
Chandigarh,Indian Gray Hornbill,ch
Dadra and Nagar Haveli,NA,dh
Daman and Diu,NA,dd
Delhi,House Sparrow,dl
Jammu and Kashmir,Kalij Pheasant,jk
Ladakh,Black-necked Crane,ld
Lakshadweep,Sooty Tern,lk
Puducherry,Asian Koel,pu
