,Species,EOOStartYear,EOOEndYear,LikelyEOO,MaxEOO,EOOMap
1,Red Phalarope,2015,2025,0,321.56,"list(c(74.7760435, 74.7760435, 74.7760435000001, 74.7760435, 18.2887021, 18.2887020999999, 18.2887021, 18.2887021))"
2,Sind Woodpecker,2024,2025,81.52,871.23,"list(c(70.1987314, 70.122386, 69.9912624, 70.0121462, 70.0154097, 70.038188, 70.1987314, 26.7123721, 26.6969974, 26.6671557, 26.6168987, 26.6158534, 26.6138238, 26.7123721))"
3,Lanceolated Warbler,2021,2025,4570.57,29949.7,"list(c(92.7089022, 88.3921481, 88.384617, 88.3833895, 92.70299, 92.7089022, 11.6230323, 22.3638295, 22.3588428, 22.3556806, 11.5054635, 11.6230323))"
4,Pied Triller,2020,2025,847.19,1578.65,"list(c(93.5776403, 93.5192536, 93.492279, 93.1223023, 93.3346687, 93.4016405, 93.5101674, 93.5776403, 7.9949513, 8.1214317, 8.1694431, 8.2695919, 8.0021104, 7.9802479, 7.9862536, 7.9949513))"
5,Rook,2020,2025,2193.29,4562.58,"list(c(75.3391247, 74.7359554, 74.6759176, 74.6940805, 74.9559793, 75.026536, 75.3391247, 33.0711889, 32.8988047, 32.5562449, 32.5124483, 32.5070659, 32.5116436, 33.0711889))"
6,Mrs. Hume's Pheasant,2021,2025,6410.45,12390.18,"list(c(94.5395749, 94.4986186, 92.8298331, 93.2803057, 94.5353918, 94.5391362, 94.5395749, 25.6182138, 25.5801999, 22.8956711, 23.0467099, 25.6035625, 25.6150855, 25.6182138))"
7,Large Blue Flycatcher,2022,2025,28598.81,33267.32,"list(c(96.4445176, 96.3926446, 95.8505066, 95.8041154, 92.3882936, 92.4056228, 92.412126, 92.414745, 92.4204753, 96.4051316, 96.405197, 96.4445176, 27.7103447, 27.9556598, 28.2219129, 28.2272739, 27.3422157, 27.0767549, 27.0176357, 27.0094888, 26.9998708, 27.4770977, 27.4771915, 27.7103447))"
8,Nicobar Sparrowhawk,2021,2025,353.63,1067.29,"list(c(93.547261, 93.5178837, 93.1583745, 93.547261, 8.03097, 8.1802923, 8.2255372, 8.03097))"
9,Baikal Teal,2020,2025,3376.15,11909.05,"list(c(95.3930228, 95.378473, 91.633047, 91.6351065, 91.6527239, 92.079863, 95.3689046, 95.3930228, 27.5765143, 27.5793914, 26.132727, 26.1284477, 26.1140038, 26.208693, 27.5273124, 27.5765143))"
10,Nicobar Jungle Flycatcher,2022,2025,464.91,1036.07,"list(c(93.9323599, 93.932346, 93.932056, 93.8848201, 93.7365007, 93.8610243, 93.9205438, 93.9323599, 7.0076302, 7.01235, 7.013398, 7.1449416, 7.1844846, 6.8234346, 6.9654479, 7.0076302))"
11,Buffy Fish-Owl,2021,2025,474.08,1472.67,"list(c(88.913859, 88.8512442, 88.802911, 88.7717638, 88.7610078, 88.7550855, 88.756981, 88.7833892, 88.875177, 88.913859, 21.860828, 22.0750709, 22.1015283, 22.1079575, 22.0920147, 22.0617018, 21.9896545, 21.7256996, 21.7949467, 21.860828))"
12,Narcondam Hornbill,2024,2025,1.86,412.1,"list(c(94.2753283, 94.275283, 94.2747975, 94.2690367, 94.2584801, 94.2642672, 94.2746777, 94.2753283, 13.4531317, 13.453977, 13.4566632, 13.4608473, 13.4436924, 13.4427655, 13.4525028, 13.4531317))"
13,Arctic Warbler,2014,2025,28898.27,42433.56,"list(c(93.5194726, 93.0695844, 93.0059195, 92.6512088, 92.5292, 93.5194726, 8.110822, 13.3072769, 13.1916492, 11.7646816, 10.5209812, 8.110822))"
14,Andaman Crake,2017,2025,11120.04,16669.57,"list(c(93.0458765, 93.0399933, 93.0151219, 92.9594657, 92.708232, 92.4894773, 92.5044239, 92.5247694, 92.5316798, 92.5632274, 93.0458765, 11.8163803, 13.203509, 13.2467298, 13.3174954, 12.8991297, 10.7247936, 10.5118752, 10.5205384, 10.528654, 10.571181, 11.8163803))"
15,Andaman Teal,2018,2025,12032.77,19365.24,"list(c(93.1211279, 93.0470047, 93.0251543, 92.7018205, 92.5351175, 92.5283495, 92.5322394, 92.5516093, 93.1211279, 12.1452849, 13.2315422, 13.2814655, 13.0893686, 11.5874627, 10.6155166, 10.5940823, 10.5681801, 12.1452849))"
16,Beach Thick-knee,2019,2025,13816.45,21662.11,"list(c(93.1211279, 93.0695844, 92.8814306, 92.8664972, 92.7018205, 92.5369097, 92.4894773, 92.5016822, 92.502508, 92.5064711, 92.5195301, 92.5292, 92.5632274, 93.0615163, 93.1211279, 12.1452849, 13.3072769, 13.4308805, 13.4116029, 13.0893686, 11.5696797, 10.7247936, 10.5111721, 10.5112199, 10.5119952, 10.5158818, 10.5209812, 10.571181, 11.8204009, 12.1452849))"
17,Chinese Francolin,2021,2025,441.44,2377.46,"list(c(94.5747139, 94.5742251, 94.5206827, 94.2883918, 94.5747139, 25.614469, 25.6152265, 25.6230158, 24.3250797, 25.614469))"
18,Roseate Tern,2005,2025,19808.86,64365.43,"list(c(92.7470517, 73.7279391, 92.6151592, 92.616041, 92.7470517, 11.643687, 15.6271801, 11.5107244, 11.5113313, 11.643687))"
19,Kashmir Nuthatch,2022,2025,22996.2,26795.47,"list(c(75.51134, 75.3860569, 74.1247768, 73.9054416, 74.6287017, 74.7810173, 75.2993357, 75.51134, 33.57891, 34.2589729, 36.2118854, 34.10439, 33.651927, 33.6010016, 33.5807675, 33.57891))"
20,Tawny Owl,2022,2025,16630.37,21384.45,"list(c(75.51134, 75.3189343, 74.1292462, 74.062754, 74.650619, 74.6817217, 75.51134, 33.57891, 34.0178835, 36.2093336, 34.159421, 33.8321999, 33.817105, 33.57891))"
