"eBird.English.Name.2022","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8"
"Fulvous Whistling-Duck","   -0.1680795575","  0.02518738561","    0.2184543288","     -1.01145054377"," -0.3587340962","     0.293982351","   -0.357121757659"," -0.12326673590","     0.1105882859","      -0.3211603028","   -0.1155871063","        0.08998609023","    -0.31492836194","  -0.10857179698","      0.0977847680","    -0.43052754967","  -0.13854735378","      0.1534328421","    -0.31207195163"," -0.1316945634","    0.0486828248","    -0.3119343593","  -0.1100219867","      0.0918903858"
"Lesser Whistling-Duck","    0.1394853013","  0.04420573579","   -0.0510738297","      0.25467062098","  0.0661356367","    -0.122399348","    0.183209096822","  0.04725357293","    -0.0887019510","       0.1304718215","    0.0307479404","       -0.06897594060","     0.14091071727","   0.04022355698","     -0.0604636033","     0.13011884926","   0.03822654065","     -0.0536657680","     0.17755782910","  0.0160320134","   -0.1454938024","     0.0669884276","   0.0038308353","     -0.0593267571"
"Bar-headed Goose","    0.0526054723"," -0.04745152663","   -0.1475085256","      0.01025951348"," -0.1034758802","    -0.217211274","    0.010264471966"," -0.06091982595","    -0.1321041239","       0.0076716643","   -0.0527891033","       -0.11324987085","     0.01024024019","  -0.05760039285","     -0.1254410259","     0.03722389884","  -0.03961439100","     -0.1164526808","    -0.00289437780"," -0.0392131114","   -0.0755318450","    -0.0562123214","  -0.0738295722","     -0.0914468230"
"Graylag Goose","    0.1853127568"," -0.29676094697","   -0.7788346508","      0.54750316327"," -0.3343670763","    -1.216237316","    0.307747043533","  0.01201226910","    -0.2837225053","       0.2280144186","   -0.0882639965","       -0.40454241160","     0.23611703274","  -0.10573743670","     -0.4475919061","     0.35878546614","  -0.04696474819","     -0.4527149625","    -0.02478989623"," -0.1460381341","   -0.2672863719","     0.3256269604","   0.0127854607","     -0.3000560391"
"Greater White-fronted Goose","              NA","             NA","              NA","                 NA","            NA","              NA","                NA","             NA","               NA","                 NA","              NA","                   NA","                NA","              NA","                NA","                NA","              NA","                NA","                NA","            NA","              NA","               NA","             NA","                NA"
"Lesser White-fronted Goose","              NA","             NA","              NA","                 NA","            NA","              NA","                NA","             NA","               NA","                 NA","              NA","                   NA","                NA","              NA","                NA","                NA","              NA","                NA","                NA","            NA","              NA","               NA","             NA","                NA"
"Taiga Bean-Goose","              NA","             NA","              NA","                 NA","            NA","              NA","                NA","             NA","               NA","                 NA","              NA","                   NA","                NA","              NA","                NA","                NA","              NA","                NA","                NA","            NA","              NA","               NA","             NA","                NA"
"Tundra Bean-Goose","              NA","             NA","              NA","                 NA","            NA","              NA","                NA","             NA","               NA","                 NA","              NA","                   NA","                NA","              NA","                NA","                NA","              NA","                NA","                NA","            NA","              NA","               NA","             NA","                NA"
"Red-breasted Goose","              NA","             NA","              NA","                 NA","            NA","              NA","                NA","             NA","               NA","                 NA","              NA","                   NA","                NA","              NA","                NA","                NA","              NA","                NA","                NA","            NA","              NA","               NA","             NA","                NA"
"Mute Swan","              NA","             NA","              NA","                 NA","            NA","              NA","                NA","             NA","               NA","                 NA","              NA","                   NA","                NA","              NA","                NA","                NA","              NA","                NA","                NA","            NA","              NA","               NA","             NA","                NA"
