"eBird.English.Name.2022","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8"
"Fulvous Whistling-Duck",-6.24372782184958,-2.03865239272968,2.16642303639022,-10.9128460517098,-3.83751770319614,3.23781064531756,-6.28054623490784,-3.15250946117962,-0.0244726874514014,-6.08253737998253,-3.10669857613547,-0.1308597722884,-5.80918757619193,-2.75168906102965,0.305809454132627,-5.91613189624741,-2.75666005898602,0.402811778275378,-6.7962087592922,-3.47234376535297,-0.148478771413741,-7.98086373772337,-4.63126304718767,-1.28166235665196
"Lesser Whistling-Duck",-1.84124437328124,0.37606843734979,2.59338124798082,-3.37611578491586,0.421747518828502,4.21961082257286,-1.46963756331803,0.463016425237405,2.39567041379284,-1.48014357500386,0.347698487580469,2.17554055016479,-1.47676691649443,0.355134217049947,2.18703535059432,-1.69327830963376,0.162353495143364,2.01798529992049,-1.36554476840143,0.658040633906836,2.6816260362151,-1.75374563134051,0.492993348158013,2.73973232765654
"Bar-headed Goose",-4.71454067701744,-2.39538621046885,-0.0762317439202551,-11.2707785122468,-7.74577958282346,-4.22078065340009,-4.42759470719779,-2.42369664570947,-0.419798584221157,-4.65598345515673,-2.74441143240878,-0.83283940966083,-4.66406212738706,-2.78955763082353,-0.915053134260009,-4.60777307008451,-2.68759208328425,-0.767411096483981,-4.77577205514301,-2.76609338812998,-0.756414721116957,-5.07644538384028,-2.71537773393291,-0.354310084025534
"Graylag Goose",-7.46764336711388,3.44501908929385,14.3576815457016,-15.1735915062861,1.76691926573367,18.7074300377534,-6.76846013687446,1.73471894340348,10.2378980236814,-6.58470311787038,1.72706057893027,10.0388242757309,-6.63065507480064,1.66821356170641,9.96708219821345,-6.77690014434091,1.79860299677143,10.3741061378838,-6.94267228000486,2.27639693240147,11.4954661448078,-8.43701092145887,0.718829037031569,9.87466899552201
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whooper Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knob-billed Duck",-4.62451006767023,-2.6094497901229,-0.594389512575565,-7.8282325418989,-4.33330870457365,-0.8383848672484,-3.66972799984812,-1.89203760665553,-0.114347213462931,-3.85704295711058,-2.17973700218052,-0.502431047250471,-3.81079095467308,-2.14169499045342,-0.472599026233756,-3.94569042736083,-2.25989100342724,-0.57409157949364,-3.83234599592713,-1.96675646711813,-0.101166938309129,-4.2549527989484,-2.14927208555942,-0.0435913721704382
"Ruddy Shelduck",-6.176022745898,-4.39591699737341,-2.61581124884882,-12.5231787208022,-9.54792462186795,-6.57267052293373,-6.02832699667048,-4.51810164882689,-3.0078763009833,-5.95638451171121,-4.50091399485434,-3.04544347799747,-5.94253981525487,-4.50351660709388,-3.06449339893289,-5.81794767191342,-4.3312936780929,-2.84463968427238,-5.9754140577148,-4.37411707404103,-2.77282009036725,-6.77095401609333,-5.04526148776732,-3.31956895944132
"Common Shelduck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose",-5.98442188158619,-4.09475691059201,-2.20509193959784,-9.88285425592341,-6.54577955753051,-3.20870485913761,-5.33010789394906,-3.75501212561316,-2.17991635727726,-5.19580005860319,-3.6528499520268,-2.10989984545041,-5.16908737487065,-3.65431052904565,-2.13953368322065,-5.10401071027528,-3.54144747568619,-1.9788842410971,-5.07848613872903,-3.32928213066083,-1.58007812259263,-6.17739922992035,-4.35446509670294,-2.53153096348553
"Mandarin Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garganey",-8.83530634815253,-7.2829489546354,-5.73059156111827,-12.6394247581165,-9.6611457967939,-6.6828668354713,-7.03950074280391,-5.56832828309938,-4.09715582339486,-6.96196028141648,-5.53557280884826,-4.10918533628005,-6.87782181489116,-5.48066301104167,-4.08350420719217,-6.97163920727175,-5.52812299246948,-4.08460677766721,-6.86136858188482,-5.30806323519786,-3.75475788851091,-7.36335153150655,-5.61133135706949,-3.85931118263244
"Northern Shoveler",-9.62274796304265,-8.0922136780318,-6.56167939302096,-15.4552116964255,-12.8997304350804,-10.3442491737354,-8.28579625379251,-7.05029622645857,-5.81479619912463,-8.13139965730678,-6.91397343733327,-5.69654721735976,-8.09016690149373,-6.89080839881172,-5.69144989612971,-8.02895934715805,-6.78354072805939,-5.53812210896073,-8.04545234834995,-6.6887561171242,-5.33205988589846,-8.75113161147689,-7.19640275638297,-5.64167390128906
"Gadwall",-4.63207469199793,-2.20829853764898,0.215477616699972,-10.570234344767,-6.69612935333881,-2.82202436191066,-4.76850851342344,-2.74795853177773,-0.72740855013203,-4.6236943538502,-2.65078808379677,-0.677881813743346,-4.70197774817177,-2.7593361814871,-0.816694614802424,-4.78376406974392,-2.83072878733197,-0.87769350492003,-4.34297457866216,-2.15626955097436,0.0304354767134445,-5.29616096134595,-2.85167642421367,-0.407191887081392
"Falcated Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Wigeon",-8.02916066604004,-4.62650986550795,-1.22385906497586,-12.9678885846768,-7.38586947532119,-1.80385036596562,-7.14116038711224,-4.57557563987861,-2.00999089264499,-6.90686481380579,-4.30981245408813,-1.71276009437047,-6.98209286364465,-4.40371542425345,-1.82533798486225,-6.83296420878519,-4.15516129040101,-1.47735837201683,-7.14359823336537,-4.25697596530512,-1.37035369724486,-7.7326278949749,-4.52507002088515,-1.31751214679541
"Indian Spot-billed Duck",-2.42173563847137,-0.366986971203817,1.68776169606374,-5.05045786200646,-1.34501796520506,2.36042193159634,-2.50235465003322,-0.68373427429165,1.13488610144992,-2.50252979525635,-0.78339965629825,0.935730482659852,-2.44351817206384,-0.720072247847258,1.00337367636932,-2.37723086272859,-0.558675561134497,1.25987974045959,-2.5946189602732,-0.753795609068796,1.08702774213561,-3.38448727987269,-1.35564057147539,0.673206136921904
"Eastern Spot-billed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallard",-5.34130708627523,-2.75355260359151,-0.165798120907785,-10.4372344295477,-6.1004735302366,-1.76371263092545,-4.12126980442168,-1.56212918607175,0.997011432278174,-4.20351383881378,-1.77182322216876,0.659867394476264,-4.36113484019181,-2.01123505258877,0.338664735014262,-4.53329820899732,-2.16777827278988,0.197741663417562,-4.10521195513998,-1.52404702463742,1.05711790586514,-3.89168182426313,-0.70979246614799,2.47209689196715
"Northern Pintail",-9.31499045243005,-7.59474111970106,-5.87449178697208,-16.8999744766993,-13.9655354484265,-11.0310964201537,-8.70804548039951,-7.31815348824265,-5.92826149608579,-8.56196219213174,-7.17676377002389,-5.79156534791605,-8.46125783696138,-7.09637711765517,-5.73149639834897,-8.46454316537185,-7.06218842574359,-5.65983368611534,-8.53528174631132,-6.98253050471612,-5.42977926312091,-9.5317065551574,-7.82352480193004,-6.11534304870268
"Green-winged Teal",-8.90455413575358,-6.40972933121802,-3.91490452668246,-15.4259431144865,-11.3178128794575,-7.20968264442863,-7.71344299380513,-5.71180958641024,-3.71017617901535,-7.61986723455869,-5.64859647872051,-3.67732572288234,-7.46962623340293,-5.53670106486323,-3.60377589632354,-7.72680450152471,-5.74585602404492,-3.76490754656512,-7.72742167015698,-5.5346579859271,-3.34189430169723,-8.1835339832343,-5.68694285368792,-3.19035172414154
"Andaman Teal",1.92888949066024,9.44647238045117,16.9640552702421,-0.157868574929639,13.6330589955335,27.4239865659966,0.0630743259340152,6.8721446684951,13.6812150110562,1.36281791453905,8.80900315021819,16.2551883858973,0.965693583828521,8.2197837358237,15.4738738878189,1.80775131674951,9.14859136595618,16.4894314151628,0.0121602993647247,7.12177338030939,14.2313864612541,2.25675920516554,12.3039185809775,22.3510779567894
"Marbled Teal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pink-headed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-winged Duck",-5.27241295959841,6.68375875875413,18.6399304771067,-13.2822979331722,8.16871605751318,29.6197300481986,-5.75390146098919,3.55843569825143,12.870772857492,-5.2902997147763,6.60095254411843,18.4922048030132,-4.5089478373595,5.49642611247277,15.501800062305,-6.63984834779795,3.03191544122262,12.7036792302432,-5.41103387183941,6.5381239501584,18.4872817721562,-6.26285812445295,8.4252591839785,23.11337649241
"Red-crested Pochard",-3.31168281653918,-0.584927530626935,2.14182775528531,-5.65877098986345,-0.534294544514833,4.59018190083378,-2.81990398982433,-0.354737960220635,2.11042806938306,-2.40807156378415,0.133938757737638,2.67594907925942,-2.70535763548086,-0.270985033349595,2.16338756878167,-2.6268686715956,-0.113963096031414,2.39894247953277,-2.11457633533297,0.654738260685789,3.42405285670454,-2.12494711014365,1.10550131098171,4.33594973210708
"Common Pochard",-6.48257283989599,-3.44842859824352,-0.414284356591059,-13.9800384087004,-9.44466734047674,-4.90929627225308,-6.8862831558922,-4.6116236094449,-2.3369640629976,-6.58419725429416,-4.23908945981996,-1.89398166534575,-6.75312323142253,-4.46621878957642,-2.1793143477303,-6.84935207104057,-4.49767668723867,-2.14600130343676,-6.49106696908563,-3.91489595522321,-1.33872494136079,-6.82395434582126,-3.78028101125444,-0.736607676687611
"Ferruginous Duck",-7.85543469469851,-3.57542579396691,0.704583106764685,-14.3435512577415,-6.84733152267374,0.648888212393998,-6.75324616735939,-2.98389018309861,0.785465801162176,-6.55636474532478,-2.74904994658002,1.05826485216474,-6.76932980212587,-3.08913310878466,0.59106358455655,-6.89833112831437,-3.22768105358516,0.442969021144053,-6.25007994751753,-1.9883467730105,2.27338640149652,-6.71432617421612,-1.84151568590401,3.0312948024081
"Baer's Pochard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tufted Duck",-7.3892274576508,-4.65707367720043,-1.92491989675007,-14.1235127099624,-9.66316789600905,-5.20282308205573,-7.14343737249238,-4.97688364956362,-2.81032992663486,-6.97023016782152,-4.81453053806627,-2.65883090831102,-7.1239294035798,-5.0202968428063,-2.91666428203281,-6.89401983559784,-4.67945698899815,-2.46489414239846,-6.76533664279037,-4.28159950415329,-1.7978623655162,-7.91637822455396,-5.32208085087968,-2.7277834772054
"Greater Scaup",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Long-tailed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Goldeneye",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Smew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Merganser",-9.95139103819534,-7.23505792181494,-4.51872480543453,-21.5112544667524,-17.2959977830135,-13.0807410992745,-10.0003414073041,-7.46366419562666,-4.92698698394925,-10.0092207160259,-7.63213973277481,-5.25505874952373,-9.89255736319342,-7.59971056729924,-5.30686377140506,-10.0041549655179,-7.62906170783061,-5.25396845014336,-9.55616584321292,-6.85901868722441,-4.1618715312359,-11.0792762165187,-8.10929168087227,-5.13930714522584
"Red-breasted Merganser",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-headed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicobar Scrubfowl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
