"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1992,"Fulvous Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Fulvous Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Fulvous Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Fulvous Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Fulvous Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Fulvous Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Fulvous Whistling-Duck","2015",-4.76162417925278,0.111876568830289,0.00684433332805503,0.00851524675521129,0.0105919015209255,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Fulvous Whistling-Duck","2016",-4.73936408194768,0.109363356701072,0.00703229088930331,0.00870608564373363,0.0107761027549913,NA,NA,NA,76.2308474102076,102.241143375035,141.690032112213,NA,NA,NA,76.2308474102076,102.241143375035,141.690032112213
2017,"Fulvous Whistling-Duck","2017",-4.958473364883,0.107111299010793,0.00567742801440838,0.00699903406265293,0.0086269497856196,NA,NA,NA,60.5865097615313,82.1941426226968,112.514934764179,NA,NA,NA,60.5865097615313,82.1941426226968,112.514934764179
2018,"Fulvous Whistling-Duck","2018",-5.12611515313911,0.112839313933917,0.004749766570325,0.00592198561580878,0.00738242785722429,NA,NA,NA,51.3875820478238,69.545672439669,93.5360355502565,NA,NA,NA,51.3875820478238,69.545672439669,93.5360355502565
2019,"Fulvous Whistling-Duck","2019",-5.15889098218454,0.108863277003372,0.00463284600373298,0.00573158231336598,0.00708996793918854,NA,NA,NA,50.3490340031658,67.3096444311291,91.9834733123639,NA,NA,NA,50.3490340031658,67.3096444311291,91.9834733123639
2020,"Fulvous Whistling-Duck","2020",-5.06985143252835,0.108101794509679,0.00507072392891435,0.00626365458750909,0.00773613932189929,NA,NA,NA,54.3215450491449,73.5581101472576,98.7773718921817,NA,NA,NA,54.3215450491449,73.5581101472576,98.7773718921817
2021,"Fulvous Whistling-Duck","2021",-4.96261483554692,0.104475542069435,0.00568323159178735,0.00697020875547105,0.00854736905324131,NA,NA,NA,61.8799319725977,81.8556285665512,114.309717085005,NA,NA,NA,61.8799319725977,81.8556285665512,114.309717085005
2022,"Fulvous Whistling-Duck","2022",-4.93187971365735,0.106347217449824,0.0058387021694267,0.00718698151838196,0.00884521924979602,NA,NA,NA,63.0918336324887,84.4013300493444,113.610043883882,NA,NA,NA,63.0918336324887,84.4013300493444,113.610043883882
2023,"Fulvous Whistling-Duck","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.4511617309499,72.1653758687806,94.2333901481103,55.4511617309499,72.1653758687806,94.2333901481103
2024,"Fulvous Whistling-Duck","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3726855193504,70.0761039456083,96.0365100779412,51.3726855193504,70.0761039456083,96.0365100779412
2025,"Fulvous Whistling-Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5499997836806,68.0654127951003,98.0428869617993,47.5499997836806,68.0654127951003,98.0428869617993
2026,"Fulvous Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.9918897831612,66.130026903286,100.215997780915,43.9918897831612,66.130026903286,100.215997780915
2027,"Fulvous Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.692983058085,64.2668225157745,102.536528498778,40.692983058085,64.2668225157745,102.536528498778
2028,"Fulvous Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.6414173175134,62.4728201319906,104.994454299023,37.6414173175134,62.4728201319906,104.994454299023
2029,"Fulvous Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.8225353051791,60.7451773964715,107.585118734008,34.8225353051791,60.7451773964715,107.585118734008
1992,"Lesser Whistling-Duck","before 2000",-2.84928898455357,0.0652398780150523,0.0496617775071717,0.0562419642048541,0.0636644339723582,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Lesser Whistling-Duck","2000-2006",-2.71817962106245,0.0672386680054718,0.0562049137325003,0.0638642497060042,0.0725266461692525,94.5551176726946,113.552665894432,136.59962185196,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",-2.63243555317625,0.0626215570054859,0.0616178138786732,0.0693789545667786,0.0780763267471817,102.760517597696,123.357986421091,146.151070930647,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",-2.36481977723755,0.0590321395347932,0.0802923751522796,0.0896865003565097,0.100118648478668,133.10178730248,159.465448308025,188.13277158461,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",-2.37675059987368,0.0586367592750503,0.0794379823173867,0.0886714512764213,0.0989193140296879,133.993889685395,157.660658780421,186.591397619285,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",-2.63532792118411,0.0575023803182714,0.0620454239565615,0.0691856725887565,0.0771133122845903,105.029374163186,123.014324920724,145.680802802432,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",-2.78217622550975,0.0573738939615258,0.0538172451549565,0.0600265458608711,0.0669265750962535,91.6594816390867,106.729106476851,125.953196533744,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",-2.79805704038092,0.0570512283148417,0.0530248305812664,0.0591093280439661,0.0658674007083368,90.4510204417477,105.098264044741,125.233391275625,84.1454714744489,98.4719796820712,116.419689446907,NA,NA,NA,84.1454714744489,98.4719796820712,116.419689446907
2017,"Lesser Whistling-Duck","2017",-2.75292360471227,0.0560877282223636,0.0555055419018095,0.0617522455935431,0.0686760472668518,92.4331139485974,109.797455452691,129.043082157464,87.9797037192447,102.874894278728,120.016645429365,NA,NA,NA,87.9797037192447,102.874894278728,120.016645429365
2018,"Lesser Whistling-Duck","2018",-2.78986714403132,0.055107608317575,0.0536474455094257,0.0595806391424229,0.0661467780970827,89.2713399933728,105.936270158361,126.376209714188,85.1786118451237,99.2571507954469,115.18961867909,NA,NA,NA,85.1786118451237,99.2571507954469,115.18961867909
2019,"Lesser Whistling-Duck","2019",-2.75406500586884,0.0569367654445763,0.0553544242569519,0.0616840204791936,0.0687106915688832,93.7110129349753,109.676149030851,130.328327533389,87.9257200370444,102.761236040741,120.237404848962,NA,NA,NA,87.9257200370444,102.761236040741,120.237404848962
2020,"Lesser Whistling-Duck","2020",-2.71420590344527,0.0553404970882668,0.0577143497011107,0.0641102023707617,0.0711876739315515,96.5993289548585,113.989977549946,132.369086137927,93.1735981760909,106.803084287668,123.681751438187,NA,NA,NA,93.1735981760909,106.803084287668,123.681751438187
2021,"Lesser Whistling-Duck","2021",-2.7908262606592,0.0558722627877703,0.0535193394126265,0.0595252565079254,0.0661812725526385,91.3520794484373,105.837798073894,125.368994054066,85.1486088214606,99.164887224883,115.417623061437,NA,NA,NA,85.1486088214606,99.164887224883,115.417623061437
2022,"Lesser Whistling-Duck","2022",-2.76259338390296,0.0555913993034907,0.0550383820962617,0.0611765542625578,0.0679743241790788,92.031105129571,108.773857967922,128.470008562756,87.5669747834057,101.91583304552,118.643571618905,NA,NA,NA,87.5669747834057,101.91583304552,118.643571618905
2023,"Lesser Whistling-Duck","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.1779093695305,103.140622565856,113.031710061335,94.1779093695305,103.140622565856,113.031710061335
2024,"Lesser Whistling-Duck","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.0322457562131,103.55909892408,115.384233516045,93.0322457562131,103.55909892408,115.384233516045
2025,"Lesser Whistling-Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.8673574824366,103.986934092059,117.851758360819,91.8673574824366,103.986934092059,117.851758360819
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.699174501726,104.424229953708,120.419813906309,90.699174501726,104.424229953708,120.419813906309
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.5367431781157,104.871090953357,123.080899026791,89.5367431781157,104.871090953357,123.080899026791
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.3854240085786,105.327624137002,125.831286479605,88.3854240085786,105.327624137002,125.831286479605
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.2484879004972,105.793939194675,128.669428781178,87.2484879004972,105.793939194675,128.669428781178
1992,"Bar-headed Goose","before 2000",-3.98739151002889,0.0854133447743308,0.0155664727357994,0.0183770772579434,0.021689534324579,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Bar-headed Goose","2000-2006",-4.1508748700128,0.0805112809233748,0.0133612692901906,0.0156272382031089,0.0182739256153671,68.035291210384,85.0365810828491,106.231689634491,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Bar-headed Goose","2007-2010",-4.26791527701613,0.0917898781088307,0.0116357882384632,0.0139132649853778,0.0166327488077463,58.4316571941044,75.7098900444784,94.5719775744232,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Bar-headed Goose","2011-2012",-3.99155389146764,0.0807090301760803,0.0156447878839098,0.0183014466430267,0.0214043086638479,80.0154275678805,99.5884513415538,124.842994939328,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Bar-headed Goose","2013",-3.94521607607224,0.0741243182258628,0.0165916866779186,0.019161082737913,0.0221238802525707,85.0040604216446,104.266214202428,129.132462708331,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Bar-headed Goose","2014",-4.09709171753223,0.0728772105252035,0.0143052783775742,0.0164835777976627,0.0189903643727273,72.5279171442316,89.6964058337281,111.414971396406,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Bar-headed Goose","2015",-4.17859930087418,0.0703420333713495,0.0132582441051001,0.015203197714792,0.0174309423453764,66.9847967729966,82.7291385969466,104.256641190176,100,100,100,NA,NA,NA,100,100,100
2016,"Bar-headed Goose","2016",-4.43338389485501,0.0711022994619822,0.0102764054745369,0.0118040198510831,0.0135571584464747,51.2209926405602,64.2323024787899,80.2971157849242,65.0308022367889,77.6416913896896,95.0265338277719,NA,NA,NA,65.0308022367889,77.6416913896896,95.0265338277719
2017,"Bar-headed Goose","2017",-4.16926381325649,0.0661310287817067,0.0134919128755644,0.0153446918925302,0.0174496458172953,67.9566270056921,83.499087897111,102.798131115231,82.9605651714386,100.930686954104,120.850850242195,NA,NA,NA,82.9605651714386,100.930686954104,120.850850242195
2018,"Bar-headed Goose","2018",-4.22097162264622,0.0671064278246821,0.0127920600868667,0.0145770803470237,0.0166090821494659,64.4569381203345,79.3220823007797,97.3812021659726,78.4472847275241,95.8816731880094,114.485473778378,NA,NA,NA,78.4472847275241,95.8816731880094,114.485473778378
2019,"Bar-headed Goose","2019",-4.35464341502186,0.064332393915109,0.0112611998127721,0.0127648491219073,0.0144677996479268,56.0538988355906,69.4607142514447,84.3445498779479,69.5418020615108,83.9616070340763,100.129879572452,NA,NA,NA,69.5418020615108,83.9616070340763,100.129879572452
2020,"Bar-headed Goose","2020",-4.40682342350407,0.0669176210846759,0.0106379798296354,0.0121198078323647,0.0138066042361263,53.2740901182283,65.9506822670941,80.498169039816,66.7771703670601,79.7188069229192,96.6746588376623,NA,NA,NA,66.7771703670601,79.7188069229192,96.6746588376623
2021,"Bar-headed Goose","2021",-4.41243194631022,0.0675976651145708,0.0105647830490239,0.0120524340118484,0.0137481050305227,53.0865814199781,65.5840634649275,80.0426256492807,66.0967311887738,79.2756513330215,95.5098810592491,NA,NA,NA,66.0967311887738,79.2756513330215,95.5098810592491
2022,"Bar-headed Goose","2022",-4.44777151743209,0.0641581172893345,0.0102684646688474,0.0116363888633565,0.0131853254149682,51.8820851537208,63.3201281140977,77.2021590924267,62.8257936821229,76.5390879054007,91.5931312490297,NA,NA,NA,62.8257936821229,76.5390879054007,91.5931312490297
2023,"Bar-headed Goose","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.4292994695812,75.5793438787109,90.1898890719922,63.4292994695812,75.5793438787109,90.1898890719922
2024,"Bar-headed Goose","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6653662186756,73.3605503610547,90.3846325749822,59.6653662186756,73.3605503610547,90.3846325749822
2025,"Bar-headed Goose","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.0844801718471,71.2148300966707,90.6754108252384,56.0844801718471,71.2148300966707,90.6754108252384
2026,"Bar-headed Goose","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6972801385408,69.1395716335607,91.0343439296463,52.6972801385408,69.1395716335607,91.0343439296463
2027,"Bar-headed Goose","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5038178904416,67.1322630432519,91.4453547413908,49.5038178904416,67.1322630432519,91.4453547413908
2028,"Bar-headed Goose","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4989737013233,65.1904879198407,91.8986677539819,46.4989737013233,65.1904879198407,91.8986677539819
2029,"Bar-headed Goose","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6751054181027,63.3119215474089,92.3880807340325,43.6751054181027,63.3119215474089,92.3880807340325
1992,"Graylag Goose","before 2000",-4.43667022359521,0.220396270303658,0.00765431046072013,0.0117655203621798,0.0180647161999439,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Graylag Goose","2000-2006",-4.64609591440396,0.228153594772039,0.00611907506473138,0.00955308082242496,0.0148997416105977,44.071239772482,81.1955657578333,158.697023693484,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Graylag Goose","2007-2010",-4.67167095034144,0.219938452651286,0.00606155580666693,0.00931298502341127,0.0142959002330369,42.7423823169988,79.1548927436123,142.725846767291,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Graylag Goose","2011-2012",-4.43527583628517,0.220339906449111,0.00766579350490788,0.0117818404038936,0.0180877134703541,54.9390063537848,100.138710751513,172.87416357032,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Graylag Goose","2013",-4.52843725119103,0.221637216590251,0.00696860194471691,0.0107394525759899,0.0165337307895654,48.2762429376322,91.2790275771552,171.060624702069,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Graylag Goose","2014",-4.77956419252551,0.220251537258027,0.00543996108550883,0.0083644802349177,0.0128510293230784,37.858058264987,71.0931601614943,129.075690413925,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Graylag Goose","2015",-4.87865888196662,0.216854253628719,0.004960847008504,0.00757834776978927,0.0115688740356745,35.2195151041793,64.4114967847052,115.70169496554,100,100,100,NA,NA,NA,100,100,100
2016,"Graylag Goose","2016",-5.09881275113426,0.218036359287777,0.00397331718260209,0.00608539772399298,0.00931492684259486,27.2007419295818,51.7222998785032,97.5955973785205,43.1348276179152,80.2997950061376,144.168715899084,NA,NA,NA,43.1348276179152,80.2997950061376,144.168715899084
2017,"Graylag Goose","2017",-4.94820958182488,0.216288784811082,0.00463343491970009,0.00707098466562671,0.0107839117842026,33.5689604679581,60.0992089423971,109.51531718136,50.4671178017433,93.3050960502877,164.831912354159,NA,NA,NA,50.4671178017433,93.3050960502877,164.831912354159
2018,"Graylag Goose","2018",-4.92198637732241,0.215937189810155,0.00475952329478808,0.00725817768345539,0.0110612664861297,31.351030539581,61.6902394456498,108.533990371219,51.8850262929979,95.7751993434476,179.078582956265,NA,NA,NA,51.8850262929979,95.7751993434476,179.078582956265
2019,"Graylag Goose","2019",-4.91025984630919,0.215083668276315,0.00482357230352747,0.00734347680620124,0.0111724065644776,34.6527871214383,62.4152317971997,114.871606074569,54.1096703711944,96.9007629271868,176.339582852888,NA,NA,NA,54.1096703711944,96.9007629271868,176.339582852888
