"eBird.English.Name.2024","eBird.Scientific.Name.2024","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","rangelci","rangemean","rangerci","SoIB.Latest.Long.Term.Status","SoIB.Latest.Current.Status","SoIB.Latest.Range.Status","SoIB.Latest.Priority.Status","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Fulvous Whistling-Duck","Dendrocygna bicolor","fuwduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Data Deficient","Uncertain","Moderate","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Fulvous Whistling-Duck","Dendrocygna bicolor","Fulvous Whistling-duck","Dendrocygna bicolor","Least Concern","Schedule-I","","Appendix II",500,"","X","X",169,0.0355029585798817,0.32396449704142,0.520710059171598,13.1005917159763,0.936314578558594,88.3306252044968,105.588075888015,126.464699624952,87.0848521758491,106.813523748484,131.348690486329,85.8164787493877,108.06952568121,136.540285626096,84.5446787044798,109.356840110244,142.031235853006,83.2812188047819,110.676248864987,147.821417747221,82.0334894286334,112.028557930555,153.915840008644,80.8061973987703,113.414598224524,160.322990048302,79.6023479134271,114.835226401014,167.053894067577,NA,NA,NA,-1.62880875215231,1.21687247676468,4.06255370568168,174862,175424,175986,"Insufficient Data","Stable","Moderate","Low","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Lesser Whistling-Duck","Dendrocygna javanica","lewduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Moderate Decline","Very Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Lesser Whistling-Duck","Dendrocygna javanica","Lesser Whistling-duck","Dendrocygna javanica","Least Concern","Schedule-II","","",10000,"X","X","X",2389,0.0527417329426538,0.382743825868564,0.580577647551277,10.2997069903725,0.258392725037699,95.6183362030456,102.077261417654,108.993004868888,94.7497458120785,102.113940233828,110.077684606406,93.8675476954572,102.15200302826,111.202691054577,92.9793487737818,102.191450477877,112.360480687865,92.0899313990588,102.232283315872,113.546339912746,91.2024062631815,102.274502331677,114.757232178138,90.3188551301485,102.318108370929,115.991155263495,89.4407032361035,102.363102335453,117.246768900473,17.980076967945,33.60229366374,51.324462436643,-0.686789008922859,0.0281786765277972,0.743146361978453,1971969,1972508,1973047,"Trend Inconclusive","Stable","Very Large","Low","Stable","Stable","Very Large","Low"
"Bar-headed Goose","Anser indicus","bahgoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant & Localized Summer Migrant",1,NA,NA,"Bar-headed Goose","Anser indicus","Bar-headed Goose","Anser indicus","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",885,0.0779661016949153,0.30819209039548,0.411299435028249,11.5118644067797,0.438146764390647,59.8514577204175,70.540006128241,83.2252916406196,56.8424981998865,68.6062478370945,82.9194618810803,53.956755735344,66.7303999703468,82.6744042279371,51.2007152740381,64.9106093297314,82.4737776303377,48.5754326117182,63.1450852846981,82.3072395626101,46.0789659885364,61.4320975630006,82.1679809521466,43.7077096992669,59.7699741223601,82.0513611183046,41.4571515050912,58.1570991001272,81.9541208099533,-49.6930635189707,-36.1856902735901,-19.766184974511,-3.89803967267366,-2.55259412313144,-1.20714857358923,693319,693798,694277,"Trend Inconclusive","Trend Inconclusive","Large","Low","Trend Inconclusive","Decline","Large","Moderate"
"Graylag Goose","Anser anser","gragoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Moderate","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Greylag Goose","Anser anser","Greylag Goose","Anser anser","Least Concern","Schedule-II","","Appendix II",250,"X","X","X",493,0.0953346855983773,0.296906693711968,0.44421906693712,11.2718052738337,0.543393818192617,80.7228017767249,131.550576161769,217.677621833669,77.1820698903772,134.90229134561,240.552455408799,73.8007578690178,138.564314945819,266.891607287705,70.611307694675,142.556265732735,297.124349839589,67.6254720210115,146.899825340057,331.78732460882,64.843801183023,151.618923848496,371.529584849705,62.2608138553102,156.739946662066,417.124878472671,59.8678901981274,162.291964976905,469.489710475979,-75.1107123373396,-25.7853898492244,105.741946097542,-8.09475871621948,2.52638046272073,13.1475196416609,447210,447687,448164,"Trend Inconclusive","Trend Inconclusive","Large","Low","Trend Inconclusive","Trend Inconclusive","Large","Low"
"Greater White-fronted Goose","Anser albifrons","gwfgoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Greater White-fronted Goose","Anser albifrons","Greater White-fronted Goose","Anser albifrons","Least Concern","Schedule-II","","Appendix II",NA,"","","",23,NA,0.201086956521739,0.347826086956522,13.6521739130435,2.76255421510114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus","lwfgoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Lesser White-fronted Goose","Anser erythropus","Lesser White-fronted Goose","Anser erythropus","Vulnerable","Schedule-II","","Appendix I",NA,"","","",11,NA,0.0909090909090909,NA,13.0909090909091,4.70143456214683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis","taibeg1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Taiga Bean-Goose","Anser fabalis","Bean Goose","Anser fabalis","Least Concern","Schedule-II","","Appendix II",NA,"","","",1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","tunbeg1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Tundra Bean-Goose","Anser serrirostris","","","Not recognized","Schedule-II","","Appendix II",NA,"","","",2,NA,NA,NA,15.5,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose","Branta leucopsis","bargoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Barnacle Goose","Branta leucopsis","Barnacle Goose","Branta leucopsis","Least Concern","Recent addition","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","rebgoo1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Red-breasted Goose","Branta ruficollis","Red-breasted Goose","Branta ruficollis","Vulnerable","Schedule-II","Appendix II","Appendix I",NA,"","","",4,NA,0.5,0.75,15,5.65803263805833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","mutswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Mute Swan","Cygnus olor","Mute Swan","Cygnus olor","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","tunswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Tundra Swan","Cygnus columbianus","Tundra Swan","Cygnus columbianus","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","whoswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Whooper Swan","Cygnus cygnus","Whooper Swan","Cygnus cygnus","Least Concern","Schedule-II","","Appendix II",NA,"","","",1,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","comduc2","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Moderate","Uncertain","Moderate Decline","Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Knob-billed Duck","Sarkidiornis melanotos","Knob-billed Duck","Sarkidiornis melanotos","Least Concern","Schedule-II","Appendix II","Appendix II",250,"X","X","X",1210,0.0495867768595041,0.304132231404959,0.46198347107438,10.6553719008264,0.358616176993552,84.9566197074949,94.0014915257157,104.068346543708,83.028118780306,93.2238056027365,104.749475433107,81.1173193742906,92.4568257731117,105.481839797106,79.234382767395,91.7003933937833,106.253910318819,77.3852272625596,90.954352598718,107.058452904999,75.5732811647213,90.2185502463721,107.890774288684,73.8004573678247,89.4928358682397,108.747746074469,72.0677165849996,88.777061618459,109.627240191558,-18.2664221029662,1.52024334783999,25.27938068262,-2.05379486562626,-0.797043194629412,0.459708476367432,1036641,1037190,1037739,"Stable","Stable","Very Large","Low","Trend Inconclusive","Trend Inconclusive","Large","Low"
"Ruddy Shelduck","Tadorna ferruginea","rudshe","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Ruddy Shelduck","Tadorna ferruginea","Ruddy Shelduck","Tadorna ferruginea","Least Concern","Schedule-II","","Appendix II",500,"X","X","X",1458,0.0871056241426612,0.325531550068587,0.460219478737997,9.92043895747599,0.300039437396447,58.1188719175925,64.1313164539459,70.7997382890701,54.9407452085291,61.4948617908572,68.8742039372502,51.9197689851945,58.968961275522,67.0291104855048,49.0548172006105,56.548889337614,65.2532776846825,46.3418071624966,54.2301261789937,63.539162272489,43.775144515276,52.0083486514015,61.8813738356974,41.3485062620392,49.879421545621,60.2758549468832,39.0552781625362,47.8393892732415,58.7194091001082,-56.1456310167137,-48.1832197745765,-38.5658106739903,-4.36276182013348,-3.51306985033989,-2.6633778805463,1121701,1122201,1122701,"Decline","Decline","Very Large","Moderate","Decline","Rapid Decline","Large","High"
"Common Shelduck","Tadorna tadorna","comshe","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Invertebrate","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Common Shelduck","Tadorna tadorna","Common Shelduck","Tadorna tadorna","Least Concern","Schedule-II","","Appendix II",1000,"","","",95,0.0947368421052632,0.225,0.273684210526316,13.3052631578947,1.37269705873675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus","copgoo1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","High","Strong Decline","Strong Decline","Very Large","Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Cotton Pygmy-Goose","Nettapus coromandelianus","Cotton Pygmy-goose","Nettapus coromandelianus","Least Concern","Schedule-I","","Appendix II",1000,"X","X","X",1337,0.0822737471952132,0.339379207180254,0.462976813762154,11.8092744951384,0.358065600181591,66.3297352278732,72.7974864265118,79.9331522193883,63.3625517073289,70.4846161849673,78.4551530472928,60.5094974371017,68.2473681852277,77.0348456855548,57.7734156912769,66.0832025269488,75.6618612306424,55.1538833593612,63.989666796334,74.3294490962985,52.6486780285255,61.964392980222,73.0329928347099,50.2545829932993,60.0050944914942,71.7691888825153,47.9678450681044,58.1095633016994,70.5355733129119,-60.4524794379506,-52.7406878863948,-43.5515283887904,-3.70630381401446,-2.84966870595243,-1.9930335978904,1240788,1241462,1242136,"Decline","Decline","Very Large","Moderate","Rapid Decline","Decline","Very Large","Moderate"
"Mandarin Duck","Aix galericulata","manduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Mandarin Duck","Aix galericulata","Mandarin Duck","Aix galericulata","Least Concern","Schedule-II","","Appendix II",NA,"","","",1,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","baitea","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Baikal Teal","Sibirionetta formosa","Baikal Teal","Sibirionetta formosa","Least Concern","Schedule-II","Appendix II","Appendix I",NA,"","","",7,NA,NA,NA,17.8571428571429,2.85087121186957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","gargan","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Garganey","Spatula querquedula","Garganey","Spatula querquedula","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",1259,0.0881652104845115,0.356632247815727,0.460683081810961,12.3256552819698,0.364561914222331,44.810935774004,52.5962073907834,61.7746402190893,40.2498477078729,48.3524658196276,58.1362727086045,36.1334634091894,44.4531927265514,54.7487277307264,32.4265800449712,40.8702614413114,51.5833620786103,29.0931291581024,37.5778553250082,48.6186018583789,26.0982554048738,34.5522769558005,45.8372375224604,23.4092507862932,31.7717731657558,43.2249282196185,20.9959196574253,29.2163746047117,40.7693333582647,-72.2371631864275,-66.1939826605619,-58.8665621581412,-6.59081150849587,-5.89576497162035,-5.20071843474482,1174347,1174980,1175613,"Rapid Decline","Rapid Decline","Very Large","High","Rapid Decline","Rapid Decline","Large","High"
"Northern Shoveler","Spatula clypeata","norsho","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Northern Shoveler","Spatula clypeata","Northern Shoveler","Spatula clypeata","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",1455,0.101718213058419,0.348281786941581,0.43573883161512,11.0756013745704,0.339124952811738,41.0450669018629,48.3776738201107,57.0801200988012,36.9751039190059,44.6302678554953,53.9445641886294,33.2913134348413,41.1761310134707,51.0180934910541,29.9646236409334,37.9920827344205,48.2759911652337,26.9647263456094,35.0567924593849,45.6999452260746,24.2620472405344,32.3506305989114,43.2755613672445,21.8286551336462,29.8555316164314,40.9909898807099,19.6386406060518,27.554868232751,38.8361306709841,-69.2094442714395,-61.2521334862348,-51.5188857460319,-6.76242024875061,-5.86301004001113,-4.96359983127164,1160078,1160602,1161126,"Rapid Decline","Rapid Decline","Very Large","Moderate","Rapid Decline","Rapid Decline","Very Large","High"
"Gadwall","Mareca strepera","gadwal","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Gadwall","Mareca strepera","Gadwall","Mareca strepera","Least Concern","Schedule-II","","Appendix II",3000,"X","X","X",1145,0.0751091703056769,0.316157205240175,0.447161572052402,10.3580786026201,0.350636486108872,64.3220681340687,73.3147528217168,83.6470403067233,61.4052067484687,71.3274457527389,82.9600731940604,58.5976823813252,69.3993284153858,82.3277672809234,55.9051914820776,67.5285135227342,81.7364603296718,53.3288871354184,65.7131773924866,81.1774487629525,50.8673933820488,63.95155769905,80.6449509725642,48.5179120635198,62.2419513084702,80.1349793460202,46.2768532223927,60.5827121930478,79.6446899089193,-37.9075549800928,-21.241076630078,2.21649236769601,-3.81390826229847,-2.45624832110911,-1.09858837991975,1007229,1007797,1008365,"Trend Inconclusive","Trend Inconclusive","Very Large","Low","Trend Inconclusive","Decline","Large","Moderate"
"Falcated Duck","Mareca falcata","falduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",1,NA,NA,"Falcated Duck","Mareca falcata","Falcated Duck","Mareca falcata","Least Concern","Schedule-II","","Appendix II",NA,"","","X",36,0.25,0.225694444444444,0.333333333333333,14.3611111111111,1.92729817921487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32587,33015,33443,"Insufficient Data","Insufficient Data","Restricted","Moderate","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Eurasian Wigeon","Mareca penelope","eurwig","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Eurasian Wigeon","Mareca penelope","Eurasian Wigeon","Mareca penelope","Least Concern","Schedule-II","","Appendix II",2500,"X","X","X",997,0.0892678034102307,0.303911735205617,0.381143430290873,11.8294884653962,0.392820894784972,56.7843497779495,67.5804453188188,80.566507640922,53.2796672357158,65.0235600556418,79.5338649883849,49.9681363193711,62.5727048623732,78.5811362608472,46.850250257143,60.2231617219315,77.6899344176297,43.9211682560347,57.9704352076207,76.8484701698229,41.1733368250448,55.8102414400839,76.0488380306562,38.5979033937602,53.7384976168175,75.2855170836351,36.1855000057131,51.7513120833733,74.5545081438188,-67.5205294677794,-55.8471374482875,-39.672615333156,-5.13162402214138,-3.35736234159736,-1.58310066105335,859853,860429,861005,"Decline","Decline","Large","Moderate","Decline","Decline","Large","Moderate"
"Indian Spot-billed Duck","Anas poecilorhyncha","isbduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Moderate Decline","Very Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Indian Spot-billed Duck","Anas poecilorhyncha","Indian Spot-billed Duck","Anas poecilorhyncha","Least Concern","Schedule-II","","Appendix II",1000,"X","X","X",2248,0.0787366548042705,0.411032028469751,0.600533807829182,10.3238434163701,0.269048009915459,92.4113534636687,100.093268751785,108.448118028449,91.5489287157572,100.313172123324,109.962134818186,90.6700684387363,100.535750405232,111.53409603451,89.7837617867905,100.761018756772,113.15533827543,88.8956532503842,100.988992532566,114.820556860291,88.0094075448292,101.219687284258,116.526441108307,87.1274708114049,101.453118762202,118.27091331087,86.2515117809362,101.689302917174,120.052687747864,16.469067327155,34.099600100554,52.934159464669,-0.722146976419915,0.233537647377542,1.189222271175,1719768,1720214,1720660,"Trend Inconclusive","Stable","Very Large","Low","Trend Inconclusive","Stable","Very Large","Low"
"Eastern Spot-billed Duck","Anas zonorhyncha","spbduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Eastern Spot-billed Duck","Anas zonorhyncha","Eastern Spot-billed Duck","Anas zonorhyncha","Least Concern","Schedule-II","","Appendix II",NA,"","","",9,NA,0.236111111111111,0.222222222222222,17,2.16686152969886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
