"eBird.English.Name.2024","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Abbott's Babbler","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Aberrant Bush Warbler","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Alexandrine Parakeet","Rapid Increase","Rapid Increase","Very Large","Low"
"Alpine Accentor","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Alpine Swift","Decline","Stable","Large","Low"
"Alpine Thrush","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Altai Accentor","Insufficient Data","Insufficient Data","Restricted","Moderate"
"American Golden-Plover",NA,NA,NA,NA
"Amur Falcon","Insufficient Data","Decline","Moderate","Moderate"
"Amur Paradise-Flycatcher",NA,NA,NA,NA
"Amur Stonechat",NA,NA,NA,NA
"Andaman Boobook",NA,NA,NA,NA
"Andaman Bulbul","Insufficient Data","Trend Inconclusive","Restricted","Moderate"
"Andaman Coucal","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Andaman Crake","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Andaman Cuckoo-Dove","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Andaman Cuckooshrike","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Andaman Drongo","Insufficient Data","Rapid Decline","Restricted","High"
"Andaman Flowerpecker","Trend Inconclusive","Trend Inconclusive","Restricted","Moderate"
"Andaman Green-Pigeon","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Andaman Masked-Owl",NA,NA,NA,NA
"Andaman Nightjar",NA,NA,NA,NA
"Andaman Scops-Owl",NA,NA,NA,NA
"Andaman Serpent-Eagle","Insufficient Data","Rapid Decline","Restricted","High"
"Andaman Shama","Insufficient Data","Trend Inconclusive","Restricted","Moderate"
"Andaman Teal","Insufficient Data","Trend Inconclusive","Restricted","High"
"Andaman Treepie","Insufficient Data","Trend Inconclusive","Restricted","High"
"Andaman Wood-Pigeon","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Andaman Woodpecker","Insufficient Data","Trend Inconclusive","Restricted","High"
"Arctic Loon",NA,NA,NA,NA
"Arctic Tern",NA,NA,NA,NA
"Arctic Warbler",NA,NA,NA,NA
"Ashambu Laughingthrush","Insufficient Data","Insufficient Data","Very Restricted","High"
"Ashy Bulbul","Trend Inconclusive","Stable","Moderate","Low"
"Ashy Drongo","Stable","Stable","Very Large","Low"
"Ashy Minivet",NA,NA,NA,NA
"Ashy Prinia","Rapid Increase","Increase","Very Large","Low"
"Ashy Wood-Pigeon","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Ashy Woodswallow","Trend Inconclusive","Stable","Large","Low"
"Ashy-crowned Sparrow-Lark","Decline","Trend Inconclusive","Very Large","Moderate"
"Ashy-headed Green-Pigeon","Insufficient Data","Insufficient Data","Moderate","Moderate"
"Ashy-throated Warbler","Decline","Trend Inconclusive","Moderate","Moderate"
"Asian Barred Owlet","Trend Inconclusive","Stable","Large","Low"
"Asian Brown Flycatcher","Decline","Stable","Large","Low"
"Asian Desert Warbler",NA,NA,NA,NA
"Asian Dowitcher",NA,NA,NA,NA
"Asian Emerald Cuckoo","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Asian Emerald Dove","Trend Inconclusive","Trend Inconclusive","Large","Low"
"Asian Fairy-bluebird","Decline","Stable","Moderate","Moderate"
"Asian Glossy Starling","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Asian Green Bee-eater","Stable","Stable","Very Large","Low"
"Asian Houbara","Insufficient Data","Insufficient Data","Restricted","High"
"Asian House-Martin","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Asian Koel","Rapid Increase","Increase","Very Large","Low"
"Asian Openbill","Increase","Trend Inconclusive","Very Large","Low"
"Asian Palm Swift","Insufficient Data","Insufficient Data","Very Large","Low"
"Asian Stubtail",NA,NA,NA,NA
"Asian Tit","Stable","Stable","Very Large","Low"
"Asian Woolly-necked Stork","Decline","Decline","Very Large","Moderate"
"Assam Laughingthrush","Insufficient Data","Insufficient Data","Restricted","Moderate"
"Australasian Grass-Owl",NA,NA,NA,NA
"Azure Tit",NA,NA,NA,NA
"Baer's Pochard","Insufficient Data","Insufficient Data","Very Restricted","High"
"Baikal Bush Warbler",NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA
"Baillon's Crake","Insufficient Data","Rapid Decline","Moderate","Moderate"
"Banasura Laughingthrush","Insufficient Data","Insufficient Data","Very Restricted","High"
"Banded Bay Cuckoo","Decline","Trend Inconclusive","Large","Moderate"
"Bank Myna","Decline","Rapid Decline","Large","High"
"Bank Swallow","Insufficient Data","Insufficient Data","Moderate","Low"
"Bar-headed Goose","Trend Inconclusive","Decline","Large","Moderate"
"Bar-tailed Godwit","Insufficient Data","Trend Inconclusive","Restricted","Moderate"
"Bar-tailed Treecreeper","Stable","Stable","Moderate","Low"
"Bar-winged Flycatcher-shrike","Trend Inconclusive","Increase","Large","Low"
"Bar-winged Wren-Babbler","Insufficient Data","Insufficient Data","Very Restricted","High"
"Barau's Petrel",NA,NA,NA,NA
"Barn Swallow","Trend Inconclusive","Decline","Very Large","Moderate"
"Barred Buttonquail","Insufficient Data","Insufficient Data","Very Large","Low"
"Barred Cuckoo-Dove","Insufficient Data","Trend Inconclusive","Moderate","Low"
"Barred Warbler",NA,NA,NA,NA
"Bay Woodpecker","Insufficient Data","Insufficient Data","Moderate","Low"
"Bay-backed Shrike","Decline","Stable","Very Large","Low"
"Baya Weaver","Stable","Stable","Very Large","Low"
"Beach Thick-knee",NA,NA,NA,NA
"Bearded Vulture","Rapid Decline","Rapid Decline","Moderate","High"
"Beautiful Nuthatch","Insufficient Data","Insufficient Data","Restricted","High"
"Beautiful Sibia","Insufficient Data","Insufficient Data","Restricted","Moderate"
