"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","proj2034.lci","proj2034.mean","proj2034.rci","rangemean","rangelci","rangerci"
"Fulvous Whistling-Duck","Dendrocygna bicolor","fuwduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Data Deficient","Uncertain","Moderate","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Fulvous Whistling-Duck","Dendrocygna bicolor","Fulvous Whistling-duck","Dendrocygna bicolor","Least Concern","Schedule-I","","Appendix II",500,"Fulvous Whistling Duck","Dendrocygna bicolor","avibase-9A60617E",1,5.85,1,0.114404894,1,"","X","X",169,0.0355029585798817,0.32396449704142,0.520710059171598,13.1005917159763,0.936314578558594,NA,NA,NA,-4.23996681518321,-1.74336740956827,0.753231996046666,55.8210240238888,69.3138876000916,85.7771046016643,53.2283894720877,68.0534416938043,86.7104865257293,50.7356887124378,66.8474988911118,87.5122219243976,48.4044600962103,65.6741426234329,88.4278063071426,46.1207438723899,64.4807907852146,89.3633930156717,43.9435510814387,63.2914833531963,90.3514436632311,41.7900624415884,62.1444764501155,91.4652629066276,39.7274344920523,61.0073787067353,92.6031856289087,NA,NA,NA,202909,202411,203407
"Lesser Whistling-Duck","Dendrocygna javanica","lewduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Moderate Decline","Very Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Resident",NA,NA,NA,"Lesser Whistling-Duck","Dendrocygna javanica","Lesser Whistling-duck","Dendrocygna javanica","Least Concern","Schedule-II","","Appendix II",10000,"Lesser Whistling Duck","Dendrocygna javanica","avibase-BD683E6E",1,5.55,1,0.368219476,2,"X","X","X",2389,0.0527417329426538,0.382743825868564,0.580577647551277,10.2997069903725,0.258392725037699,83.9718509600717,88.7940970182661,94.1226100151907,-1.04567836497145,-0.686563796374632,-0.327449227777815,89.1531957914822,91.486886928456,93.8541764754402,88.197702911986,90.8271446773016,93.4850372159971,87.245629728887,90.1553025900411,93.1371270489398,86.2811238864796,89.4905446415127,92.7897134707636,85.3407861758046,88.8272674269542,92.4427110939832,84.4163500510312,88.1860991245458,92.0946768458769,83.4873585430584,87.5540282178671,91.7567378827398,82.5734468962832,86.9070500241509,91.4349330509456,NA,NA,NA,2118415,2117913,2118917
"Bar-headed Goose","Anser indicus","bahgoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant & Localized Summer Migrant",1,NA,NA,"Bar-headed Goose","Anser indicus","Bar-headed Goose","Anser indicus","Least Concern","Schedule-II","","Appendix II",NA,"Bar-headed Goose","Anser indicus","avibase-B7159EF0",1,10.46,1,0.332840659,3,"X","X","X",885,0.0779661016949153,0.30819209039548,0.411299435028249,11.5118644067797,0.438146764390647,87.4130144888882,99.0247813617667,112.553614482757,-6.1581204824292,-4.4637448629208,-2.76936924341241,57.2976320067948,62.3747212556769,67.9255910900077,54.6368712802091,60.1711740812402,66.2842560153601,52.0843416780983,58.0246761095038,64.6657936458047,49.6515184774569,55.9733422539681,63.1127007210822,47.32069159142,53.9796623812066,61.6306620165069,45.1116728302385,52.0529137337535,60.205040870297,42.9731860746102,50.1946914768035,58.8029345515447,40.9485708726667,48.4109926828191,57.4164180722115,NA,NA,NA,759621,759157,760085
"Graylag Goose","Anser anser","gragoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Moderate","24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,NA,NA,"Greylag Goose","Anser anser","Greylag Goose","Anser anser","Least Concern","Schedule-II","","Appendix II",250,"Greylag Goose","Anser anser","avibase-4AED44E8",1,9.76,1,0.076884451,4,"X","X","X",493,0.0953346855983773,0.296906693711968,0.44421906693712,11.2718052738337,0.543393818192617,87.4135492303072,101.080825492964,117.71792181195,-0.714824981474124,0.463786629923247,1.64239824132062,89.570026633037,96.9765754013748,104.792746838383,89.0291425197241,97.4658781350906,106.439097766373,88.5570854916916,97.8735908066048,108.102759244634,88.1155527172869,98.3124049150526,109.881254580929,87.6634815116336,98.8103856803803,111.59963742088,87.1673890041085,99.3387003918334,113.32758435884,86.5968860443042,99.8417896532455,115.183537915515,86.1281560964953,100.321493018278,116.961904959192,NA,NA,NA,493704,493235,494173
"Greater White-fronted Goose","Anser albifrons","gwfgoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Greater White-fronted Goose","Anser albifrons","Greater White-fronted Goose","Anser albifrons","Least Concern","Schedule-II","","Appendix II",NA,"Greater White-fronted Goose","Anser albifrons","avibase-466E9077",1,9.71,1,0.020754927,5,"","","",23,NA,0.201086956521739,0.347826086956522,13.6521739130435,2.76255421510114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus","lwfgoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"Diurnal","Diurnal","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Lesser White-fronted Goose","Anser erythropus","Lesser White-fronted Goose","Anser erythropus","Vulnerable","Schedule-II","","Appendix I",NA,"Lesser White-fronted Goose","Anser erythropus","avibase-184D2329",1,9.29,1,NA,6,"","","",11,NA,0.0909090909090909,NA,13.0909090909091,4.70143456214683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis","taibeg1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Taiga Bean-Goose","Anser fabalis","Bean Goose","Anser fabalis","Least Concern","Schedule-II","","Appendix II",NA,"Taiga Bean Goose","Anser fabalis","avibase-BDB497A3",NA,8.28,2,NA,7,"","","",1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","tunbeg1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Tundra Bean-Goose","Anser serrirostris","Not at species rank","Anser fabalis serrirostris","Not recognized","Schedule-II","","Appendix II",NA,"Tundra Bean Goose","Anser serrirostris","avibase-AD849FCB",1,11.86,2,NA,8,"","","",2,NA,NA,NA,15.5,2.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose","Branta leucopsis","bargoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Barnacle Goose","Branta leucopsis","Barnacle Goose","Branta leucopsis","Least Concern","Recent addition","","Appendix II",NA,"Barnacle Goose","Branta leucopsis","avibase-3163ED86",NA,11.86,1,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","rebgoo1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","Non-endemic","Wetland","Winter Migrant",NA,1,NA,"Red-breasted Goose","Branta ruficollis","Red-breasted Goose","Branta ruficollis","Vulnerable","Schedule-II","Appendix II","Appendix I",NA,"Red-breasted Goose","Branta ruficollis","avibase-0D280B3F",NA,10.76,1,NA,10,"","","",4,NA,0.5,0.75,15,5.65803263805833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
