EnglishName,CriteriaC_Category,CriteriaC_String,MinMaturePop,MaxMaturePop,BestMaturePop,MinPop,MaxPop,Min Breeding Pop Percent,Max Breeding Pop Percent,Male Ratio,Largest SubPop,LargestSubPopPercent,Years1GEN,Years2GEN,Years3GEN,C1_1GEN_Decline,C1_2GEN_Decline,C1_3GEN_Decline,C1Method,ContinuingDecline,ContinuingDeclineMethod,ExtremeFluctuation,ActualDecline,ActualDeclineMean,ActualDeclineLci,ActualDeclineStartYear,ActualDeclineEndYear,ActualDeclineYears,ActualDeclineMethod,CR_pop,EN_pop,VU_pop,CR_C1,EN_C1,VU_C1,CR_C2ai,EN_C2ai,VU_C2ai,CR_C2aii,EN_C2aii,VU_C2aii,CR_C2b,EN_C2b,VU_C2b,CR_triggers,EN_triggers,VU_triggers,Pop_Met,Pop_Near,Decline_Met,Decline_Near,Near_C1,Near_C2ai,Near_C2aii,Near_C2b,NT_triggers
White-winged Wood-Duck,CR,C2a(i),25,75,43,50,150,0.5,0.5,0.5,25,58,7,13,20,18,31,43,Projected,TRUE,Projected,NA,57,65,75,1995,2025,30,Projected,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,C2a(i),C1+C2a(i),C1+C2a(i),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,C2a(i)
Jerdon's Courser,NA,NA,0.75,50.25,6,1,67,0.75,0.75,0.5,NA,NA,5,11,16,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,
Bugun Liocichla,NA,NA,30,247.5,86,40,330,0.75,0.75,0.5,78.75,92,4,7,11,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,C2a(i)+C2a(ii)
Narcondam Hornbill,NA,NA,303.59999999999997,652.9599999999999,445,750,1400,0.46,0.53,0.56,NA,NA,8,16,24,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,
White-bellied Heron,CR,C2a(i)+C2a(ii),3,5,4,6,10,0.5,0.5,0.5,5,100,7,14,21,24,42,55,Estimated,TRUE,Estimated,NA,50,50,50,2007,2025,18,Estimated,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,C2a(i)+C2a(ii),C1+C2a(i)+C2a(ii),C1+C2a(i)+C2a(ii),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,C2a(i)+C2a(ii)
Banasura Laughingthrush,NA,NA,528,1600,919,660,2000,0.8,0.8,0.5,320,35,4,9,13,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,C2a(i)
Ashambu Laughingthrush,NA,NA,10000,13000,11402,12500,16250,0.8,0.8,0.5,NA,NA,4,7,11,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,
Great Indian Bustard,CR,C1+C2a(ii),76.3,105.69999999999999,90,109,151,0.7,0.7,0.5,81.19999999999999,90,12,25,37,35,59,73,Projected,TRUE,Projected,NA,87,89,91,1969,2026,57,Projected,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,C1+C2a(ii),C1+C2a(i),C1+C2a(i),TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,C2a(i)+C2a(ii)
Lesser Florican,EN,C1,356,1228,661,712,2456,0.5,0.5,0.5,NA,NA,6,12,18,20,35,48,Projected,TRUE,Projected,NA,79,79,79,1982,2025,43,Projected,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C1,C1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,
White-rumped Vulture,NA,NA,3960,3960,3960,6000,6000,0.66,0.66,0.5,NA,NA,12,23,35,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,
