"eBird.English.Name.2024","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10"
"Fulvous Whistling-Duck",-1.54651715748455,1.8400692430547,5.22665564359396,-2.79736696529066,4.03230802069275,10.8619830066762,-1.8934451216081,1.07221540363851,4.03787592888512,-1.78298449696034,1.05376751676635,3.89051953049303,-1.66801723118679,1.13591967050305,3.93985657219289,-1.5602342914321,1.27533697412051,4.11090823967312,-1.62444705695879,1.27378775773311,4.17202257242502,-1.80994534167959,1.08484814960141,3.97964164088242,-2.17008945420849,0.805049246654778,3.78018794751805,-2.44335145526757,0.828440402254668,4.1002322597769
"Lesser Whistling-Duck",-0.936794846008012,-0.125218957686665,0.686356930634681,-1.90799844000978,-0.365946714024104,1.17610501196158,-0.547405367531382,0.235601966667013,1.01860930086541,-0.739290814930276,-0.0191302536322688,0.701030307665739,-0.677890229205129,0.040527126870479,0.758944482946087,-0.727408506870605,-0.010047706500258,0.707313093870089,-0.619061142513912,0.10942787706506,0.837916896644031,-0.732789871941575,-0.00227721464509741,0.72823544265138,-0.796256745138268,-0.0336939364420794,0.72886887225411,-0.600808431969573,0.281177569404348,1.16316357077827
"Bar-headed Goose",-3.69123670425935,-2.07760696342007,-0.463977222580796,-9.3786310977208,-6.72632313443738,-4.07401517115395,-3.69405719828791,-2.22133859389673,-0.748619989505563,-3.84631435585355,-2.4448264260061,-1.04333849615864,-3.9048926108742,-2.56159409785095,-1.2182955848277,-3.85737262224971,-2.5173910997765,-1.17740957730329,-3.89393561944218,-2.54098764763122,-1.18803967582026,-3.88738567241955,-2.50700278093959,-1.12661988945962,-4.34887876311311,-2.92435335358085,-1.49982794404858,-3.98062356043234,-2.24261815814998,-0.504612755867611
"Graylag Goose",-10.7038887845997,2.73697301139599,16.1778348073917,-18.9807929504178,4.53378651756866,28.0483659855551,-8.28204262426439,2.41625584884598,13.1145543219564,-8.21010575996777,2.71283932462948,13.6357844092267,-8.03935745478344,2.62196121948832,13.2832798937601,-8.07922926710027,2.49309441951827,13.0654181061368,-8.34814897011824,2.52553227697426,13.3992135240668,-8.62346052519697,2.21569717284901,13.054854870895,-9.75323085327108,2.66867678433761,15.0905844219463,-9.64423885426099,3.99291594761533,17.6300707494917
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whooper Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knob-billed Duck",-2.42603063168826,-0.936030434060949,0.553969763566361,-4.28648773211042,-1.50788072490092,1.27072628230858,-1.92720133960393,-0.590888789010453,0.745423761583025,-2.1314623819797,-0.857875601007798,0.415711179964101,-2.05580936189524,-0.794672364988111,0.466464631919017,-2.05298311417172,-0.796895137410675,0.459192839350374,-1.95405815817752,-0.659702794673035,0.634652568831446,-2.08031695801223,-0.778601568406006,0.523113821200223,-2.53821927367872,-1.24966441371784,0.0388904462430391,-2.08265840420869,-0.546661798481957,0.989334807244779
"Ruddy Shelduck",-4.40418810499338,-3.38126057131531,-2.35833303763724,-9.07044557651973,-7.25940257685705,-5.44835957719436,-4.56281910629728,-3.68871111594894,-2.81460312560061,-4.31851943325174,-3.43771196749137,-2.556904501731,-4.36318032954735,-3.50655631552251,-2.64993230149767,-4.33806692142563,-3.49016472335073,-2.64226252527584,-4.33254896380183,-3.4778042033272,-2.62305944285257,-4.33982130863374,-3.46089217688166,-2.58196304512958,-4.70695038726058,-3.77790924451748,-2.84886810177438,-4.40361537675054,-3.32089979953041,-2.23818422231028
"Common Shelduck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose",-3.9198951989664,-2.94022906110834,-1.96056292325027,-7.08776009170265,-5.13956292169233,-3.19136575168202,-3.87026918059915,-2.97846101070955,-2.08665284081995,-3.69899423009377,-2.80751198111185,-1.91602973212992,-3.7113604052296,-2.85395543212433,-1.99655045901906,-3.68972567790317,-2.83394727613584,-1.9781688743685,-3.56017213533574,-2.68248917702268,-1.80480621870962,-3.80267322977693,-2.91851256776165,-2.03435190574636,-4.00690892048189,-3.09394102528997,-2.18097313009805,-3.951591777894,-2.90459875588104,-1.85760573386808
"Mandarin Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garganey",-7.86696705385065,-7.07489838052776,-6.28282970720487,-12.570311652008,-11.0646676815534,-9.55902371109872,-6.57545820996509,-5.84347086390354,-5.11148351784199,-6.52986744203548,-5.80341562017942,-5.07696379832336,-6.58290847416847,-5.89024847178054,-5.19758846939261,-6.5676274181044,-5.88304799914181,-5.19846858017922,-6.50145455959921,-5.80121660815537,-5.10097865671153,-6.58438004247883,-5.87738577774452,-5.1703915130102,-6.85766714966822,-6.12114477659052,-5.38462240351282,-6.53551399506316,-5.61654962934368,-4.6975852636242
"Northern Shoveler",-7.6136914786525,-6.52474243517438,-5.43579339169625,-13.0711460702731,-11.0596896638516,-9.04823325743002,-6.9078185495689,-5.97867751930496,-5.04953648904102,-6.70838609548596,-5.76721420532492,-4.82604231516387,-6.76106413338307,-5.86255745952041,-4.96405078565775,-6.68031292281299,-5.79171768099907,-4.90312243918514,-6.59550183805692,-5.67506281424162,-4.75462379042632,-6.68188069389705,-5.72182065642225,-4.76176061894746,-7.22533678766546,-6.28245274539197,-5.33956870311847,-7.07184541717827,-5.95956988069538,-4.84729434421248
"Gadwall",-3.87213518813063,-2.25061255028027,-0.629089912429917,-8.52500879373718,-5.63654684729849,-2.74808490085979,-4.00299034792453,-2.59907724318453,-1.19516413844453,-3.69011255285315,-2.26437607907269,-0.838639605292241,-3.81900941547947,-2.45560913830701,-1.09220886113455,-3.82841107006204,-2.47245642177658,-1.11650177349112,-3.7438355485547,-2.36307833583471,-0.982321123114719,-3.96884078925915,-2.56319304767747,-1.15754530609579,-3.8633956029489,-2.37422764915991,-0.885059695370916,-4.02340557271761,-2.37309995987135,-0.722794347025097
"Falcated Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Wigeon",-5.53151449685748,-3.36629948294066,-1.20108446902385,-9.81883784585141,-5.87011901807043,-1.92140019028946,-5.5220149667894,-3.7289542335064,-1.93589350022341,-5.16827926012107,-3.3546878381853,-1.54109641624953,-5.13822368142467,-3.341950967486,-1.54567825354734,-5.1006408841817,-3.32437800786709,-1.54811513155247,-5.18277995675161,-3.40185216848733,-1.62092438022304,-5.03694494348113,-3.15824121072388,-1.27953747796663,-5.38720153906714,-3.48611327109207,-1.58502500311701,-5.62975037690929,-3.491352101259,-1.35295382560871
"Indian Spot-billed Duck",-0.743543364792002,0.422019624945182,1.58758261468237,-1.31085169899784,0.794150014968337,2.89915172893451,-0.714828996622773,0.286959773398189,1.28874854341915,-0.833959409489442,0.124360030731859,1.08267947095316,-0.721450596946507,0.235989594255693,1.19342978545789,-0.685757855895257,0.268917905580871,1.223593667057,-0.676379174647342,0.289675516926499,1.25573020850034,-0.759286685209854,0.250110504853825,1.2595076949175,-1.25751259109435,-0.263231836930756,0.731048917232837,-0.755353817511256,0.382246051279933,1.51984592007112
"Eastern Spot-billed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallard",-5.5386451082695,-3.73679070623692,-1.93493630420433,-9.24032731431632,-5.76579631043273,-2.29126530654915,-4.2060560355615,-2.47908434163664,-0.752112647711786,-4.02316412725435,-2.24240291067765,-0.461641694100946,-4.27827380256347,-2.62536232331901,-0.972450844074547,-4.3288589248912,-2.69907961205574,-1.06930029922029,-4.11884226332714,-2.48604321641676,-0.853244169506378,-3.89815535394848,-2.10047744823296,-0.30279954251745,-4.2244357153156,-2.44828274229746,-0.672129769279308,-4.93048066441774,-3.04558145383464,-1.16068224325155
"Northern Pintail",-6.844187633226,-5.54540519293939,-4.24662275265277,-12.7620071368538,-10.5232901479834,-8.28457315911296,-6.61088505890724,-5.56030973524429,-4.50973441158134,-6.43552357151937,-5.36625915121178,-4.29699473090419,-6.45465680513824,-5.43606638351051,-4.41747596188278,-6.37374531148473,-5.3540656222877,-4.33438593309068,-6.30903745202264,-5.2548120310484,-4.20058661007416,-6.41745450524318,-5.34982110930959,-4.282187713376,-7.05118400849166,-6.00203550232158,-4.9528869961515,-6.84954545700265,-5.58043505077079,-4.31132464453893
"Green-winged Teal",-7.30097920372439,-4.39072954202366,-1.48047988032292,-13.3757873832933,-8.17673501548685,-2.97768264768041,-6.49399794891044,-3.94913458883424,-1.40427122875804,-6.27806389953096,-3.74601678678094,-1.21396967403092,-6.37315391150164,-3.99502100120828,-1.61688809091492,-6.40317277566159,-4.00471652118942,-1.60626026671725,-6.3320796157972,-3.87477258445103,-1.41746555310486,-6.27981261287333,-3.6725964665226,-1.06538032017187,-6.92485253012225,-4.53951642296653,-2.15418031581082,-6.77777964354621,-3.77448423811684,-0.771188832687475
