"","Species","MinAOO","MaxAOO","MinEstimate_2km","EOOStartYear","LikelyEOO","MaxEOO","EOOYearBandChange","EOOChange","EOOChangePercent"
"1","Blue Whistling-Thrush",NA,NA,NA,2020,2040241,NA,NA,NA,NA
"2","White-capped Redstart",NA,NA,NA,2015,1529329,NA,NA,NA,NA
"3","Red Phalarope",4,4,4,2015,0,322,NA,NA,NA
"4","Red-billed Chough",NA,NA,NA,2013,712595,NA,NA,NA,NA
"5","Satyr Tragopan",381,5582,244,2013,132222,NA,NA,NA,NA
"6","Snow Pigeon",NA,NA,NA,2021,708714,NA,NA,NA,NA
"7","Common Raven",NA,NA,NA,2020,1325602,NA,NA,NA,NA
"8","Eurasian Tree Sparrow",NA,NA,NA,2019,1407677,NA,NA,NA,NA
"9","Common Hoopoe",NA,NA,NA,2017,5198821,NA,NA,NA,NA
"10","Eurasian Woodcock",365,55403,280,2020,739494,NA,"2013-2019 to 2020-2025",-2022090,-73.2221012116754
"11","Eurasian Wigeon",NA,NA,NA,2008,6094530,NA,NA,NA,NA
"12","Ruddy Shelduck",NA,NA,NA,2019,4306168,NA,NA,NA,NA
"13","Gray Junglefowl",NA,NA,NA,2018,1049704,NA,NA,NA,NA
"14","White-naped Tit",1163,289025,724,2017,922920,NA,NA,NA,NA
"15","Rusty-tailed Flycatcher",NA,NA,NA,2015,3000415,NA,NA,NA,NA
"16","Brown-backed Needletail",NA,NA,NA,2017,3072247,NA,NA,NA,NA
"17","Eurasian Kestrel",NA,NA,NA,2015,7051992,NA,NA,NA,NA
"18","Jungle Myna",NA,NA,NA,2012,3920055,NA,NA,NA,NA
"19","Asian Emerald Dove",NA,NA,NA,2014,5945678,NA,NA,NA,NA
"20","Sind Woodpecker",28,64,16,2024,82,871,NA,NA,NA
"21","Yellow-throated Laughingthrush",183,8098,136,2012,32498,NA,NA,NA,NA
"22","Asian House-Martin",1053,742108,724,2021,3128243,NA,NA,NA,NA
"23","Blue-fronted Redstart",NA,NA,NA,2013,1502006,NA,NA,NA,NA
"24","Blood Pheasant",392,9408,152,2022,48327,NA,NA,NA,NA
"25","Blyth's Leaf Warbler",NA,NA,NA,2017,1584818,NA,NA,NA,NA
"26","Chestnut-tailed Minla",6752,154988,2476,2015,1099402,NA,NA,NA,NA
"27","Crested Kingfisher",NA,NA,NA,2018,1223881,NA,NA,NA,NA
"28","Fire-tailed Myzornis",1059,33004,428,2015,140185,NA,NA,NA,NA
"29","Fire-tailed Sunbird",3280,140030,1776,2014,1018140,NA,NA,NA,NA
"30","Gold-naped Finch",1039,44680,456,2017,199854,NA,NA,NA,NA
"31","Great Parrotbill",74,1307,52,2018,41110,NA,NA,NA,NA
"32","Gray-crested Tit",1694,48592,712,2017,591337,NA,NA,NA,NA
"33","Himalayan Bluetail",NA,NA,NA,2020,1928358,NA,NA,NA,NA
"34","Himalayan Monal",2673,74667,1060,2013,754739,NA,NA,NA,NA
"35","Himalayan Rubythroat",1931,86027,1216,2019,495103,NA,NA,NA,NA
