"ST_NM","India.Checklist.Common.Name","prop.range"
"Andaman and Nicobar Islands","Andaman Drongo",1
"Andaman and Nicobar Islands","Andaman Serpent Eagle",1
"Andaman and Nicobar Islands","Andaman Treepie",1
"Andaman and Nicobar Islands","Andaman Woodpecker",1
"Andaman and Nicobar Islands","Long-tailed Parakeet",1
"Andaman and Nicobar Islands","Nicobar Bulbul",1
"Andaman and Nicobar Islands","White-headed Starling",1
"Andaman and Nicobar Islands","Narcondam Hornbill",1
"Andaman and Nicobar Islands","Nicobar Sparrowhawk",1
"Andaman and Nicobar Islands","Nicobar Megapode",1
"Andaman and Nicobar Islands","Andaman Teal",1
"Andaman and Nicobar Islands","Pale-footed Bush Warbler",0.363636363636364
"Andaman and Nicobar Islands","Lesser Sand Plover",0.0697050938337802
"Andaman and Nicobar Islands","Black-capped Kingfisher",0.0677966101694915
"Andaman and Nicobar Islands","Pintail Snipe",0.0622406639004149
"Andhra Pradesh","Green Munia",0.357142857142857
"Andhra Pradesh","Yellow-throated Bulbul",0.151515151515152
"Andhra Pradesh","Terek Sandpiper",0.103703703703704
"Andhra Pradesh","Eurasian Oystercatcher",0.0888888888888889
"Andhra Pradesh","Pale-capped Pigeon",0.0833333333333333
"Andhra Pradesh","Lesser Florican",0.0833333333333333
"Andhra Pradesh","Great Knot",0.0789473684210526
"Andhra Pradesh","Black-bellied Tern",0.0726256983240224
"Andhra Pradesh","Common Tern",0.0723684210526316
"Andhra Pradesh","Grey Plover",0.0714285714285714
"Andhra Pradesh","Western Reef Egret",0.0677966101694915
"Andhra Pradesh","Oriental Skylark",0.0677290836653386
"Andhra Pradesh","Caspian Tern",0.0650406504065041
"Andhra Pradesh","Lesser Sand Plover",0.0589812332439678
"Andhra Pradesh","Short-toed Snake Eagle",0.0588235294117647
"Andhra Pradesh","Black-capped Kingfisher",0.0508474576271186
"Andhra Pradesh","Brown-headed Gull",0.0363036303630363
"Andhra Pradesh","Indian Skimmer",0.032258064516129
"Andhra Pradesh","Pied Avocet",0.0115942028985507
"Andhra Pradesh","Jerdon's Courser",0
"Arunachal Pradesh","Bar-winged Wren Babbler",1
"Arunachal Pradesh","Bhutan Laughingthrush",1
"Arunachal Pradesh","Brown-throated Fulvetta",1
"Arunachal Pradesh","Large Blue Flycatcher",1
"Arunachal Pradesh","Mishmi Wren Babbler",1
"Arunachal Pradesh","Sikkim Wedge-billed Babbler",1
"Arunachal Pradesh","Temminck's Tragopan",1
"Arunachal Pradesh","Bugun Liocichla",1
"Arunachal Pradesh","Snowy-throated Babbler",1
"Arunachal Pradesh","Sclater's Monal",1
"Arunachal Pradesh","Rufous-vented Laughingthrush",0.875
"Arunachal Pradesh","Cachar Wedge-billed Babbler",0.857142857142857
"Arunachal Pradesh","Beautiful Nuthatch",0.739130434782609
"Arunachal Pradesh","Slender-billed Oriole",0.666666666666667
"Arunachal Pradesh","White-bellied Heron",0.666666666666667
