eBird.English.Name.2022,longtermlci,longtermmean,longtermrci,currentslopelci,currentslopemean,currentsloperci,rangelci,rangemean,rangerci,SOIBv2.Long.Term.Status,SOIBv2.Current.Status,SOIBv2.Range.Status,SOIBv2.Priority.Status
Fulvous Whistling-Duck,NA,NA,NA,-5.781683825,-2.82345425,0.134775326,12.493,12.55,12.607,Insufficient Data,Trend Inconclusive,Moderate,Low
Lesser Whistling-Duck,-6.64571127,11.53230092,33.31167808,-1.519473066,0.388027453,2.295527973,174.473,174.526,174.579,Stable,Stable,Very Large,Low
Bar-headed Goose,-42.41415765,-33.03819641,-21.8107226,-4.228364861,-2.841378358,-1.454391856,57.423,57.47,57.517,Trend Inconclusive,Decline,Large,Moderate
Graylag Goose,-60.79668741,-33.09162479,19.44610879,-5.966260116,1.759978124,9.486216365,35.801,35.851,35.901,Trend Inconclusive,Trend Inconclusive,Large,Low
Greater White-fronted Goose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lesser White-fronted Goose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Taiga Bean-Goose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tundra Bean-Goose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red-breasted Goose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mute Swan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tundra Swan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Whooper Swan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Knob-billed Duck,-33.98716081,-22.98485595,-10.12670564,-3.174129512,-1.779818605,-0.385507699,89.533,89.59,89.647,Trend Inconclusive,Trend Inconclusive,Large,Low
Ruddy Shelduck,-58.68214328,-52.53098532,-45.46947316,-5.746346043,-4.720177102,-3.694008162,95.154,95.206,95.258,Decline,Rapid Decline,Large,High
Common Shelduck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotton Pygmy-Goose,-62.22085547,-57.0660294,-51.11762962,-4.828586252,-3.709033707,-2.589481162,105.041,105.106,105.171,Rapid Decline,Decline,Very Large,Moderate
Mandarin Duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baikal Teal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garganey,-63.60200819,-57.48364372,-50.7760313,-6.842896182,-5.721918511,-4.600940841,64.637,64.637,64.637,Rapid Decline,Rapid Decline,Large,High
Northern Shoveler,-69.90047039,-64.54960802,-59.22036434,-8.024382605,-7.029833729,-6.035284854,101.625,101.677,101.729,Rapid Decline,Rapid Decline,Very Large,High
Gadwall,-38.31592327,-26.57925453,-12.94132937,-4.436013756,-2.862681702,-1.289349649,83.008,83.064,83.12,Trend Inconclusive,Decline,Large,Moderate
Falcated Duck,NA,NA,NA,NA,NA,NA,1.692,1.728,1.764,Insufficient Data,Insufficient Data,Restricted,Moderate
Eurasian Wigeon,-68.93854485,-59.94344458,-48.51379082,-6.542905483,-4.50499148,-2.467077478,73.873,73.932,73.991,Decline,Decline,Large,Moderate
Indian Spot-billed Duck,8.489154067,21.88403846,36.77749799,-1.945173485,-0.690476129,0.564221227,153.166,153.212,153.258,Trend Inconclusive,Stable,Very Large,Low
Eastern Spot-billed Duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mallard,-46.6151853,-33.2823145,-15.32041638,-4.062144879,-2.248707514,-0.435270149,25.338,25.397,25.456,Trend Inconclusive,Trend Inconclusive,Large,Low
Northern Pintail,-79.08530201,-74.97510649,-70.42496346,-8.233805851,-7.091791356,-5.949776862,115.454,115.514,115.574,Rapid Decline,Rapid Decline,Very Large,High
Green-winged Teal,-75.37502293,-68.95362618,-60.41483361,-7.463076932,-5.776699241,-4.090321551,98.676,98.733,98.79,Rapid Decline,Rapid Decline,Large,High
Andaman Teal,NA,NA,NA,1.955873935,7.512796352,13.06971877,0.382,0.409,0.436,Insufficient Data,Trend Inconclusive,Restricted,High
Marbled Teal,NA,NA,NA,NA,NA,NA,0,0,0,Insufficient Data,Insufficient Data,Very Restricted,High
Pink-headed Duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-winged Duck,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,Insufficient Data,Insufficient Data,Very Restricted,High
Red-crested Pochard,-52.26292644,-41.6709468,-29.0527194,-1.911239717,0.033247955,1.977735628,55.574,55.629,55.684,Decline,Stable,Large,Low
Common Pochard,-74.67530969,-68.43738669,-59.99963941,-6.143815327,-4.322598183,-2.501381039,50.278,50.278,50.278,Rapid Decline,Decline,Large,High
Ferruginous Duck,-58.77575189,-39.92019486,-14.92637163,-5.79393298,-2.814684535,0.164563909,36.489,36.547,36.605,Trend Inconclusive,Trend Inconclusive,Large,Moderate
Baer's Pochard,NA,NA,NA,NA,NA,NA,0.13,0.175,0.22,Insufficient Data,Insufficient Data,Very Restricted,High
Tufted Duck,-82.40216675,-78.1623685,-72.76616945,-6.523979972,-4.672985143,-2.821990314,45.438,45.495,45.552,Rapid Decline,Decline,Large,High
Greater Scaup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Long-tailed Duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Goldeneye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Smew,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Common Merganser,-81.17811286,-74.39187993,-65.00155473,-9.895667131,-7.780618386,-5.66556964,5.73,5.779,5.828,Rapid Decline,Rapid Decline,Moderate,High
Red-breasted Merganser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
White-headed Duck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nicobar Megapode,NA,NA,NA,NA,NA,NA,0.146,0.15,0.154,Insufficient Data,Insufficient Data,Restricted,High
Hill Partridge,-20.89640137,3.30061005,34.93519118,4.885432586,9.395265343,13.9050981,8.385,8.421,8.457,Stable,Trend Inconclusive,Moderate,Low
Chestnut-breasted Partridge,NA,NA,NA,NA,NA,NA,0.816,0.856,0.896,Insufficient Data,Insufficient Data,Restricted,Moderate
Rufous-throated Partridge,NA,NA,NA,NA,NA,NA,4.878,4.937,4.996,Insufficient Data,Insufficient Data,Moderate,Low
White-cheeked Partridge,NA,NA,NA,NA,NA,NA,2.355,2.404,2.453,Insufficient Data,Insufficient Data,Restricted,Moderate
Snow Partridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blood Pheasant,NA,NA,NA,NA,NA,NA,0.628,0.645,0.662,Insufficient Data,Insufficient Data,Very Restricted,High
Western Tragopan,NA,NA,NA,NA,NA,NA,0.501,0.538,0.575,Insufficient Data,Insufficient Data,Very Restricted,High
Satyr Tragopan,-58.18414938,-32.49292856,6.277215903,-9.185621156,-3.734454148,1.71671286,1.069,1.107,1.145,Trend Inconclusive,Trend Inconclusive,Restricted,Moderate
Blyth's Tragopan,NA,NA,NA,NA,NA,NA,0.653,0.694,0.735,Insufficient Data,Insufficient Data,Very Restricted,High
Temminck's Tragopan,NA,NA,NA,NA,NA,NA,0.367,0.367,0.367,Insufficient Data,Insufficient Data,Very Restricted,High
Himalayan Monal,NA,NA,NA,-6.24547244,-3.945147273,-1.644822106,6.36,6.395,6.43,Insufficient Data,Trend Inconclusive,Moderate,Low
Sclater's Monal,NA,NA,NA,NA,NA,NA,0.217,0.217,0.217,Insufficient Data,Insufficient Data,Very Restricted,High
Koklass Pheasant,NA,NA,NA,NA,NA,NA,5.865,5.906,5.947,Insufficient Data,Insufficient Data,Moderate,Low
Tibetan Partridge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hume's Pheasant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheer Pheasant,NA,NA,NA,NA,NA,NA,3.801,3.851,3.901,Insufficient Data,Insufficient Data,Restricted,High
Kalij Pheasant,22.60672422,49.34794214,86.03659614,3.449950593,6.483047677,9.516144762,16.657,16.689,16.721,Trend Inconclusive,Trend Inconclusive,Moderate,Low
Indian Peafowl,123.6307058,149.3514403,181.5418621,5.952592359,7.817173392,9.681754424,170.741,170.781,170.821,Rapid Increase,Rapid Increase,Very Large,Low
Green Peafowl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Red Spurfowl,-45.08556545,-35.42387925,-24.54531444,-1.956977523,-0.30364201,1.349693502,31.997,32.051,32.105,Trend Inconclusive,Stable,Large,Low
