"Species","Range Coverage","Mean Grid Coverage","Long-term Decline","Current Annual Decline","Current Status","Conservation Priority","Years1GEN","1GEN Decline","Years2GEN","2GEN Decline","Years3GEN","3GEN Decline","3GEN Decline Mean","3GEN Decline LCI","1GEN valid","2GEN valid","3GEN valid","Criteria A Redlist Category Proposed","Current Redlist","IUCN Different","Red List using Exp projections","Red List projections different","Projected Decline","Criterion C Redlist Category Proposed"
"Spot-billed Pelican",43.22,"59.86% (57.04, 62.68)","-106.74% (-88.39, -121.99)","-9% (-7.03, -10.98)","Rapid Decline","Moderate",9,48,18,73,27,NA,NA,NA,TRUE,TRUE,FALSE,NA,"Near Threatened",NA,"Vulnerable",NA,38,"Critically Endangered"
"Garganey",35.66,"49.3% (47.84, 50.76)","-152.25% (-148.27, -156.01)","-6.37% (-4.97, -7.76)","Rapid Decline","High",4,18,9,37,13,48,57,65,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",33,"Endangered"
"Indian Courser",23.64,"47.1% (44.7, 49.51)","-160.82% (-154.72, -165.92)","-6.95% (-4.78, -9.12)","Rapid Decline","High",4,18,8,32,12,44,58,68,TRUE,TRUE,TRUE,"Vulnerable","Near Threatened","Yes","Vulnerable","No",36,"Endangered"
"Mistle Thrush",30.59,"44.39% (40.21, 48.57)",NA,"-6% (-4.35, -7.65)","Rapid Decline","Moderate",5,20,9,33,14,46,58,67,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",32,"Endangered"
"Bank Myna",32.75,"35.57% (34.29, 36.84)","-155.27% (-151.57, -158.56)","-4.62% (-4.17, -5.07)","Rapid Decline","Moderate",3,12,6,23,10,35,38,41,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Endangered","Yes",51,"Endangered"
"Long-legged Buzzard",24.44,"44.84% (42.28, 47.4)","-168.93% (-164.58, -172.78)","-6.18% (-4.13, -8.24)","Rapid Decline","High",7,26,15,47,22,NA,NA,NA,TRUE,TRUE,FALSE,NA,"Least Concern",NA,"Near Threatened",NA,27,"Critically Endangered"
"Brown Dipper",35.77,"38.91% (36.1, 41.72)","-172.36% (-161.97, -179.62)","-5.47% (-3.93, -7.01)","Rapid Decline","Low",3,11,6,21,10,33,43,52,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",46,"Endangered"
"Northern Shoveler",34.83,"44.3% (42.95, 45.66)","-149.5% (-145.69, -153.3)","-5.34% (-3.42, -7.26)","Decline","Moderate",5,16,9,27,14,39,54,65,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",39,"Endangered"
"White-eyed Buzzard",29.89,"46.42% (45.07, 47.77)","-142.56% (-137.01, -146.72)","-4.82% (-3.2, -6.45)","Decline","Moderate",6,18,12,32,18,44,59,70,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",42,"Endangered"
"Lesser Necklaced Laughingthrush",29.58,"43.25% (38.88, 47.62)",NA,"-4.89% (-3.02, -6.77)","Decline","Moderate",4,12,8,22,12,31,45,57,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",49,"Endangered"
