"Species","Range Coverage","Mean Grid Coverage","Long-term Decline","Current Annual Decline","Current Status","Conservation Priority","Years1GEN","1GEN Decline","Years2GEN","2GEN Decline","Years3GEN","3GEN Decline","3GEN Decline Mean","3GEN Decline LCI","1GEN valid","2GEN valid","3GEN valid","Criteria A Redlist Category Proposed","Current Redlist","IUCN Different","Red List using Exp projections","Red List projections different","Projected Decline","Uses Real Data (not projected)","Criterion C Redlist Category Proposed"
"Spot-billed Pelican",43.22,"59.86% (57.04, 62.68)","-106.74% (-88.39, -121.99)","-8.37% (-6.58, -10.16)","Rapid Decline","Moderate",9,46,18,71,27,NA,NA,NA,TRUE,TRUE,FALSE,NA,"Near Threatened",NA,NA,NA,NA,FALSE,"Critically Endangered"
"Laggar Falcon",22.93,"46.2% (41.61, 50.78)",NA,"-7.79% (-5.21, -10.37)","Rapid Decline","Moderate",6,27,12,47,18,62,77,86,TRUE,TRUE,TRUE,"Endangered","Near Threatened","Yes","Least Concern","Yes",16,FALSE,"Critically Endangered"
"Mistle Thrush",30.59,"44.39% (40.21, 48.57)",NA,"-6.01% (-4.65, -7.37)","Rapid Decline","Moderate",5,21,9,35,14,49,58,66,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",34,FALSE,"Endangered"
"Bank Myna",32.75,"35.57% (34.29, 36.84)","-155.27% (-151.57, -158.56)","-5.1% (-4.44, -5.76)","Rapid Decline","High",3,13,6,24,10,36,41,45,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",45,TRUE,"Endangered"
"White-tailed Stonechat",28.99,"52.64% (46.4, 58.87)",NA,"-6.53% (-3.89, -9.16)","Decline","Moderate",3,11,5,18,10,33,49,62,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Near Threatened","Yes",23,TRUE,"Vulnerable"
"Indian Courser",23.64,"47.1% (44.7, 49.51)","-160.82% (-154.72, -165.92)","-5.91% (-3.77, -8.05)","Rapid Decline","High",4,14,8,26,12,37,52,63,TRUE,TRUE,TRUE,"Vulnerable","Near Threatened","Yes","Endangered","Yes",51,FALSE,"Endangered"
"Brown Dipper",35.77,"38.91% (36.1, 41.72)","-172.36% (-161.97, -179.62)","-5.06% (-3.66, -6.46)","Rapid Decline","High",3,11,6,20,10,31,40,49,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",42,TRUE,"Endangered"
"Lesser Racket-tailed Drongo",32.65,"45.41% (42.03, 48.78)","-135.07% (-118.22, -147.89)","-5.27% (-3.35, -7.19)","Decline","Moderate",3,10,7,21,10,29,42,53,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",55,TRUE,"Endangered"
"Northern Shoveler",34.83,"44.3% (42.95, 45.66)","-149.5% (-145.69, -153.3)","-4.86% (-3.2, -6.52)","Decline","Moderate",5,15,9,25,14,37,50,61,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Endangered","Yes",51,FALSE,"Endangered"
"Garganey",35.66,"49.3% (47.84, 50.76)","-152.25% (-148.27, -156.01)","-5.04% (-3.15, -6.92)","Decline","Moderate",4,12,9,25,13,34,49,61,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Endangered","Yes",61,FALSE,"Endangered"
"White-eyed Buzzard",29.89,"46.42% (45.07, 47.77)","-142.56% (-137.01, -146.72)","-4.51% (-3.12, -5.89)","Decline","Moderate",6,17,12,32,18,44,56,66,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",46,FALSE,"Endangered"
"Lesser Necklaced Laughingthrush",29.58,"43.25% (38.88, 47.62)",NA,"-5.13% (-3.11, -7.16)","Decline","Moderate",4,12,8,22,12,32,47,59,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Endangered","Yes",61,FALSE,"Endangered"
"Ruddy Shelduck",32.55,"39.68% (38.48, 40.88)","-127.6% (-121.06, -133.37)","-3.83% (-3.08, -4.58)","Rapid Decline","Moderate",6,17,13,33,19,45,52,59,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes",NA,NA,NA,FALSE,"Endangered"
"Common Kestrel",32.35,"44.99% (43.87, 46.11)","-170.33% (-168.68, -172)","-3.96% (-3.02, -4.91)","Decline","Moderate",6,17,12,31,18,42,52,60,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Near Threatened","Yes",24,FALSE,"Endangered"
"House Crow",47.52,"33.95% (33.15, 34.75)","-72.11% (-66.95, -76.72)","-3.81% (-3.01, -4.62)","Rapid Decline","Moderate",5,14,11,29,16,39,46,53,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Endangered","Yes",69,FALSE,"Endangered"
"Black-naped Oriole",37.99,"61.79% (59.1, 64.48)","-112.07% (-95.47, -125.59)","-4.64% (-3, -6.29)","Decline","Low",4,11,8,22,12,31,43,54,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Endangered","Yes",64,FALSE,"Endangered"
"Isabelline Shrike",28.75,"44.23% (41.99, 46.47)","-142.7% (-133.76, -150.48)","-4.92% (-2.94, -6.9)","Decline","Moderate",3,9,5,14,10,26,40,51,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",59,TRUE,"Vulnerable"
"Common Starling",26.43,"44.74% (41.7, 47.79)","-155.59% (-147.8, -161.23)","-4% (-2.92, -5.08)","Decline","High",5,14,11,28,16,38,48,57,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Vulnerable","No",45,FALSE,"Endangered"
"Crimson Sunbird",37.59,"43.38% (41.14, 45.61)","-117.27% (-99.49, -129.24)","-4.66% (-2.91, -6.41)","Decline","Moderate",3,8,5,14,10,26,38,48,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",71,TRUE,"Vulnerable"
"Long-legged Buzzard",24.44,"44.84% (42.28, 47.4)","-168.93% (-164.58, -172.78)","-5.03% (-2.9, -7.16)","Decline","High",7,19,15,36,22,NA,NA,NA,TRUE,TRUE,FALSE,NA,"Least Concern",NA,NA,NA,NA,FALSE,"Endangered"
"Isabelline Wheatear",26.46,"45.25% (42.15, 48.35)","-160.12% (-152.62, -166.92)","-4.65% (-2.88, -6.42)","Decline","High",3,8,5,14,10,25,38,48,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",53,TRUE,"Vulnerable"
"Ashy-crowned Sparrow-Lark",34.76,"39.24% (38.15, 40.33)","-159.14% (-156.92, -161.34)","-3.23% (-2.79, -3.68)","Decline","Moderate",3,8,6,16,10,25,28,31,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",56,TRUE,"Vulnerable"
"Bar-headed Goose",30.82,"46.05% (44.29, 47.8)","-100.98% (-87.45, -112.59)","-4.46% (-2.77, -6.16)","Decline","Low",10,24,21,45,31,NA,NA,NA,TRUE,TRUE,FALSE,NA,"Least Concern",NA,NA,NA,NA,FALSE,"Endangered"
"Common Merganser",26.8,"47.56% (42.97, 52.15)","-172.77% (-162.75, -179.49)","-4.25% (-2.7, -5.8)","Decline","High",6,15,12,28,19,41,56,68,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes",NA,NA,NA,FALSE,"Endangered"
"Jungle Myna",47.11,"46.85% (45.4, 48.3)","-106% (-98.13, -113.22)","-3.78% (-2.68, -4.89)","Decline","Low",3,8,6,15,10,24,32,39,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",67,TRUE,"Vulnerable"
"Russet Sparrow",47.06,"41.1% (38.38, 43.82)","-90.31% (-68.97, -108.18)","-3.95% (-2.62, -5.28)","Decline","Moderate",3,8,6,15,10,23,33,42,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",77,TRUE,"Vulnerable"
"Barn Swallow",42.15,"40.95% (40.03, 41.88)","-138.04% (-135.19, -140.65)","-3.78% (-2.61, -4.94)","Decline","Moderate",4,10,7,17,11,25,35,43,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",60,FALSE,"Vulnerable"
"Black-winged Kite",38.6,"38.99% (38.06, 39.93)","-153.61% (-151.46, -155.66)","-3.34% (-2.6, -4.09)","Decline","Moderate",5,12,10,23,14,31,38,44,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Endangered","Yes",52,FALSE,"Endangered"
"Indian Roller",41.57,"36.83% (35.9, 37.77)","-154.76% (-152.88, -156.67)","-3.35% (-2.58, -4.11)","Decline","Moderate",5,12,10,23,14,31,38,44,TRUE,TRUE,TRUE,"Vulnerable","Near Threatened","Yes","Endangered","Yes",53,FALSE,"Endangered"
"Hair-crested Drongo",36.58,"53.08% (50.78, 55.37)","-141.05% (-133.89, -146.92)","-3.63% (-2.56, -4.7)","Decline","Moderate",4,10,7,17,11,25,33,41,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Endangered","Yes",69,FALSE,"Vulnerable"
"Forest Wagtail",35.3,"68.14% (65.52, 70.75)","-184.34% (-181.72, -186.44)","-3.37% (-2.55, -4.19)","Decline","High",3,7,5,12,10,23,29,35,TRUE,TRUE,TRUE,"Near Threatened","Least Concern","Yes","Vulnerable","Yes",34,TRUE,"Vulnerable"
"House Sparrow",44.52,"35.35% (34.54, 36.16)","-110.19% (-106.97, -113.51)","-3.61% (-2.48, -4.74)","Decline","Moderate",5,12,10,22,15,31,42,52,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes","Endangered","Yes",67,FALSE,"Endangered"
"Short-toed Snake-Eagle",29.57,"48.89% (47.52, 50.27)","-174.75% (-172.6, -176.45)","-3.01% (-2.47, -3.54)","Decline","Moderate",12,26,23,NA,35,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Least Concern",NA,NA,NA,NA,FALSE,"Critically Endangered"
"Ruff",31.55,"44.12% (42.26, 45.98)","-158.93% (-155.19, -162.62)","-3.3% (-2.46, -4.14)","Decline","High",6,14,13,28,19,38,47,55,TRUE,TRUE,TRUE,"Vulnerable","Least Concern","Yes",NA,NA,NA,FALSE,"Endangered"
"Osprey",30.95,"52.16% (50.51, 53.82)","-155.07% (-149.95, -159.37)","-3.34% (-2.44, -4.24)","Decline","Moderate",10,22,20,39,29,NA,NA,NA,TRUE,TRUE,FALSE,NA,"Least Concern",NA,NA,NA,NA,FALSE,"Endangered"
"Sarus Crane",28.64,"34.41% (32.22, 36.59)","-161.99% (-156.91, -166.42)","-3.24% (-2.43, -4.05)","Decline","High",16,33,33,NA,49,NA,NA,NA,TRUE,FALSE,FALSE,NA,"Vulnerable",NA,NA,NA,NA,FALSE,"Critically Endangered"
