"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1992,"Fulvous Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Fulvous Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Fulvous Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Fulvous Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Fulvous Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Fulvous Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Fulvous Whistling-Duck","2015",-4.98738026670485,0.12176984813334,0.00536030005849805,0.0068002895614825,0.00862543689265279,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Fulvous Whistling-Duck","2016",-4.93548605058352,0.115937207226361,0.00570972365135043,0.00716120238078585,0.0089799944670887,NA,NA,NA,76.3007624466588,105.307315461206,148.289857398188,NA,NA,NA,76.3007624466588,105.307315461206,148.289857398188
2017,"Fulvous Whistling-Duck","2017",-5.07175671662088,0.12070948188583,0.00493786942830233,0.00625176925462024,0.00791388722745509,NA,NA,NA,66.971533335358,91.9338683757066,130.914070110688,NA,NA,NA,66.971533335358,91.9338683757066,130.914070110688
2018,"Fulvous Whistling-Duck","2018",-5.09749614544003,0.117218527008028,0.0048456581902173,0.00609339059382906,0.00766116895862732,NA,NA,NA,63.326796634675,89.6048695976508,122.776918783509,NA,NA,NA,63.326796634675,89.6048695976508,122.776918783509
2019,"Fulvous Whistling-Duck","2019",-5.10597803963517,0.113702289364228,0.00483797803807942,0.00604208146115285,0.00754473106950968,NA,NA,NA,64.4521088736403,88.8503556580264,121.241050072948,NA,NA,NA,64.4521088736403,88.8503556580264,121.241050072948
2020,"Fulvous Whistling-Duck","2020",-5.10964986989344,0.112106599457477,0.00483535192412878,0.00602000343484838,0.00749379760922971,NA,NA,NA,64.7251317463247,88.5256926255943,121.706874114226,NA,NA,NA,64.7251317463247,88.5256926255943,121.706874114226
2021,"Fulvous Whistling-Duck","2021",-5.02289661823809,0.11168387713239,0.005276769416518,0.00656378721634885,0.00816342161854726,NA,NA,NA,69.2332699776447,96.522172431109,136.71916431587,NA,NA,NA,69.2332699776447,96.522172431109,136.71916431587
2022,"Fulvous Whistling-Duck","2022",-4.94066886279454,0.108678064901702,0.00576145324788571,0.00712431541131832,0.00880812956739861,NA,NA,NA,75.2016124863377,104.764883126023,144.207975521551,NA,NA,NA,75.2016124863377,104.764883126023,144.207975521551
2023,"Fulvous Whistling-Duck","2023",-4.91248779079501,0.10952497372701,0.00591583884061545,0.00732719417936677,0.00907372006107219,NA,NA,NA,79.6697116448655,107.748267380682,148.136380889092,NA,NA,NA,79.6697116448655,107.748267380682,148.136380889092
2024,"Fulvous Whistling-Duck","2024",-4.91369103737518,0.0999829782842784,0.00601995659110286,0.0073184153807707,0.00889568618853975,NA,NA,NA,79.8169928614811,107.619172898503,144.478856926237,NA,NA,NA,79.8169928614811,107.619172898503,144.478856926237
2025,"Fulvous Whistling-Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.3306252044968,105.588075888015,126.464699624952,88.3306252044968,105.588075888015,126.464699624952
2026,"Fulvous Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.0848521758491,106.813523748484,131.348690486329,87.0848521758491,106.813523748484,131.348690486329
2027,"Fulvous Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.8164787493877,108.06952568121,136.540285626096,85.8164787493877,108.06952568121,136.540285626096
2028,"Fulvous Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.5446787044798,109.356840110244,142.031235853006,84.5446787044798,109.356840110244,142.031235853006
2029,"Fulvous Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.2812188047819,110.676248864987,147.821417747221,83.2812188047819,110.676248864987,147.821417747221
2030,"Fulvous Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.0334894286334,112.028557930555,153.915840008644,82.0334894286334,112.028557930555,153.915840008644
2031,"Fulvous Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.8061973987703,113.414598224524,160.322990048302,80.8061973987703,113.414598224524,160.322990048302
2032,"Fulvous Whistling-Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.6023479134271,114.835226401014,167.053894067577,79.6023479134271,114.835226401014,167.053894067577
1992,"Lesser Whistling-Duck","before 2000",-3.05330426245517,0.0588002701717296,0.0411919972776111,0.0461059728221352,0.0515902210248908,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Lesser Whistling-Duck","2000-2006",-2.87491884846553,0.0602230892501665,0.0489027884979964,0.0548585857223887,0.0615159758771842,101.425885275637,118.98368554985,138.934910410011,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",-2.80572363917193,0.0539967736459059,0.0529382291505376,0.0586714042951885,0.0650038882435379,108.902109387303,127.253370233673,149.671136093012,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Lesser Whistling-Duck","2011-2012",-2.41823116418663,0.0439277439218049,0.0784796111354355,0.0852267369789362,0.0925242701826073,160.873031807004,184.849666458007,211.635514479118,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",-2.46856765121007,0.0435353988120064,0.0748301820249822,0.081217725929036,0.0881240870546033,154.594165752165,176.154456695563,201.578481062054,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",-2.65497934675427,0.0337459889607795,0.063682750613933,0.0678861271396368,0.0723560770018472,130.042595593515,147.239333614158,168.516041916241,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",-2.7457924772073,0.0377305427102886,0.0578786428502992,0.0621801498209292,0.0667898627150533,117.352983422036,134.863545902835,154.822992564162,100,100,100,NA,NA,NA,100,100,100
2016,"Lesser Whistling-Duck","2016",-2.76427901315859,0.0348806478322775,0.0571583821144777,0.0610767327758345,0.0652542834032791,116.686967534141,132.470326591855,149.722995850182,89.3909765136628,98.2254512922977,108.667846594708,NA,NA,NA,89.3909765136628,98.2254512922977,108.667846594708
2017,"Lesser Whistling-Duck","2017",-2.67126026656043,0.0325333838474369,0.0628316459656841,0.0668273098694152,0.0710673043145209,128.321583491438,144.942847485764,166.051695345222,98.1213816317646,107.473703524146,117.709052689344,NA,NA,NA,98.1213816317646,107.473703524146,117.709052689344
2018,"Lesser Whistling-Duck","2018",-2.74734286962284,0.0327430553478864,0.0583424400024189,0.0620868751960374,0.066063092213689,118.812510573154,134.661241040401,153.167320731955,90.3899040834213,99.8499929235288,109.797685053432,NA,NA,NA,90.3899040834213,99.8499929235288,109.797685053432
2019,"Lesser Whistling-Duck","2019",-2.70648061338379,0.0350204681821865,0.0604384508687157,0.0645909773880798,0.0690181909398594,123.275928674323,140.092429319852,158.440578492122,93.8233597015471,103.877165902774,114.710621526033,NA,NA,NA,93.8233597015471,103.877165902774,114.710621526033
2020,"Lesser Whistling-Duck","2020",-2.66940878012358,0.0349843523808094,0.0626523425414408,0.0669469131896925,0.0715244724046324,127.993248001113,145.202257087072,164.645541738029,97.2450071394658,107.666053205872,118.674426921976,NA,NA,NA,97.2450071394658,107.666053205872,118.674426921976
2021,"Lesser Whistling-Duck","2021",-2.76592370545253,0.0317239162314356,0.0574109977847076,0.0609794873830463,0.0647620687985172,116.238881284359,132.259409465861,148.585539231659,89.5641436442509,98.0690583066452,108.185073193159,NA,NA,NA,89.5641436442509,98.0690583066452,108.185073193159
2022,"Lesser Whistling-Duck","2022",-2.7167310415286,0.0336469651122318,0.0599972920088044,0.0639538036227208,0.0681616425260616,121.922344532917,138.710452698694,158.917256983841,93.6076962059689,102.852443757211,112.782113099713,NA,NA,NA,93.6076962059689,102.852443757211,112.782113099713
2023,"Lesser Whistling-Duck","2023",-2.71297179023441,0.0350196083061091,0.0600594890649958,0.064186773545976,0.0685871989752247,122.211042574608,139.215744982959,157.878337691309,93.2533112235986,103.22711304303,114.511679595395,NA,NA,NA,93.2533112235986,103.22711304303,114.511679595395
2024,"Lesser Whistling-Duck","2024",-2.75549518251916,0.0310705109292534,0.0580671642659795,0.0615986372063531,0.0653373417558402,117.980076967945,133.60229366374,151.324462436643,90.472520865261,99.0647938027638,108.482331424906,NA,NA,NA,90.472520865261,99.0647938027638,108.482331424906
2025,"Lesser Whistling-Duck","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.6183362030456,102.077261417654,108.993004868888,95.6183362030456,102.077261417654,108.993004868888
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.7497458120785,102.113940233828,110.077684606406,94.7497458120785,102.113940233828,110.077684606406
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.8675476954572,102.15200302826,111.202691054577,93.8675476954572,102.15200302826,111.202691054577
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.9793487737818,102.191450477877,112.360480687865,92.9793487737818,102.191450477877,112.360480687865
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.0899313990588,102.232283315872,113.546339912746,92.0899313990588,102.232283315872,113.546339912746
2030,"Lesser Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.2024062631815,102.274502331677,114.757232178138,91.2024062631815,102.274502331677,114.757232178138
2031,"Lesser Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3188551301485,102.318108370929,115.991155263495,90.3188551301485,102.318108370929,115.991155263495
2032,"Lesser Whistling-Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4407032361035,102.363102335453,117.246768900473,89.4407032361035,102.363102335453,117.246768900473
1992,"Bar-headed Goose","before 2000",-4.33270477643817,0.101444538898367,0.0107064029563228,0.0130461320830797,0.0158930537348288,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Bar-headed Goose","2000-2006",-4.47007308934624,0.110284705603224,0.00917898858088159,0.0113812175040657,0.0141080333389903,65.1026379086262,87.2382513958038,116.060860405055,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Bar-headed Goose","2007-2010",-4.51159755169407,0.105134725144578,0.00889624224727106,0.0109208335482675,0.0134030532137127,63.9229550206898,83.7093590554046,114.043387128369,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Bar-headed Goose","2011-2012",-4.3154295530982,0.096038827690622,0.0110073205220522,0.0132719496516222,0.0159987185186991,78.3724737462491,101.730915853867,132.212360099131,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Bar-headed Goose","2013",-4.18827873865031,0.0919728465284739,0.0125897327666229,0.0150578574251641,0.0180054111902345,88.4690463350825,115.420090255667,149.364536836183,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Bar-headed Goose","2014",-4.45152079127854,0.0843102527729076,0.00983599013951579,0.0115930959408101,0.0136619202127166,66.9912308842046,88.8623223111921,114.235425985726,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Bar-headed Goose","2015",-4.40211512846425,0.0812568310849728,0.0103932596584366,0.0121766563506694,0.0142638570320108,72.5004638192343,93.3353753674009,120.076214930999,100,100,100,NA,NA,NA,100,100,100
2016,"Bar-headed Goose","2016",-4.70870529348472,0.0795568572272662,0.00768494876488619,0.00897591744110869,0.0104826036308726,53.2308132502377,68.801368742465,88.5766751885276,59.5744150572521,73.7141394370983,91.1338176111198,NA,NA,NA,59.5744150572521,73.7141394370983,91.1338176111198
2017,"Bar-headed Goose","2017",-4.42103221820376,0.0752853146037589,0.010318950376094,0.0119498434065554,0.0138366893411857,70.3378370674731,91.5968298531472,118.267026826085,79.7004946008463,98.1373134169009,121.364013089981,NA,NA,NA,79.7004946008463,98.1373134169009,121.364013089981
2018,"Bar-headed Goose","2018",-4.48082281553946,0.0774288890282011,0.00968241147819102,0.0112602154960747,0.0130934273185119,67.6187011842586,86.3107580420615,111.242245003843,74.1591905725954,92.4737889597722,116.383375575395,NA,NA,NA,74.1591905725954,92.4737889597722,116.383375575395
2019,"Bar-headed Goose","2019",-4.61159262198558,0.0763545019414477,0.0085184416329274,0.00988678265496505,0.0114736492874624,59.2691995290593,75.7832481842477,96.5472187880839,65.2493690118963,81.1945608896286,101.136410565106,NA,NA,NA,65.2493690118963,81.1945608896286,101.136410565106
2020,"Bar-headed Goose","2020",-4.65423899324473,0.0756843609056455,0.00817494081031929,0.00947597345346894,0.0109829149465019,57.0546005975318,72.6343516463312,93.6263081491719,62.7819549846574,77.8208169843608,97.8863041321683,NA,NA,NA,62.7819549846574,77.8208169843608,97.8863041321683
2021,"Bar-headed Goose","2021",-4.64531590561085,0.0751840433257367,0.0082559684993168,0.00956049946841109,0.0110700071609252,58.1206686469902,73.2822526058177,94.6408769495176,63.3958478043815,78.5149813962316,97.6907567056454,NA,NA,NA,63.3958478043815,78.5149813962316,97.6907567056454
2022,"Bar-headed Goose","2022",-4.68763442817236,0.076180357939354,0.00789985463254171,0.00916617576926971,0.010634393767983,54.9458520339276,70.2597192094803,89.7647200884725,60.2392687359437,75.2766236091228,92.8571501841921,NA,NA,NA,60.2392687359437,75.2766236091228,92.8571501841921
2023,"Bar-headed Goose","2023",-4.62439053731535,0.0720704521708746,0.00848119192561897,0.00976167432388718,0.0112343849804946,58.1889786490961,74.8242794241497,96.9063631470169,65.1913533310599,80.1671168403351,99.8185070714503,NA,NA,NA,65.1913533310599,80.1671168403351,99.8185070714503
2024,"Bar-headed Goose","2024",-4.7842791498243,0.0731665910544453,0.00721707808142495,0.008325299134813,0.00960286883005151,50.3069364810293,63.8143097264099,80.233815025489,55.2031053783122,68.3709788225678,84.295867029983,NA,NA,NA,55.2031053783122,68.3709788225678,84.295867029983
2025,"Bar-headed Goose","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.8514577204175,70.540006128241,83.2252916406196,59.8514577204175,70.540006128241,83.2252916406196
2026,"Bar-headed Goose","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.8424981998865,68.6062478370945,82.9194618810803,56.8424981998865,68.6062478370945,82.9194618810803
2027,"Bar-headed Goose","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.956755735344,66.7303999703468,82.6744042279371,53.956755735344,66.7303999703468,82.6744042279371
2028,"Bar-headed Goose","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2007152740381,64.9106093297314,82.4737776303377,51.2007152740381,64.9106093297314,82.4737776303377
2029,"Bar-headed Goose","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5754326117182,63.1450852846981,82.3072395626101,48.5754326117182,63.1450852846981,82.3072395626101
2030,"Bar-headed Goose","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.0789659885364,61.4320975630006,82.1679809521466,46.0789659885364,61.4320975630006,82.1679809521466
2031,"Bar-headed Goose","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.7077096992669,59.7699741223601,82.0513611183046,43.7077096992669,59.7699741223601,82.0513611183046
2032,"Bar-headed Goose","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.4571515050912,58.1570991001272,81.9541208099533,41.4571515050912,58.1570991001272,81.9541208099533
1992,"Graylag Goose","before 2000",-5.30579528938163,0.392760242773433,0.00229561551682534,0.00495045573928863,0.0106591286832376,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Graylag Goose","2000-2006",-5.65446066040214,0.412879539764915,0.00155779493346555,0.00349573690482545,0.00783505690280341,26.516152666284,70.6144462030434,201.663537734124,NA,NA,NA,NA,NA,NA,NA,NA,NA
