"ID","timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
"14365",1992,"Black-headed Bunting","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14366",2003,"Black-headed Bunting","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14367",2009,"Black-headed Bunting","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14368",2012,"Black-headed Bunting","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14369",2013,"Black-headed Bunting","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14370",2014,"Black-headed Bunting","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14371",2015,"Black-headed Bunting","2015",-4.70395532883147,0.114308503688128,0.00721481811183968,0.00901846086002878,0.0112704331071093,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
"14372",2016,"Black-headed Bunting","2016",-4.25735337369053,0.0919468447901055,0.0117550106957343,0.0140599509136558,0.016812988867424,NA,NA,NA,122.083132861382,155.90188982215,205.215730334979,NA,NA,NA,122.083132861382,155.90188982215,205.215730334979
"14373",2017,"Black-headed Bunting","2017",-4.31214427569176,0.0915956615493591,0.0111393934438565,0.013315331326626,0.0159128792466923,NA,NA,NA,111.620782461362,147.645274878795,194.888058169346,NA,NA,NA,111.620782461362,147.645274878795,194.888058169346
"14374",2018,"Black-headed Bunting","2018",-4.10963278823851,0.0825885479567833,0.0138637384777633,0.0162798283331801,0.0191128830709751,NA,NA,NA,139.868890652305,180.516704411667,232.643457533188,NA,NA,NA,139.868890652305,180.516704411667,232.643457533188
"14375",2019,"Black-headed Bunting","2019",-4.41014592488479,0.088022211851474,0.0101754341470956,0.0120798503733379,0.0143381043824596,NA,NA,NA,104.945109578776,133.945809166592,181.191292192182,NA,NA,NA,104.945109578776,133.945809166592,181.191292192182
"14376",2020,"Black-headed Bunting","2020",-4.28615158545256,0.083059276204148,0.0116227894203282,0.0136635635570228,0.0160597436611084,NA,NA,NA,114.520450021043,151.506601504275,202.166884136188,NA,NA,NA,114.520450021043,151.506601504275,202.166884136188
"14377",2021,"Black-headed Bunting","2021",-4.57271251639828,0.0855903350353184,0.00869650840980244,0.010276731457584,0.0121423302168111,NA,NA,NA,87.1147439214781,113.952165642056,148.109458378406,NA,NA,NA,87.1147439214781,113.952165642056,148.109458378406
"14378",2022,"Black-headed Bunting","2022",-4.59366339051398,0.0857914322914562,0.00851363236989441,0.0100647405958309,0.011896747268048,NA,NA,NA,84.5830302949941,111.601533255407,146.735141598928,NA,NA,NA,84.5830302949941,111.601533255407,146.735141598928
"14379",2023,"Black-headed Bunting","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.9453299347792,127.627429429042,181.673314911024,89.9453299347792,127.627429429042,181.673314911024
"14380",2024,"Black-headed Bunting","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.5219247112359,126.197654959804,191.525545845782,83.5219247112359,126.197654959804,191.525545845782
"14381",2025,"Black-headed Bunting","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.4420486231813,124.811955630911,202.354212382962,77.4420486231813,124.811955630911,202.354212382962
"14382",2026,"Black-headed Bunting","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.743243931542,123.469220058695,214.128548307921,71.743243931542,123.469220058695,214.128548307921
"14383",2027,"Black-headed Bunting","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.4312452276637,122.168377467902,226.858211121978,66.4312452276637,122.168377467902,226.858211121978
"14384",2028,"Black-headed Bunting","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.4963335145558,120.908396330008,240.57694544928,61.4963335145558,120.908396330008,240.57694544928
"14385",2029,"Black-headed Bunting","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.9213239442676,119.688283057518,255.334680857906,56.9213239442676,119.688283057518,255.334680857906
"14386",1992,"Red-headed Bunting","before 2000",-6.54002728226729,1.06004942488253,0.000180855065712222,0.00144340637615883,0.0114691714138409,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14387",2003,"Red-headed Bunting","2000-2006",-6.58581492685992,1.05176975305621,0.00017558778456454,0.00137885098145662,0.0107832398782159,5.64777365641491,95.5275661955988,1334.89675702866,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14388",2009,"Red-headed Bunting","2007-2010",-6.40387388286791,1.06099647789941,0.0002068471564553,0.00165376406898809,0.0131552448745183,4.43468069147413,114.573698461071,1959.50509703958,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14389",2012,"Red-headed Bunting","2011-2012",-6.3425803088464,1.04716257703426,0.00022596465769502,0.00175820819833233,0.0136095255127539,7.12832133465495,121.809646082571,2461.77143810815,NA,NA,NA,NA,NA,NA,NA,NA,NA
