"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",12,NA,0.354166666666667,0.5,15.75,3.60377958159587
"Lesser Whistling-Duck","Dendrocygna javanica","","","",322,0.0559006211180124,0.311335403726708,0.537267080745342,10.8695652173913,0.656677013982621
"Bar-headed Goose","Anser indicus","","","",168,0.0892857142857143,0.255208333333333,0.380952380952381,11.0595238095238,1.02503158674535
"Graylag Goose","Anser anser","","","",76,0.131578947368421,0.228618421052632,0.381578947368421,9.92105263157895,1.39066892239246
"Greater White-fronted Goose","Anser albifrons","","","",3,NA,0.333333333333333,0.333333333333333,9.33333333333333,10.4533333333333
"Lesser White-fronted Goose","Anser erythropus","","","",4,NA,NA,NA,8,7.84
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",1,NA,NA,NA,17,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","","","",227,0.0616740088105727,0.285242290748899,0.511013215859031,11.1762114537445,0.773162300648426
"Ruddy Shelduck","Tadorna ferruginea","","","",258,0.131782945736434,0.304748062015504,0.453488372093023,9.4922480620155,0.700375935268306
"Common Shelduck","Tadorna tadorna","","","",15,0.133333333333333,0.1,NA,9.93333333333333,3.95931396975677
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","",143,0.118881118881119,0.259615384615385,0.342657342657343,12.6503496503496,1.10005823383993
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","","","",227,0.105726872246696,0.303964757709251,0.405286343612335,12.0837004405286,0.793922583825241
"Northern Shoveler","Spatula clypeata","","","",288,0.131944444444444,0.342881944444444,0.475694444444444,10.9444444444444,0.730166026996481
"Gadwall","Mareca strepera","","","",208,0.0817307692307692,0.274038461538462,0.389423076923077,10.1057692307692,0.833678970855767
"Falcated Duck","Mareca falcata","","","",3,0.333333333333333,0.333333333333333,NA,16,8.54344192933972
"Eurasian Wigeon","Mareca penelope","","","",193,0.119170984455959,0.24740932642487,0.295336787564767,11.6943005181347,0.864856151174052
"Indian Spot-billed Duck","Anas poecilorhyncha","","","",375,0.106666666666667,0.404666666666667,0.634666666666667,10.496,0.616144024128998
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","","","",103,0.116504854368932,0.226941747572816,0.339805825242718,10.3009708737864,1.12181690467798
"Northern Pintail","Anas acuta","","","",292,0.126712328767123,0.286815068493151,0.352739726027397,11.0205479452055,0.701535829856501
"Green-winged Teal","Anas crecca","","","",259,0.146718146718147,0.302606177606178,0.413127413127413,10.5945945945946,0.764129432724515
"Andaman Teal","Anas albogularis","","","",NA,NA,NA,NA,NA,NA
"Marbled Teal","Marmaronetta angustirostris","","","",2,1,NA,NA,13,5.88
"Pink-headed Duck","Rhodonessa caryophyllacea","","","",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","","","",NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina","","","",93,0.0645161290322581,0.189516129032258,0.279569892473118,10.0215053763441,1.19377148810507
"Common Pochard","Aythya ferina","","","",211,0.127962085308057,0.273696682464455,0.398104265402844,10.8341232227488,0.821138984610887
"Ferruginous Duck","Aythya nyroca","","","",80,0.1125,0.1890625,0.2125,10.475,1.34947490491203
"Baer's Pochard","Aythya baeri","","","",NA,NA,NA,NA,NA,NA
"Tufted Duck","Aythya fuligula","","","",121,0.190082644628099,0.237603305785124,0.338842975206612,11.0826446280992,1.0934584203698
"Greater Scaup","Aythya marila","","","",1,NA,NA,NA,10,NA
"Long-tailed Duck","Clangula hyemalis","","","",NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula","","","",NA,NA,NA,NA,NA,NA
"Smew","Mergellus albellus","","","",NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser","","","",35,0.2,0.282142857142857,0.485714285714286,7.8,1.63255353934367
"Red-breasted Merganser","Mergus serrator","","","",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala","","","",NA,NA,NA,NA,NA,NA
"Nicobar Megapode","Megapodius nicobariensis","","","",3,NA,0.666666666666667,0.333333333333333,2.66666666666667,2.35562683330314
"Hill Partridge","Arborophila torqueola","","","",41,0.0487804878048781,0.317073170731707,0.48780487804878,9.04878048780488,1.27859059451721
"Chestnut-breasted Partridge","Arborophila mandellii","","","",NA,NA,NA,NA,NA,NA
"Rufous-throated Partridge","Arborophila rufogularis","","","",4,NA,0.25,NA,10.75,4.75914207954893
"White-cheeked Partridge","Arborophila atrogularis","","","",NA,NA,NA,NA,NA,NA
"Snow Partridge","Lerwa lerwa","","","",16,0.25,0.265625,0.1875,9.4375,1.97601271504006
"Blood Pheasant","Ithaginis cruentus","","","",6,0.166666666666667,0.416666666666667,0.5,7,1.82466069905247
"Western Tragopan","Tragopan melanocephalus","","","",8,0.5,0.25,0.375,10,3.49439551281763
"Satyr Tragopan","Tragopan satyra","","","",6,NA,0.291666666666667,0.5,9.33333333333333,3.94171761771157
"Blyth's Tragopan","Tragopan blythii","","","",NA,NA,NA,NA,NA,NA
"Temminck's Tragopan","Tragopan temminckii","","","",1,NA,1,1,4,NA
"Himalayan Monal","Lophophorus impejanus","","","",71,0.140845070422535,0.288732394366197,0.436619718309859,7.97183098591549,0.977410981999175
"Sclater's Monal","Lophophorus sclateri","","","X",1,NA,1,NA,4,NA
"Koklass Pheasant","Pucrasia macrolopha","","","",48,0.1875,0.28125,0.416666666666667,9.20833333333333,1.29175780964184
"Tibetan Partridge","Perdix hodgsoniae","","","",31,0.0645161290322581,0.282258064516129,0.516129032258065,8.03225806451613,1.70404984953441
"Hume's Pheasant","Syrmaticus humiae","","","",NA,NA,NA,NA,NA,NA
"Cheer Pheasant","Catreus wallichii","","","",24,0.0833333333333333,0.203125,0.25,10.3333333333333,1.7365911413659
"Kalij Pheasant","Lophura leucomelanos","","","",66,0.0909090909090909,0.410984848484849,0.53030303030303,8.25757575757576,0.959743464228507
"Indian Peafowl","Pavo cristatus","","","",478,0.0794979079497908,0.443253138075314,0.663179916317992,9.60669456066946,0.537483436302503
"Green Peafowl","Pavo muticus","","","",NA,NA,NA,NA,NA,NA
"Red Spurfowl","Galloperdix spadicea","","","",58,0.103448275862069,0.334051724137931,0.551724137931034,14.0689655172414,1.69474611149239
"Painted Spurfowl","Galloperdix lunulata","","","",74,0.0675675675675676,0.295608108108108,0.459459459459459,11.3243243243243,1.52359044514662
"Gray Peacock-Pheasant","Polyplectron bicalcaratum","","","",NA,NA,NA,NA,NA,NA
"Mountain Bamboo-Partridge","Bambusicola fytchii","","","",NA,NA,NA,NA,NA,NA
"Red Junglefowl","Gallus gallus","","","",33,0.0606060606060606,0.299242424242424,0.575757575757576,10.5757575757576,1.50673715064661
"Gray Junglefowl","Gallus sonneratii","","","",78,0.141025641025641,0.349358974358974,0.602564102564103,13.2820512820513,1.53000122859048
"Gray Francolin","Ortygornis pondicerianus","X","X","X",509,0.0884086444007859,0.431728880157171,0.640471512770137,9.03143418467583,0.521986215856198
"Swamp Francolin","Ortygornis gularis","","","",NA,NA,NA,NA,NA,NA
"Chinese Francolin","Francolinus pintadeanus","","","",NA,NA,NA,NA,NA,NA
"Black Francolin","Francolinus francolinus","","","X",90,0.1,0.336111111111111,0.588888888888889,11.3555555555556,1.06987158556488
"Painted Francolin","Francolinus pictus","","","X",116,0.103448275862069,0.27801724137931,0.448275862068966,11.1896551724138,1.1380977334625
"Tibetan Snowcock","Tetraogallus tibetanus","","","",27,0.037037037037037,0.208333333333333,0.333333333333333,8.7037037037037,1.78713014829096
"Himalayan Snowcock","Tetraogallus himalayensis","","","X",73,0.123287671232877,0.217465753424658,0.342465753424658,7.32876712328767,0.980786365349719
"Blue-breasted Quail","Synoicus chinensis","","","",NA,NA,NA,NA,NA,NA
"Common Quail","Coturnix coturnix","","","",39,0.153846153846154,0.189102564102564,0.461538461538462,12.8974358974359,1.83541850974665
"Japanese Quail","Coturnix japonica","","","",NA,NA,NA,NA,NA,NA
"Rain Quail","Coturnix coromandelica","","","",87,0.149425287356322,0.21264367816092,0.413793103448276,14.0344827586207,1.28078319235527
"Chukar","Alectoris chukar","","X","X",147,0.0680272108843537,0.369047619047619,0.537414965986395,6.87074829931973,0.675674306634016
"Jungle Bush-Quail","Perdicula asiatica","X","X","X",158,0.0886075949367089,0.337816455696203,0.588607594936709,11.9683544303797,1.02747037434093
"Rock Bush-Quail","Perdicula argoondah","","X","X",123,0.0731707317073171,0.252032520325203,0.520325203252033,11.6178861788618,1.07225256381874
