"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1986,"Blood Pheasant","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Blood Pheasant","2000-2006",-7.33364329616179,371.455812496,4.22129687806761e-320,0.000652976202215243,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Blood Pheasant","2007-2010",-2.21303332775225,0.697327438612586,0.0274963111782122,0.103599872362252,0.348847560739531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Blood Pheasant","2011-2012",-2.03998941480131,0.913176409076263,0.02147958465642,0.121930988172318,0.540985436380352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Blood Pheasant","2013",-5.45703632101774,296.201708514722,3.1481459857583e-255,0.00425709339600861,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Blood Pheasant","2014",-2.61101791785907,0.722457430163694,0.017669155295378,0.0708264368836685,0.261181909108535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Blood Pheasant","2015",-3.48807256977759,1.00436534092463,0.00425882559285615,0.0300974894911057,0.196531790307372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Blood Pheasant","2016",-2.63077268901994,0.665912676347952,0.0193374992002097,0.0694903102940714,0.233290898195621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Blood Pheasant","2017",-2.26164105417191,0.481492765487399,0.0397331115344141,0.0989363502260066,0.234857201241692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Blood Pheasant","2018",-3.13717074404191,0.456485311063625,0.0175844674988604,0.0424768966678193,0.100752510127059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,"Blood Pheasant","2019",-3.75464934486144,1.05820083455527,0.00293750841254718,0.0231368003148562,0.169947817527775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Blood Pheasant","2020",-2.8174825532887,0.516011581078299,0.0214997772981495,0.0580058235424962,0.151507181472394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Blood Pheasant","2021",-3.73394792276061,0.502520850072267,0.00888538030544505,0.0236149976252709,0.0619869049617368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Blood Pheasant","2022",-3.05813486410877,0.406814845246062,0.0209408204395189,0.0458889681783016,0.0990174202402092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Blood Pheasant","2023",-2.44222055186565,0.433959760390871,0.0364687569409236,0.0832931311281923,0.184201176145177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Blood Pheasant","2024",-2.63891306518356,0.397056310546998,0.0322737330443777,0.0689468151702525,0.144069749717852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"Blood Pheasant","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,"Blood Pheasant","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,"Blood Pheasant","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,"Blood Pheasant","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,"Blood Pheasant","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030,"Blood Pheasant","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031,"Blood Pheasant","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2032,"Blood Pheasant","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"Satyr Tragopan","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Satyr Tragopan","2000-2006",-17.8609233535791,2679.4738143127,0,1.750247806495e-08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Satyr Tragopan","2007-2010",-18.3031462500363,1197.90329625455,0,1.12472041896164e-08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Satyr Tragopan","2011-2012",-3.09123640581912,1.06468368213722,0.00562331074309728,0.0444285402477464,0.306666167394771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Satyr Tragopan","2013",-2.3111535957396,0.875278902455203,0.0176750094473892,0.0943902545067933,0.423758190508591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Satyr Tragopan","2014",-18.4541399124609,818.619440730419,0,9.67094393655529e-09,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Satyr Tragopan","2015",-4.83271380339394,1.21331162406736,0.000738290008448419,0.00793324121580961,0.0823099396230545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Satyr Tragopan","2016",-4.16794239882324,0.950107229406565,0.00240223700355329,0.0153648253118116,0.094878220258697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Satyr Tragopan","2017",-5.70032596862632,1.05045466819171,0.000426699514325905,0.00333928709318772,0.0258740812011012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Satyr Tragopan","2018",-4.38305271357282,0.837528742621779,0.00241557468871396,0.0124095392619674,0.0624393196257269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,"Satyr Tragopan","2019",-5.29170303580817,1.18560530264196,0.000492638066486667,0.00502053603597361,0.050111153461643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Satyr Tragopan","2020",-4.47679213999173,0.862831405335417,0.00209335071492594,0.0113054353171574,0.0598251736692942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Satyr Tragopan","2021",-5.90779148826396,1.14881797849334,0.000285971692590981,0.00271449248765399,0.0255020389531819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Satyr Tragopan","2022",-5.5725283107154,0.953436824970458,0.000586371069228932,0.00379364440288666,0.0243291068662971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Satyr Tragopan","2023",-4.80434035711814,0.768776350386905,0.00181431036876209,0.00816062425015605,0.0362988659595862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Satyr Tragopan","2024",-6.09761884836641,1.0925690042273,0.000264099096232317,0.0022456893492781,0.0189540747301834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"Satyr Tragopan","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,"Satyr Tragopan","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,"Satyr Tragopan","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,"Satyr Tragopan","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,"Satyr Tragopan","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030,"Satyr Tragopan","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031,"Satyr Tragopan","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2032,"Satyr Tragopan","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"Cheer Pheasant","before 2000",-3.87985882096846,0.492630258541717,0.00783351675947902,0.0204419131965067,0.0527969515901558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Cheer Pheasant","2000-2006",-4.06274337752898,0.7359251495085,0.00405749756955857,0.0170546577615953,0.0701935527179264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Cheer Pheasant","2007-2010",-19.6276215488958,645.329411097619,0,2.99110919415284e-09,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Cheer Pheasant","2011-2012",-4.74872628596654,0.719988379977152,0.00211022742417975,0.008625308744928,0.0349003493569543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Cheer Pheasant","2013",-5.23356745557323,0.706498701651876,0.00133480150570767,0.00532025789489436,0.0210793073806919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Cheer Pheasant","2014",-11.35018836386,376.41092232951,0,1.17672036531354e-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Cheer Pheasant","2015",-4.91051392845944,0.681274343496402,0.00193667873871168,0.00734161806196187,0.0276207435287604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Cheer Pheasant","2016",-3.67595002596336,0.314330301553288,0.0135839254385983,0.0250073381938166,0.045811593931225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Cheer Pheasant","2017",-4.86118191240337,0.357889760786392,0.00383124856477788,0.00771144199391827,0.0154907252393004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Cheer Pheasant","2018",-3.74823888783125,0.263816062074464,0.0139491898937045,0.0232838483811828,0.038741256425339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,"Cheer Pheasant","2019",-3.73081489777685,0.272115312785021,0.0139652315195471,0.0236882153452486,0.0400417725102146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,"Cheer Pheasant","2020",-5.08793798005531,0.432407444793163,0.00264052296612169,0.00615173108860224,0.0142983444408993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,"Cheer Pheasant","2021",-4.2609581175766,0.271712455988652,0.00824908231328227,0.0140097156850419,0.0237447637008459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,"Cheer Pheasant","2022",-4.8758084182992,0.291500425502251,0.00429930127481211,0.00759989798001868,0.0134172509017983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,"Cheer Pheasant","2023",-4.4644862276495,0.266401000263606,0.00680536125960272,0.0114446144756348,0.0192157320464675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,"Cheer Pheasant","2024",-4.27870707852015,0.253739788462149,0.00839391053588023,0.0137649556918572,0.0225335247046607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,"Cheer Pheasant","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,"Cheer Pheasant","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,"Cheer Pheasant","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,"Cheer Pheasant","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,"Cheer Pheasant","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030,"Cheer Pheasant","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031,"Cheer Pheasant","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2032,"Cheer Pheasant","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,"Gray Francolin","before 2000",-1.8181523240706,0.0781548829057696,0.130007493806774,0.149835482949269,0.172376194981105,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Gray Francolin","2000-2006",-2.10829079089765,0.0821584599586235,0.0982178567057935,0.114360560762948,0.132955005890669,61.9373851640382,76.3240845972834,93.9466678223623,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Gray Francolin","2007-2010",-1.74572485346735,0.0719542162260551,0.140636100656527,0.160138635317414,0.182047422704747,86.9662091720263,106.876310047089,126.653426321894,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Gray Francolin","2011-2012",-1.77151797126518,0.0785300447891693,0.135679857604445,0.156398139024657,0.179937242552855,86.2703886935547,104.379907847069,129.741156864299,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Gray Francolin","2013",-1.78402919905017,0.0739909626412262,0.135225015071299,0.154612382308186,0.176484392724583,85.2866135303432,103.188096213855,124.257402267569,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Gray Francolin","2014",-1.4443705619321,0.0588659514445654,0.189568995551839,0.210136008357829,0.232597348028768,118.056483211365,140.244489637328,166.391454788453,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Gray Francolin","2015",-1.69637987937526,0.0565014120963972,0.151364663056305,0.167519981277841,0.185203801394747,94.0407223043599,111.802610423433,134.215880753671,100,100,100,NA,NA,NA,100,100,100
2016,"Gray Francolin","2016",-1.47046340488941,0.050546966825695,0.187908166802846,0.205322543126235,0.224117085609408,117.016560089684,137.03198940918,161.920952357434,106.374349041316,122.56600171516,139.895195269049,NA,NA,NA,106.374349041316,122.56600171516,139.895195269049
2017,"Gray Francolin","2017",-1.4532525275089,0.0492382187651333,0.191277178365111,0.208486688065704,0.22701637135342,118.657616609748,139.143735490407,165.086759391735,109.4225296569,124.454818150867,141.900359468763,NA,NA,NA,109.4225296569,124.454818150867,141.900359468763
2018,"Gray Francolin","2018",-1.46507075573653,0.0480352387241791,0.189658956333901,0.206309460115004,0.224209570351301,118.448690296409,137.690656481453,164.903938053462,108.65722338777,123.155135609064,140.496263317483,NA,NA,NA,108.65722338777,123.155135609064,140.496263317483
2019,"Gray Francolin","2019",-1.35915909583347,0.047186707596766,0.208784356629585,0.226536420064293,0.245550898226345,128.820401901454,151.190102374478,177.407611132645,119.447547077005,135.229492229091,154.313573061081,NA,NA,NA,119.447547077005,135.229492229091,154.313573061081
2020,"Gray Francolin","2020",-1.3185506601976,0.0464596194538929,0.216698929336009,0.234727081445447,0.253998158576464,134.343413458391,156.656538775212,187.127689083992,123.463117142289,140.118856064185,158.237886019111,NA,NA,NA,123.463117142289,140.118856064185,158.237886019111
2021,"Gray Francolin","2021",-1.36940784015813,0.0451049543800883,0.207644087051248,0.224507894305348,0.2425205045037,128.510856381988,149.836267008504,176.366951139308,119.210004230593,134.018576526098,152.077072634332,NA,NA,NA,119.210004230593,134.018576526098,152.077072634332
2022,"Gray Francolin","2022",-1.31510310035516,0.0445275259031874,0.218086756558154,0.23543378474707,0.253923987375651,132.791767637433,157.128191609182,184.305175578645,123.154588716413,140.540718158624,160.251451954362,NA,NA,NA,123.154588716413,140.540718158624,160.251451954362
2023,"Gray Francolin","2023",-1.32018487093882,0.0443764208051966,0.217167859069313,0.234392713086414,0.252750892178355,131.743614964011,156.433381781653,183.645326624731,122.409012743373,139.919256973687,158.581868991405,NA,NA,NA,122.409012743373,139.919256973687,158.581868991405
2024,"Gray Francolin","2024",-1.23999051708817,0.0437591118551446,0.233255352545745,0.251277577904814,0.270431882383413,143.896267578692,167.702317874793,197.574615950686,132.899581657046,149.998570909614,171.829526774654,NA,NA,NA,132.899581657046,149.998570909614,171.829526774654
