"LOCALITY.ID","group.id","month","timegroups"
"L11211830","G5213481",5,"before 2000"
"L2902624","G5265195",5,"before 2000"
"L11228301","G5265206",5,"before 2000"
"L11229132","G5265215",6,"before 2000"
"L5279726","S75023094",4,"before 2000"
"L12511932","S75017704",4,"before 2000"
"L5279726","S33797343",4,"before 2000"
"L12511932","S75024737",6,"before 2000"
"L12511932","S75025056",5,"before 2000"
"L12550790","S75132947",1,"before 2000"
"L12511932","S75128254",5,"before 2000"
"L12550379","S75129554",10,"before 2000"
"L12550379","S75130591",12,"before 2000"
"L12231183","S73767650",1,"before 2000"
"L4052987","S56323835",2,"before 2000"
"L4052987","S56342034",2,"before 2000"
"L12320926","S73818136",3,"before 2000"
"L12320926","S73778977",3,"before 2000"
"L12231183","S73819109",4,"before 2000"
"L12252934","S73818615",4,"before 2000"
"L12231183","S73863187",6,"before 2000"
"L10313359","S62436367",7,"before 2000"
"L10313359","S206996476",7,"before 2000"
"L10313359","S62436621",7,"before 2000"
"L10313359","S150182642",7,"before 2000"
"L10313359","S62436210",7,"before 2000"
"L10313359","S62457841",7,"before 2000"
"L10313359","S62457225",7,"before 2000"
"L10313359","S62457513",7,"before 2000"
"L10313359","S62458103",7,"before 2000"
"L10313359","S150237612",7,"before 2000"
"L10313359","S62459993",7,"before 2000"
"L12231183","S73871507",7,"before 2000"
"L12231183","S73869922",7,"before 2000"
"L10313359","S62460311",8,"before 2000"
"L10313359","S62460632",8,"before 2000"
"L10313359","S207004457",8,"before 2000"
"L10313359","S62460620",8,"before 2000"
"L10313359","S62460158",8,"before 2000"
"L10313359","S62460353",8,"before 2000"
"L12280892","S73874154",8,"before 2000"
"L12231183","S73873601",8,"before 2000"
"L12337530","S73874466",8,"before 2000"
"L12280892","S74270124",9,"before 2000"
"L12231183","S73876804",9,"before 2000"
"L12350213","S73955937",10,"before 2000"
"L12280892","S73957754",11,"before 2000"
"L12252934","S73957327",11,"before 2000"
"L12216542","S73956787",11,"before 2000"
"L12252934","S73957477",11,"before 2000"
"L12280892","S73956470",11,"before 2000"
"L12350653","S73958289",12,"before 2000"
"L12216542","S73581048",1,"before 2000"
"L12190481","S73583257",1,"before 2000"
"L12190481","S73582661",1,"before 2000"
"L12190481","S73584843",2,"before 2000"
"L3147939","S73617516",3,"before 2000"
"L3147939","S73617751",3,"before 2000"
"L3147939","S73617664",3,"before 2000"
"L3147939","S73618409",4,"before 2000"
"L3147939","S73618523",4,"before 2000"
"L3147939","S73618442",4,"before 2000"
"L3147939","S73618194",4,"before 2000"
"L3147939","S73618168",4,"before 2000"
"L3147939","S73618473",4,"before 2000"
"L12280892","S73623498",5,"before 2000"
"L3147939","S73622102",5,"before 2000"
"L12231183","S74394854",5,"before 2000"
