"eBird.English.Name.2024","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10"
"Fulvous Whistling-Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck",-1.81797911448617,0.0426944136417742,1.90336794176972,-4.83533328119101,-1.39921949829323,2.03689428460455,-1.662961553583,0.168483057833072,1.99992766924915,-1.94972591922059,-0.328259449891381,1.29320701943783,-1.79652918445659,-0.144720233036365,1.50708871838386,-1.87225404533644,-0.236874853714508,1.39850433790742,-1.77183056135151,-0.130243345120878,1.51134387110976,-1.71538179732938,-0.0186529235365413,1.6780759502563,-1.69815169037001,0.15077328935518,1.99969826908037,-2.44280688164272,-0.560521457669439,1.32176396630384
"Bar-headed Goose",-3.7921647090455,-0.537761356439806,2.71664199616588,-8.18104414648239,-1.9424409121065,4.29616232226939,-3.72533995357797,-0.67978436473301,2.36577122411195,-3.25647937196123,-0.124205509438549,3.00806835308413,-3.43414290788153,-0.467556105921814,2.4990306960379,-3.42480620165217,-0.483797454151733,2.45721129334871,-3.63128277681564,-0.724472360600693,2.18233805561426,-3.32266343794338,-0.179603592970909,2.96345625200157,-3.69369284728883,-0.462555259106182,2.76858232907647,-3.62624720419554,-0.0163586697499502,3.59352986469564
"Graylag Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
