"gridg0","group.id","month","timegroups"
"295014","S109845908",1,"before 2000"
"79871","S66760680",4,"before 2000"
"137383","S110803849",10,"before 2000"
"137383","S110803581",10,"before 2000"
"40500","S56839095",4,"before 2000"
"40500","S56791101",5,"before 2000"
"336926","S9278044",3,"before 2000"
"294658","S56243890",10,"before 2000"
"292297","S56269388",1,"before 2000"
"292297","S56270283",1,"before 2000"
"287808","S56348714",2,"before 2000"
"287808","S56358512",2,"before 2000"
"287808","S56350536",2,"before 2000"
"287808","S56345734",2,"before 2000"
"287808","S56388895",2,"before 2000"
"287808","S56354642",2,"before 2000"
"287808","S56367693",2,"before 2000"
"287808","S56371990",2,"before 2000"
"287808","S56389206",2,"before 2000"
"179505","S56462697",3,"before 2000"
"179505","S150182118",7,"before 2000"
"35336","S73871324",7,"before 2000"
"35987","S73874154",8,"before 2000"
"37291","S73874466",8,"before 2000"
"35987","S74270124",9,"before 2000"
"35987","S73957754",11,"before 2000"
"36637","S73956787",11,"before 2000"
"35987","S73956470",11,"before 2000"
"36637","S73581048",1,"before 2000"
"37288","S73583257",1,"before 2000"
"37288","S73582661",1,"before 2000"
"37288","S73584843",2,"before 2000"
"37287","S73617516",3,"before 2000"
"37287","S73617751",3,"before 2000"
"37287","S73617664",3,"before 2000"
"37287","S73618409",4,"before 2000"
"37287","S73618523",4,"before 2000"
"37287","S73618442",4,"before 2000"
"37287","S73618194",4,"before 2000"
"37287","S73618168",4,"before 2000"
"37287","S73618473",4,"before 2000"
"35987","S73623498",5,"before 2000"
"37287","S73622102",5,"before 2000"
"37287","S73628393",7,"before 2000"
"35987","S73655248",8,"before 2000"
"35987","S73655311",9,"before 2000"
"37287","S73656344",11,"before 2000"
"35987","S73656089",11,"before 2000"
"69086","S35246849",12,"before 2000"
"69086","S35246879",12,"before 2000"
"69086","S35246818",12,"before 2000"
"36644","S73695154",12,"before 2000"
"35988","S73694747",12,"before 2000"
"37287","S73694366",12,"before 2000"
"36640","S73661979",12,"before 2000"
"35995","S73695293",12,"before 2000"
"40500","S35323816",1,"before 2000"
"40500","S35778546",1,"before 2000"
"37288","S73028346",1,"before 2000"
"37287","S73059668",1,"before 2000"
"294658","S36294468",2,"before 2000"
"277735","S36745324",2,"before 2000"
"37287","S73104417",2,"before 2000"
"37287","S73100762",2,"before 2000"
"37287","S73093324",2,"before 2000"
"37287","S73101256",2,"before 2000"
"37287","S73105128",3,"before 2000"
"37287","S73105456",3,"before 2000"
"37287","S73160602",3,"before 2000"
"36637","S73173315",4,"before 2000"
"36644","S73217835",4,"before 2000"
"294658","S16523476",9,"before 2000"
"35987","S73302295",9,"before 2000"
"35995","S73370214",10,"before 2000"
"35995","S73370287",10,"before 2000"
"37287","S73370833",12,"before 2000"
"37287","S61663644",1,"before 2000"
"294658","S16530686",2,"before 2000"
"35987","S61786500",2,"before 2000"
"37287","S62628515",2,"before 2000"
"35987","S64774572",3,"before 2000"
"37287","S62798728",3,"before 2000"
"37287","S66849170",4,"before 2000"
"394038","S16740036",7,"before 2000"
"313494","S16488591",11,"before 2000"
"295308","S65065491",11,"before 2000"
"69086","S41691779",12,"before 2000"
"69737","S41691014",12,"before 2000"
"297234","S10328639",4,"before 2000"
"230836","S89927556",12,"before 2000"
"287211","S12402211",9,"before 2000"
"125582","S21584011",9,"before 2000"
"222370","S89876442",9,"before 2000"
"222370","S89876372",9,"before 2000"
"222370","S89876005",9,"before 2000"
"222370","S89876289",9,"before 2000"
"222370","S89875864",9,"before 2000"
"222370","S89877773",10,"before 2000"
"222370","S89877633",10,"before 2000"
"222370","S89876529",10,"before 2000"
"222370","S89877890",10,"before 2000"
"222370","S89877592",10,"before 2000"
"222370","S89877736",10,"before 2000"
"222370","S89876605",10,"before 2000"
"222370","S89877864",10,"before 2000"
"222370","S89877664",10,"before 2000"
"294658","S299206887",10,"before 2000"
"292297","G4676074",10,"before 2000"
"289698","G4676080",10,"before 2000"
"292297","G4676070",10,"before 2000"
"394038","G4676167",11,"before 2000"
"394038","G4676171",11,"before 2000"
"294658","G4676184",11,"before 2000"
"314803","G4676154",11,"before 2000"
"289698","G4676083",11,"before 2000"
"32048","S18246875",12,"before 2000"
"32048","S18247252",12,"before 2000"
"32048","S18250128",12,"before 2000"
"294658","G4676190",12,"before 2000"
"294658","G4676187",12,"before 2000"
"328492","S66805288",3,"before 2000"
"208056","S89832517",4,"before 2000"
"206760","S89832271",4,"before 2000"
"208054","S89833544",4,"before 2000"
"208054","S89833753",4,"before 2000"
"208054","S89832939",4,"before 2000"
"32048","S18280503",5,"before 2000"
"246391","S274192098",8,"before 2000"
"294658","S7807810",8,"before 2000"
"294658","S27743248",8,"before 2000"
"294658","S7808367",8,"before 2000"
"349900","S52055915",9,"before 2000"
"32048","S18315487",9,"before 2000"
"32048","S18349140",10,"before 2000"
"294658","S89335291",10,"before 2000"
"26849","S18353306",12,"before 2000"
"143289","S298470059",1,"before 2000"
"71032","G1420746",1,"before 2000"
"294658","S185337921",1,"before 2000"
"294658","S35164277",1,"before 2000"
"294658","S185340142",1,"before 2000"
"294658","S35278385",1,"before 2000"
"294658","S185913282",1,"before 2000"
"294658","S185347082",1,"before 2000"
"228840","S89707425",2,"before 2000"
"228840","S89707531",2,"before 2000"
"227541","S275034128",2,"before 2000"
"228840","S89707119",2,"before 2000"
"227541","S89707012",2,"before 2000"
"93107","S83389897",2,"before 2000"
"224526","S204667137",2,"before 2000"
"228840","S89708264",3,"before 2000"
"294658","S204670122",3,"before 2000"
"328492","S66810223",3,"before 2000"
"349900","S50192300",4,"before 2000"
"193300","S27698633",4,"before 2000"
"294658","S59213438",4,"before 2000"
"294658","S59217006",4,"before 2000"
"294658","S59217275",4,"before 2000"
"294658","S59213199",4,"before 2000"
"294658","S59216763",4,"before 2000"
"294658","S59215548",4,"before 2000"
"372624","S50242104",5,"before 2000"
"371340","S50239132",5,"before 2000"
"371340","S50238709",5,"before 2000"
"394038","S59286963",7,"before 2000"
"394038","S59288001",7,"before 2000"
"394038","S59282540",7,"before 2000"
"394038","S59289480",7,"before 2000"
"394038","S59283327",7,"before 2000"
"394038","S59283513",7,"before 2000"
"394038","S59283698",7,"before 2000"
"394038","S59283759",7,"before 2000"
"394038","S59289968",7,"before 2000"
"394038","S59302523",8,"before 2000"
"394038","S59302389",8,"before 2000"
"243759","S276214421",9,"before 2000"
"248336","S89527132",10,"before 2000"
"222370","S89527337",10,"before 2000"
"222370","S89527295",10,"before 2000"
"222370","S89527509",10,"before 2000"
"294658","S89335292",10,"before 2000"
"277735","S89335330",1,"before 2000"
"364853","S75414370",2,"before 2000"
"364853","S75413577",2,"before 2000"
"364853","S75415141",2,"before 2000"
"364853","S75414747",2,"before 2000"
"294658","S12927032",2,"before 2000"
"294658","S12927002",2,"before 2000"
"228840","S89573482",3,"before 2000"
"228840","S89529878",3,"before 2000"
"228840","S89529674",3,"before 2000"
"179505","G4676206",3,"before 2000"
"179505","G4676217",3,"before 2000"
"89968","G4676260",3,"before 2000"
"89968","G4676245",3,"before 2000"
"89968","G4676235",3,"before 2000"
"89968","G4676228",3,"before 2000"
"328492","S66885677",3,"before 2000"
"289108","S66857754",4,"before 2000"
"289108","S66856951",4,"before 2000"
"289108","S66858331",4,"before 2000"
"289108","S66858728",4,"before 2000"
"289108","S66855169",4,"before 2000"
"289108","S66859178",4,"before 2000"
"289108","S66855953",4,"before 2000"
"205460","S89574696",4,"before 2000"
"205460","S89574941",4,"before 2000"
"207409","S89574013",4,"before 2000"
"207409","S89574332",4,"before 2000"
"294658","S115541677",4,"before 2000"
"289698","G4676293",4,"before 2000"
"289698","G4676291",4,"before 2000"
"247687","S89575991",5,"before 2000"
"247687","S89575789",5,"before 2000"
"328492","S66886417",5,"before 2000"
"297234","S27721175",7,"before 2000"
"222370","S89576345",8,"before 2000"
"222370","S89576734",8,"before 2000"
"222370","S89576645",8,"before 2000"
"247687","S89576912",9,"before 2000"
"294658","S94975450",11,"before 2000"
"244833","G2733280",12,"before 2000"
"217785","S89582764",1,"before 2000"
"217785","S89582399",1,"before 2000"
"217785","S89582937",1,"before 2000"
"207409","S89631179",2,"before 2000"
"205460","S89632222",3,"before 2000"
"205460","S89631965",3,"before 2000"
"207409","S89631631",3,"before 2000"
"313494","S56523438",3,"before 2000"
"314803","S56526194",3,"before 2000"
"346054","S89633429",7,"before 2000"
"346054","S89634538",7,"before 2000"
"346054","S89634503",7,"before 2000"
"346054","S89634603",7,"before 2000"
"344741","S89638381",7,"before 2000"
"344741","S89639234",7,"before 2000"
"345391","S89638586",7,"before 2000"
"344741","S89639380",7,"before 2000"
"345391","S89638703",7,"before 2000"
"344741","S89640166",8,"before 2000"
"344741","S89639666",8,"before 2000"
"81439","S32603278",10,"before 2000"
"294658","S24658475",11,"before 2000"
"314803","S24445311",12,"before 2000"
"102312","G1151450",1,"before 2000"
"313494","S221920788",1,"before 2000"
"313494","S222151147",1,"before 2000"
"294658","S222338589",1,"before 2000"
"294658","S222941430",1,"before 2000"
"294658","S221820149",1,"before 2000"
"89968","G1202232",1,"before 2000"
"328492","S260476467",1,"before 2000"
"329788","S24445688",1,"before 2000"
"314803","S222329265",1,"before 2000"
"206760","S89462473",3,"before 2000"
"243550","G2736688",3,"before 2000"
"292297","S24502199",4,"before 2000"
"277735","S56891140",5,"before 2000"
"394038","S181633916",6,"before 2000"
"395353","S181733689",6,"before 2000"
"395353","S24503909",6,"before 2000"
"224526","S16910315",6,"before 2000"
"224526","S181546555",6,"before 2000"
"394038","S24453277",7,"before 2000"
"247687","S89463240",9,"before 2000"
"222370","S89462762",9,"before 2000"
"222370","S278501298",9,"before 2000"
"89968","S23245806",9,"before 2000"
"294658","S50019109",11,"before 2000"
"294658","S53604937",11,"before 2000"
"294658","S53604342",11,"before 2000"
"89968","G1221507",11,"before 2000"
"89968","G1250583",11,"before 2000"
"329788","S55101691",11,"before 2000"
"329788","S55101734",11,"before 2000"
"329788","S55101651",11,"before 2000"
"313494","S55101109",12,"before 2000"
"313494","S141905883",12,"before 2000"
"294658","S142024676",12,"before 2000"
"294658","S55100405",12,"before 2000"
"294658","S141906926",12,"before 2000"
"89968","S23245665",12,"before 2000"
"336918","S56891128",12,"before 2000"
"288513","S92747786",1,"before 2000"
"287209","S92747782",1,"before 2000"
"287209","S92747777",1,"before 2000"
"287211","S92747280",1,"before 2000"
"294658","S20473210",1,"before 2000"
"89968","S24728037",1,"before 2000"
"292297","S41812169",1,"before 2000"
"294658","S191347080",2,"before 2000"
"294658","S190367034",2,"before 2000"
"294658","S184527572",2,"before 2000"
"294658","S184529924",2,"before 2000"
"294658","S184525981",2,"before 2000"
"89968","S24716297",2,"before 2000"
"89968","G1350568",2,"before 2000"
"89968","G1350566",2,"before 2000"
"89968","G1350567",2,"before 2000"
"89968","S24688575",2,"before 2000"
"99715","G1364984",3,"before 2000"
"89968","G1350569",3,"before 2000"
"89968","S24716727",3,"before 2000"
"89968","S24716902",3,"before 2000"
"205460","S89517750",4,"before 2000"
"205460","S89469717",4,"before 2000"
"205460","S89469120",4,"before 2000"
"207409","S89518116",4,"before 2000"
"89968","S24717390",4,"before 2000"
"89968","G1363654",4,"before 2000"
"89968","S24717122",4,"before 2000"
"89968","S24718020",5,"before 2000"
"89968","G1384427",5,"before 2000"
"71038","S181741749",6,"before 2000"
"89968","G1255499",7,"before 2000"
"394038","S287818360",8,"before 2000"
"394038","S287811618",8,"before 2000"
"395353","S253459572",8,"before 2000"
"89968","S23278439",10,"before 2000"
"89968","S23278597",10,"before 2000"
"89968","S56988560",10,"before 2000"
"89968","S24720579",11,"before 2000"
"89968","S57024475",11,"before 2000"
"294658","S48123070",12,"before 2000"
"89968","G1203634",12,"before 2000"
"294658","S58993449",1,"before 2000"
"294658","S58971421",1,"before 2000"
"294658","S58932091",1,"before 2000"
"294658","S59014913",1,"before 2000"
"294658","S58943525",1,"before 2000"
"294658","S59023848",1,"before 2000"
"294658","S58987250",1,"before 2000"
"294658","S58757095",1,"before 2000"
"294658","S26701281",1,"before 2000"
"89968","S54077029",1,"before 2000"
"313494","S57135231",2,"before 2000"
"71038","S24457658",2,"before 2000"
"294658","S23297655",2,"before 2000"
"294658","S23301406",2,"before 2000"
"294658","S77947475",2,"before 2000"
"294658","S22631086",2,"before 2000"
"69086","S24589347",2,"before 2000"
"329788","S78244768",2,"before 2000"
"294658","S21663790",3,"before 2000"
"294658","S21673273",3,"before 2000"
"294658","S21671331",3,"before 2000"
"294658","S21662667",3,"before 2000"
"294658","S22655745",3,"before 2000"
"294658","S22631274",3,"before 2000"
"294658","S22646497",3,"before 2000"
"294658","S22657181",3,"before 2000"
"294658","S21673405",4,"before 2000"
"294658","S21673733",4,"before 2000"
"294658","S22715775",4,"before 2000"
"294658","S20736579",4,"before 2000"
"294658","S22715036",4,"before 2000"
"294658","S22715285",4,"before 2000"
"208056","S181696415",5,"before 2000"
"40500","S181740482",5,"before 2000"
"395403","S51960969",5,"before 2000"
"395402","S51960596",5,"before 2000"
"394757","S51916434",5,"before 2000"
"396054","S51961182",5,"before 2000"
"294658","S21686884",5,"before 2000"
"294658","S21675230",5,"before 2000"
"294658","S21688166",5,"before 2000"
"294658","S21687953",5,"before 2000"
"294658","S21676986",5,"before 2000"
"294658","S22723221",5,"before 2000"
"294658","S22719892",5,"before 2000"
"294658","S22721006",5,"before 2000"
"294658","S22720497",5,"before 2000"
"77528","S32467415",6,"before 2000"
"294658","S21698761",6,"before 2000"
"294658","S21688379",6,"before 2000"
"294658","S22735303",6,"before 2000"
"294658","S21701030",6,"before 2000"
"294658","S22724667",6,"before 2000"
"294658","S27313093",6,"before 2000"
"294658","S22735683",6,"before 2000"
"294658","S22755927",6,"before 2000"
"294658","S21709551",7,"before 2000"
"294658","S22756284",7,"before 2000"
"294658","S22756348",7,"before 2000"
"294658","S23778074",7,"before 2000"
"294658","S27313000",7,"before 2000"
"294658","S38545996",7,"before 2000"
"294658","S21705754",7,"before 2000"
"294658","S22756002",7,"before 2000"
"294658","S21709878",7,"before 2000"
"294658","S38237212",8,"before 2000"
"89968","S75744454",8,"before 2000"
"89968","S75744089",8,"before 2000"
"89968","S75598411",8,"before 2000"
"113268","S32467331",9,"before 2000"
"113917","S32458232",9,"before 2000"
"113267","S54850809",9,"before 2000"
"113268","S54851037",9,"before 2000"
"81439","S54075865",9,"before 2000"
"294658","S21718752",9,"before 2000"
"294658","S27316850",9,"before 2000"
"294658","S38237388",9,"before 2000"
"294658","S21718529",9,"before 2000"
"294658","S38237256",9,"before 2000"
"294658","S21710364",9,"before 2000"
"294658","S22767289",9,"before 2000"
"294658","S22767510",9,"before 2000"
"294658","S22769200",9,"before 2000"
"294658","S22756426",9,"before 2000"
"89968","S75597639",9,"before 2000"
"294658","S21957948",10,"before 2000"
"294658","S21978727",10,"before 2000"
"294658","S21946515",10,"before 2000"
"294658","S21742505",10,"before 2000"
"294658","S22784773",10,"before 2000"
"294658","S22797831",10,"before 2000"
"294658","S22770240",10,"before 2000"
"294658","S22838954",10,"before 2000"
"294658","S22797438",10,"before 2000"
"89968","S75626440",10,"before 2000"
"89968","S75603752",10,"before 2000"
"62584","S53387060",11,"before 2000"
"294658","S22197393",11,"before 2000"
"294658","S22289845",11,"before 2000"
"294658","S22285556",11,"before 2000"
"294658","S22285034",11,"before 2000"
"294658","S22844373",11,"before 2000"
"294658","S22784617",11,"before 2000"
"294658","S22840444",11,"before 2000"
"294658","S24741142",11,"before 2000"
"294658","S24768611",11,"before 2000"
"294658","S22839165",11,"before 2000"
"294658","S22297217",12,"before 2000"
"294658","S22296085",12,"before 2000"
"294658","S22858035",12,"before 2000"
