"LOCALITY.ID","group.id","month","timegroups"
"L19004438","S109845908",1,"before 2000"
"L11102996","S66760680",4,"before 2000"
"L18825744","S110803849",10,"before 2000"
"L18825744","S110803581",10,"before 2000"
"L4199766","S56839095",4,"before 2000"
"L4199766","S56791101",5,"before 2000"
"L1330940","S9278044",3,"before 2000"
"L946706","S56243890",10,"before 2000"
"L9265187","S56269388",1,"before 2000"
"L9265187","S56270283",1,"before 2000"
"L4871916","S56348714",2,"before 2000"
"L4871916","S56358512",2,"before 2000"
"L4871916","S56350536",2,"before 2000"
"L4871916","S56345734",2,"before 2000"
"L4871916","S56388895",2,"before 2000"
"L4871916","S56354642",2,"before 2000"
"L4871916","S56367693",2,"before 2000"
"L4871916","S56371990",2,"before 2000"
"L4871916","S56389206",2,"before 2000"
"L2080385","S56462697",3,"before 2000"
"L2080385","S150182118",7,"before 2000"
"L12337025","S73871324",7,"before 2000"
"L12280892","S73874154",8,"before 2000"
"L12337530","S73874466",8,"before 2000"
"L12280892","S74270124",9,"before 2000"
"L12280892","S73957754",11,"before 2000"
"L12216542","S73956787",11,"before 2000"
"L12280892","S73956470",11,"before 2000"
"L12216542","S73581048",1,"before 2000"
"L12190481","S73583257",1,"before 2000"
"L12190481","S73582661",1,"before 2000"
"L12190481","S73584843",2,"before 2000"
"L3147939","S73617516",3,"before 2000"
"L3147939","S73617751",3,"before 2000"
"L3147939","S73617664",3,"before 2000"
"L3147939","S73618409",4,"before 2000"
"L3147939","S73618523",4,"before 2000"
"L3147939","S73618442",4,"before 2000"
"L3147939","S73618194",4,"before 2000"
"L3147939","S73618168",4,"before 2000"
"L3147939","S73618473",4,"before 2000"
"L12280892","S73623498",5,"before 2000"
"L3147939","S73622102",5,"before 2000"
"L3147939","S73628393",7,"before 2000"
"L12280892","S73655248",8,"before 2000"
"L12280892","S73655311",9,"before 2000"
"L3147939","S73656344",11,"before 2000"
"L12280892","S73656089",11,"before 2000"
"L932559","S35246849",12,"before 2000"
"L932559","S35246879",12,"before 2000"
"L932559","S35246818",12,"before 2000"
"L12225119","S73695154",12,"before 2000"
"L12307024","S73694747",12,"before 2000"
"L3147939","S73694366",12,"before 2000"
"L12301906","S73661979",12,"before 2000"
"L12252972","S73695293",12,"before 2000"
"L4199766","S35323816",1,"before 2000"
"L4199766","S35778546",1,"before 2000"
"L12190481","S73028346",1,"before 2000"
"L3147939","S73059668",1,"before 2000"
"L946706","S36294468",2,"before 2000"
"L946220","S36745324",2,"before 2000"
"L3147939","S73104417",2,"before 2000"
"L3147939","S73100762",2,"before 2000"
"L3147939","S73093324",2,"before 2000"
"L3147939","S73101256",2,"before 2000"
"L3147939","S73105128",3,"before 2000"
"L3147939","S73105456",3,"before 2000"
"L3147939","S73160602",3,"before 2000"
"L12216542","S73173315",4,"before 2000"
"L12225119","S73217835",4,"before 2000"
"L946706","S16523476",9,"before 2000"
"L12241171","S73302295",9,"before 2000"
"L12252972","S73370214",10,"before 2000"
"L12252972","S73370287",10,"before 2000"
"L3147939","S73370833",12,"before 2000"
"L3147939","S61663644",1,"before 2000"
"L946706","S16530686",2,"before 2000"
"L10203740","S61786500",2,"before 2000"
"L3147939","S62628515",2,"before 2000"
"L10203740","S64774572",3,"before 2000"
"L3147939","S62798728",3,"before 2000"
"L3147939","S66849170",4,"before 2000"
"L2593851","S16740036",7,"before 2000"
"L1038276","S16488591",11,"before 2000"
"L10851566","S65065491",11,"before 2000"
"L932559","S41691779",12,"before 2000"
"L5381079","S41691014",12,"before 2000"
"L921959","S10328639",4,"before 2000"
"L10608476","S89927556",12,"before 2000"
"L976256","S12402211",9,"before 2000"
"L1062323","S21584011",9,"before 2000"
"L3801875","S89876442",9,"before 2000"
