"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1992,"Painted Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Painted Francolin","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Painted Francolin","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Painted Francolin","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Painted Francolin","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Painted Francolin","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Painted Francolin","2015",-3.2704723564729,0.066842061618905,0.0327746988356994,0.037275967371756,0.0423817759561359,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Painted Francolin","2016",-3.01646629325816,0.0673243585899685,0.0420117817406857,0.047794087187463,0.054349410938726,NA,NA,NA,106.447911194412,128.216892967013,155.289617641501,NA,NA,NA,106.447911194412,128.216892967013,155.289617641501
2017,"Painted Francolin","2017",-2.76631849132427,0.0568146228021382,0.0547117952787056,0.0609561672540872,0.0678872749432676,NA,NA,NA,139.482702309504,163.526721241509,191.32391227466,NA,NA,NA,139.482702309504,163.526721241509,191.32391227466
2018,"Painted Francolin","2018",-3.16576178327824,0.0584795228430689,0.0369152827165094,0.0413047140440045,0.0462034356831775,NA,NA,NA,93.5911704208887,110.807893010715,131.802400974552,NA,NA,NA,93.5911704208887,110.807893010715,131.802400974552
2019,"Painted Francolin","2019",-2.91636356619022,0.0602197805157893,0.0469651323891484,0.0526912132936941,0.0590935218550626,NA,NA,NA,118.142003825988,141.354381948564,166.149446664852,NA,NA,NA,118.142003825988,141.354381948564,166.149446664852
2020,"Painted Francolin","2020",-3.03334063581817,0.0556875638618756,0.0422564528031385,0.0470134630735666,0.0522912183061601,NA,NA,NA,107.176528475197,126.122717633852,151.210772749914,NA,NA,NA,107.176528475197,126.122717633852,151.210772749914
2021,"Painted Francolin","2021",-3.01013408584541,0.0531048355431479,0.0434413314364664,0.0480902697829197,0.0532227317505885,NA,NA,NA,109.657312481417,129.011460127411,151.836990640501,NA,NA,NA,109.657312481417,129.011460127411,151.836990640501
2022,"Painted Francolin","2022",-2.90111653253758,0.052617682938229,0.048367227313051,0.0534787137258218,0.0591134079292641,NA,NA,NA,121.932254252502,143.467004336801,167.690362481848,NA,NA,NA,121.932254252502,143.467004336801,167.690362481848
2023,"Painted Francolin","2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.130279516185,144.59429474559,185.026584083321,113.130279516185,144.59429474559,185.026584083321
2024,"Painted Francolin","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.966596579795,148.217383163686,198.29728608157,110.966596579795,148.217383163686,198.29728608157
2025,"Painted Francolin","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.721834864669,151.943043445631,212.811760654621,108.721834864669,151.943043445631,212.811760654621
