"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",54,0.037037037037037,0.247685185185185,0.407407407407407,12.962962962963,1.52558541043341
"Lesser Whistling-Duck","Dendrocygna javanica","","","",605,0.0628099173553719,0.441322314049587,0.59504132231405,12.8892561983471,0.572048162406044
"Bar-headed Goose","Anser indicus","","","",141,0.0851063829787234,0.283687943262411,0.319148936170213,15.8510638297872,1.04672300867445
"Graylag Goose","Anser anser","","","",74,0.0675675675675676,0.271959459459459,0.337837837837838,14.2432432432432,1.19665156843378
"Greater White-fronted Goose","Anser albifrons","","","",5,NA,0.425,0.4,17.4,1.81762922511716
"Lesser White-fronted Goose","Anser erythropus","","","",5,NA,0.2,NA,18.4,1.59231152730865
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",1,NA,NA,NA,19,NA
"Knob-billed Duck","Sarkidiornis melanotos","","","",145,0.0551724137931034,0.26551724137931,0.4,15.3379310344828,1.11377999683877
"Ruddy Shelduck","Tadorna ferruginea","","","",258,0.0852713178294574,0.332364341085271,0.422480620155039,12.468992248062,0.73405231635041
"Common Shelduck","Tadorna tadorna","","","",24,0.125,0.302083333333333,0.375,15.2083333333333,2.23841297191788
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","",357,0.0784313725490196,0.367296918767507,0.478991596638655,13.9131652661064,0.749860334283578
"Mandarin Duck","Aix galericulata","","","",1,NA,NA,NA,17,NA
"Baikal Teal","Sibirionetta formosa","","","",2,NA,0.5,0.5,17.5,4.9
"Garganey","Spatula querquedula","","","",222,0.103603603603604,0.372747747747748,0.396396396396396,16.4864864864865,0.874349993073751
"Northern Shoveler","Spatula clypeata","","","",207,0.0628019323671498,0.330917874396135,0.347826086956522,15.9613526570048,0.920029275871993
"Gadwall","Mareca strepera","","","",192,0.078125,0.292317708333333,0.395833333333333,12.6979166666667,0.904887024447943
"Falcated Duck","Mareca falcata","","","",12,0.166666666666667,0.364583333333333,0.416666666666667,14.6666666666667,3.25774539375088
"Eurasian Wigeon","Mareca penelope","","","",153,0.0588235294117647,0.264705882352941,0.26797385620915,14.718954248366,1.01810480406056
"Indian Spot-billed Duck","Anas poecilorhyncha","","","",412,0.0728155339805825,0.430825242718447,0.546116504854369,14.618932038835,0.66436094385803
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",6,0.166666666666667,0.375,0.5,16.3333333333333,3.97407151979484
"Mallard","Anas platyrhynchos","","","",97,0.11340206185567,0.313144329896907,0.412371134020619,12.6907216494845,1.07911720000301
"Northern Pintail","Anas acuta","","","",281,0.099644128113879,0.354092526690391,0.427046263345196,14.8754448398577,0.805497456013663
"Green-winged Teal","Anas crecca","","","",232,0.116379310344828,0.306034482758621,0.349137931034483,15.0344827586207,0.852128122012178
"Andaman Teal","Anas albogularis","","","",16,0.1875,0.3359375,0.3125,6.5,2.38041172909226
"Marbled Teal","Marmaronetta angustirostris","","","",1,NA,NA,NA,17,NA
"Pink-headed Duck","Rhodonessa caryophyllacea","","","",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","","","",9,0.444444444444444,0.305555555555556,0.222222222222222,12.2222222222222,3.09520377677352
"Red-crested Pochard","Netta rufina","","","",124,0.0645161290322581,0.299395161290323,0.354838709677419,12.7903225806452,1.11755768878845
"Common Pochard","Aythya ferina","","","",138,0.0507246376811594,0.27445652173913,0.36231884057971,13.5507246376812,0.958792214734121
"Ferruginous Duck","Aythya nyroca","","","",87,0.126436781609195,0.28735632183908,0.310344827586207,13.9540229885057,1.32277291607318
"Baer's Pochard","Aythya baeri","","","",5,NA,0.3,NA,15.4,4.45226414310741
"Tufted Duck","Aythya fuligula","","","",110,0.109090909090909,0.243181818181818,0.318181818181818,12.9909090909091,1.16293030549693
"Greater Scaup","Aythya marila","","","",5,NA,0.25,0.2,19.2,2.51002470107368
"Long-tailed Duck","Clangula hyemalis","","","",2,NA,NA,NA,15,0
"Common Goldeneye","Bucephala clangula","","","",5,0.2,0.225,0.2,16.8,2.51002470107368
"Smew","Mergellus albellus","","","",3,0.333333333333333,0.388888888888889,0.333333333333333,16.3333333333333,3.63760605038228
"Common Merganser","Mergus merganser","","","",66,0.166666666666667,0.306818181818182,0.393939393939394,13.5454545454545,1.50469054857107
"Red-breasted Merganser","Mergus serrator","","","",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala","","","",NA,NA,NA,NA,NA,NA
"Nicobar Scrubfowl","Megapodius nicobariensis","","","X",NA,NA,NA,NA,NA,NA
"Hill Partridge","Arborophila torqueola","X","X","X",130,0.123076923076923,0.359615384615385,0.407692307692308,11.4384615384615,1.02986523108711
"Chestnut-breasted Partridge","Arborophila mandellii","","","X",14,0.142857142857143,0.267857142857143,0.285714285714286,11.2142857142857,3.54196381860511
"Rufous-throated Partridge","Arborophila rufogularis","","","",61,0.0655737704918033,0.258196721311475,0.39344262295082,12.2786885245902,1.72721979078503
"White-cheeked Partridge","Arborophila atrogularis","","","X",35,0.142857142857143,0.260714285714286,0.257142857142857,9.8,1.87549598145946
"Snow Partridge","Lerwa lerwa","","","",9,0.222222222222222,0.486111111111111,0.444444444444444,12.5555555555556,2.8870960248648
"Blood Pheasant","Ithaginis cruentus","","","X",7,0.285714285714286,0.510204081632653,0.285714285714286,12,5.06069823904436
"Western Tragopan","Tragopan melanocephalus","","X","X",6,0.333333333333333,0.270833333333333,0.166666666666667,11,4.44074468229523
"Satyr Tragopan","Tragopan satyra","X","X","X",12,0.166666666666667,0.46875,0.25,15.75,4.13761496224064
"Blyth's Tragopan","Tragopan blythii","","","X",8,0.125,0.428571428571429,0.5,9.25,3.86270630516999
"Temminck's Tragopan","Tragopan temminckii","","","",3,NA,0.571428571428571,0.666666666666667,14,2.99394945403782
