"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1994,"Andaman Teal","before 2000",-3.72667461089294,0.101454410530252,0.0195383726677903,0.023785316502877,0.0289416829927632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Andaman Teal","2000-2006",-4.59701430283424,0.202735754650417,0.00675304042903349,0.0100312404185444,0.0148888414262364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Andaman Teal","2007-2010",-3.28659912052729,0.160137819515045,0.026941333230228,0.0366907250259453,0.049876682347207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Andaman Teal","2011-2012",-3.56556141922784,0.187007246934051,0.0194116692231308,0.0278849365288582,0.0399806861437764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Andaman Teal","2013",-3.59254601613106,0.135450569371257,0.0208883154382707,0.0271527073765983,0.0352616820514747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Andaman Teal","2014",-3.69789001928967,0.16308011491073,0.0178364304843564,0.0244713479627425,0.0335319012160185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Andaman Teal","2015",-3.96567616480617,0.145022722964471,0.0141640968757755,0.0187766950761527,0.0248723473495656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Andaman Teal","2016",-4.19732273979512,0.149255761712759,0.0111594358971642,0.0149233047779223,0.0199437949219519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,"Andaman Teal","2017",-4.20009687116009,0.143458604099226,0.0112551454801764,0.0148822721103365,0.0196666129341167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,"Andaman Teal","2018",-3.81994384861788,0.118993068071424,0.0172172875666126,0.0216903389330065,0.0273092439877453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
