"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1988,"Andaman Teal","before 2000",5.01943267199653e-10,0.00802318402052357,0.0519476368070918,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Andaman Teal","2000-2006",4.28786448860822e-10,8.68034316339494e-09,0.0478470951017656,3.92122147605844e-06,75.6697118014379,1155237348.95005,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Andaman Teal","2007-2010",1.60032857135581e-09,0.0384088097379569,0.125632680625444,6.34514606388175e-05,437.90917423823,5986999417.55966,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Andaman Teal","2011-2012",0.00525674514618648,0.0230428058110559,0.0601702487787267,36.5326757947772,298.070374391095,4228929453.1464,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Andaman Teal","2013",7.36485601803976e-10,0.0147372164261193,0.0562749108421985,6.49591454498144e-06,150.55473373019,2684863866.04668,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Andaman Teal","2014",8.27360684640955e-10,0.0111629381581686,0.0384342112541587,6.64115424358539e-06,129.536843414123,1721087155.47601,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Andaman Teal","2015",9.03862474277315e-10,0.011136724544655,0.0344251341780952,8.85525949696755e-06,133.656003064208,1732943763.8496,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Andaman Teal","2016",0.00342272844093811,0.0147353335696672,0.0336253786281327,21.3492227510273,186.141561615401,2326564101.12877,100,100,100,NA,NA,NA,100,100,100
2017,"Andaman Teal","2017",0.00453891519835385,0.0147052367075912,0.0331707850143693,24.1463204020412,190.459494183595,2206019655.82284,40.9678729388815,98.6952915424916,362.418086564952,NA,NA,NA,40.9678729388815,98.6952915424916,362.418086564952
2018,"Andaman Teal","2018",0.0060641588970634,0.0168458736949649,0.0352149253735711,30.959425749618,212.58846161773,2293835254.12869,49.5212170847827,114.717372433322,408.225255132433,NA,NA,NA,49.5212170847827,114.717372433322,408.225255132433
