"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1988,"Andaman Teal","before 2000",-3.78760472583579,0.847307749632447,0.00429424772300852,0.0223952085934634,0.11237725417905,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,"Andaman Teal","2000-2006",-4.6534285470521,1.12989749690483,0.00103998617463134,0.00948361978651409,0.0835639010635454,2.6335600686495,42.3466463682866,662.739780304456,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Andaman Teal","2007-2010",-3.24375168067644,0.835643800690147,0.00755607415033876,0.0382658712392713,0.181851056634312,16.5992947252289,170.866330981352,1639.54305563732,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Andaman Teal","2011-2012",-3.53182839932975,0.857539888258794,0.00543264545169237,0.0288277031388614,0.145357579908748,13.8923127509438,128.72263733804,1143.9732043804,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Andaman Teal","2013",-3.69656801089225,0.838081757381864,0.00478816931210243,0.0245033207868331,0.120349187888402,9.54959286888199,109.413228658138,1119.70045720153,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Andaman Teal","2014",-3.74180785508787,0.852697926942727,0.0044478970254074,0.0234322962094227,0.118491110308192,12.2658273134714,104.630845975965,1008.80068590606,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Andaman Teal","2015",-3.92636566353981,0.812518958124391,0.00400221518812594,0.0195221206254221,0.0923749824270941,7.77448811182254,87.1709702722754,922.211048075797,100,100,100,NA,NA,NA,100,100,100
2016,"Andaman Teal","2016",-4.24336429645514,0.832541147674401,0.00280444727083377,0.0142566002181277,0.0707878321187581,6.23687184201406,63.6591535132601,596.025712711553,7.23467278515723,73.02792812151,725.814939829208,NA,NA,NA,7.23467278515723,73.02792812151,725.814939829208
2017,"Andaman Teal","2017",-4.30550820103248,0.824483891288507,0.00267759327232931,0.0134033898910622,0.065658751801603,5.96781951143897,59.8493639169511,576.012895844881,6.85113583599628,68.6574483799065,642.093399377064,NA,NA,NA,6.85113583599628,68.6574483799065,642.093399377064
2018,"Andaman Teal","2018",-3.85530698901127,0.779361865503852,0.00458414024495114,0.0209446534045049,0.0929104983343347,10.388982329245,93.5229217316518,847.763113160506,13.650516868473,107.286773841723,828.317725898811,NA,NA,NA,13.650516868473,107.286773841723,828.317725898811
2019,"Andaman Teal","2019",-3.70741419312422,0.781328216330676,0.00529247336327629,0.0242422197307527,0.10728988177399,10.3558599393072,108.247349559532,1142.47197600038,12.4067889354514,124.178208893885,1112.22850682613,NA,NA,NA,12.4067889354514,124.178208893885,1112.22850682613
