"LOCALITY.ID","group.id","month","timegroups"
"L7431437","S66761444",10,"before 2000"
"L11103292","G5158944",2,"before 2000"
"L11102996","S66760680",4,"before 2000"
"L13467287","S89331447",1,"before 2000"
"L13467294","S89331454",1,"before 2000"
"L13467289","S89331450",1,"before 2000"
"L13467295","S89331456",1,"before 2000"
"L13467289","S89331449",1,"before 2000"
"L13467277","S89331455",1,"before 2000"
"L13467290","S89331451",1,"before 2000"
"L13467291","S89331452",1,"before 2000"
"L13467283","S89331444",1,"before 2000"
"L13467275","S89331432",1,"before 2000"
"L13467284","S89331443",1,"before 2000"
"L13467286","S89331446",1,"before 2000"
"L13467285","S89331445",1,"before 2000"
"L13467288","S89331448",1,"before 2000"
"L13467282","S89331441",2,"before 2000"
"L13467283","S89331442",2,"before 2000"
"L10146708","S54975890",3,"before 2000"
"L2529615","S54981405",4,"before 2000"
"L2529622","S54980711",4,"before 2000"
"L2529615","G8057086",1,"before 2000"
"L10146708","G8057083",2,"before 2000"
"L7820735","G8057081",2,"before 2000"
"L3926495","G8057084",2,"before 2000"
"L10146708","G8057079",2,"before 2000"
"L2529615","G8057085",2,"before 2000"
"L10934563","G8057080",2,"before 2000"
"L10934563","G8057078",2,"before 2000"
"L13467277","S89331434",2,"before 2000"
"L13467276","S89331433",3,"before 2000"
"L3352787","S21766043",7,"before 2000"
"L17634714","S101967535",12,"before 2000"
"L11135080","S101966598",12,"before 2000"
"L10146708","S101959068",12,"before 2000"
"L17633638","S101957848",12,"before 2000"
"L4105952","S35019105",3,"before 2000"
"L10146708","S117278719",12,"2000-2006"
"L2529622","S117270564",12,"2000-2006"
"L20616844","S117268025",12,"2000-2006"
"L3086750","S117270960",12,"2000-2006"
"L10146708","S117278800",12,"2000-2006"
"L10146708","S69366861",1,"2000-2006"
"L8285022","S69367026",1,"2000-2006"
"L2529622","S69812419",1,"2000-2006"
"L10146708","S69812069",1,"2000-2006"
"L2529622","G9660846",11,"2000-2006"
"L2529622","G9660836",11,"2000-2006"
"L10146708","G9660849",11,"2000-2006"
"L3025536","G9660848",11,"2000-2006"
"L3086750","G9660843",11,"2000-2006"
"L10146708","S94823762",4,"2000-2006"
"L2529622","S94826150",4,"2000-2006"
"L3508651","S94825552",4,"2000-2006"
"L10146708","S94824605",4,"2000-2006"
"L3086750","S94824930",4,"2000-2006"
"L2529622","S94825750",4,"2000-2006"
"L3508651","S94825637",4,"2000-2006"
"L16435614","S94978902",7,"2007-2010"
"L10146708","S55963464",2,"2007-2010"
"L10146708","S55965254",2,"2007-2010"
"L2529622","S55964536",2,"2007-2010"
"L9217497","S55965680",2,"2007-2010"
"L2529614","S55963876",2,"2007-2010"
"L2529622","S55962881",2,"2007-2010"
"L2529614","S55964098",2,"2007-2010"
"L2529622","S55965351",2,"2007-2010"
"L9217374","S55965030",2,"2007-2010"
"L9217329","S55964781",2,"2007-2010"
"L9217470","S55965500",2,"2007-2010"
"L10146708","S24463158",3,"2007-2010"
"L2529622","S24463247",3,"2007-2010"
"L3086750","S24463189",3,"2007-2010"
"L3825121","S24463216",3,"2007-2010"
"L3825117","S24463167",3,"2007-2010"
"L23671265","S170981976",1,"2007-2010"
"L23671265","S170981978",1,"2007-2010"
"L3926495","S170984275",1,"2007-2010"
"L23671265","S170981979",1,"2007-2010"
