"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1994,"Gray Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Gray Francolin","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Gray Francolin","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Gray Francolin","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Gray Francolin","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Gray Francolin","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Gray Francolin","2015",-1.10611172564806,0.155062998994709,0.216617885454626,0.281681971384332,0.361316847197137,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Gray Francolin","2016",-1.43041804445026,0.143688020121368,0.165143994687971,0.212749592506659,0.271684016975146,NA,NA,NA,53.271095637532,75.5282957802009,110.775897540516,NA,NA,NA,53.271095637532,75.5282957802009,110.775897540516
2017,"Gray Francolin","2017",-1.64756217027661,0.139543262799278,0.136231616699167,0.175121078089048,0.223592712176915,NA,NA,NA,44.2090151257156,62.1697857439764,86.7737128964748,NA,NA,NA,44.2090151257156,62.1697857439764,86.7737128964748
2018,"Gray Francolin","2018",-1.44425179693488,0.119376215980463,0.170310963444392,0.210158138200148,0.257784362355097,NA,NA,NA,53.7739829697318,74.608302820135,102.813237742687,NA,NA,NA,53.7739829697318,74.608302820135,102.813237742687
2019,"Gray Francolin","2019",-1.26266456115456,0.110640533361817,0.203674278691067,0.246404267881932,0.296302973170212,NA,NA,NA,63.2561843154402,87.4760520422991,119.268530729182,NA,NA,NA,63.2561843154402,87.4760520422991,119.268530729182
2020,"Gray Francolin","2020",-1.38242877121378,0.119061828631469,0.180231764030857,0.221952939636325,0.271619821055858,NA,NA,NA,56.5113667146014,78.7955787676196,109.75704810775,NA,NA,NA,56.5113667146014,78.7955787676196,109.75704810775
2021,"Gray Francolin","2021",-1.30007668616846,0.113162414050456,0.196117514269758,0.238534866588182,0.288358277027883,NA,NA,NA,61.3135625247913,84.6823335607519,119.985314055612,NA,NA,NA,61.3135625247913,84.6823335607519,119.985314055612
2022,"Gray Francolin","2022",-1.36723697459065,0.10612339215635,0.186946300340961,0.224936280577035,0.269280818771774,NA,NA,NA,58.2342462425617,79.8546955176367,108.48567030158,NA,NA,NA,58.2342462425617,79.8546955176367,108.48567030158
2023,"Gray Francolin","2023",-1.33525279508465,0.108784470450687,0.191498614140766,0.231328561396994,0.277917885464655,NA,NA,NA,60.6845430561858,82.1240210227602,113.506791853237,NA,NA,NA,60.6845430561858,82.1240210227602,113.506791853237
2024,"Gray Francolin","2024",-1.60002757472153,0.109019186152063,0.150450347764514,0.182815963676492,0.221188390121109,NA,NA,NA,47.7042788388145,64.9015493529952,88.5641088759396,NA,NA,NA,47.7042788388145,64.9015493529952,88.5641088759396
2025,"Gray Francolin","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.2862276701103,74.7698688949308,94.5556455192479,59.2862276701103,74.7698688949308,94.5556455192479
2026,"Gray Francolin","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7688380511639,74.0262814901035,96.876914964093,56.7688380511639,74.0262814901035,96.876914964093
2027,"Gray Francolin","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3243036049147,73.3016535366742,99.3628279893588,54.3243036049147,73.3016535366742,99.3628279893588
2028,"Gray Francolin","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.966626191097,72.5955785370133,101.995319974646,51.966626191097,72.5955785370133,101.995319974646
2029,"Gray Francolin","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.7022670946528,71.907662588806,104.764498307196,49.7022670946528,71.907662588806,104.764498307196
2030,"Gray Francolin","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5333931099051,71.2375240240572,107.665376397326,47.5333931099051,71.2375240240572,107.665376397326
2031,"Gray Francolin","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4596703137462,70.5847930606977,110.696062234455,45.4596703137462,70.5847930606977,110.696062234455
1994,"Little Grebe","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Little Grebe","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Little Grebe","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Little Grebe","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Little Grebe","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Little Grebe","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Little Grebe","2015",-1.70206719761242,0.159833496237183,0.124775600400219,0.16665392854973,0.220713081212581,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Little Grebe","2016",-2.24022003212284,0.157450671114288,0.0751961287770371,0.100966590880471,0.134903073483542,NA,NA,NA,39.8522599218003,60.5845849294469,91.9048829014011,NA,NA,NA,39.8522599218003,60.5845849294469,91.9048829014011
2017,"Little Grebe","2017",-1.9294905992976,0.146379495431716,0.103270851847698,0.135169855362531,0.175912780233722,NA,NA,NA,55.5575897008117,81.1081122052252,121.012977523245,NA,NA,NA,55.5575897008117,81.1081122052252,121.012977523245
2018,"Little Grebe","2018",-1.80248120910714,0.120837145073574,0.122007211107261,0.152012391162637,0.188567565154255,NA,NA,NA,64.2192262788265,91.2144060962091,130.896813294668,NA,NA,NA,64.2192262788265,91.2144060962091,130.896813294668
2019,"Little Grebe","2019",-1.86464842634273,0.12202266283035,0.114843142711662,0.143542580411152,0.178658575344077,NA,NA,NA,60.1043926540303,86.1321312136475,127.810132461583,NA,NA,NA,60.1043926540303,86.1321312136475,127.810132461583
2020,"Little Grebe","2020",-1.85127335225186,0.114928643523203,0.117824298773276,0.145327629118767,0.178573045908179,NA,NA,NA,61.2099887824668,87.2032423018463,123.924402423,NA,NA,NA,61.2099887824668,87.2032423018463,123.924402423
2021,"Little Grebe","2021",-1.59120463387192,0.110045621121632,0.151396505580179,0.184276723882579,0.223306414486707,NA,NA,NA,79.8367557080101,110.574485393899,162.18123291244,NA,NA,NA,79.8367557080101,110.574485393899,162.18123291244
2022,"Little Grebe","2022",-1.88318859119546,0.0967655343808641,0.118232431237319,0.141101335550562,0.167955754309371,NA,NA,NA,61.6230878705763,84.6672723400316,117.033924044847,NA,NA,NA,61.6230878705763,84.6672723400316,117.033924044847
2023,"Little Grebe","2023",-2.07557725588778,0.109027265842371,0.0963745618053224,0.117930096301011,0.143909897120079,NA,NA,NA,50.2690923564937,70.763466140446,102.516147595351,NA,NA,NA,50.2690923564937,70.763466140446,102.516147595351
2024,"Little Grebe","2024",-2.14323963547825,0.0967648703510132,0.0924568051826554,0.11065878744526,0.132175324640461,NA,NA,NA,47.2094989598356,66.4003473594915,92.6315866199494,NA,NA,NA,47.2094989598356,66.4003473594915,92.6315866199494
2025,"Little Grebe","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.3578583376505,79.626389270342,107.139459259894,59.3578583376505,79.626389270342,107.139459259894
2026,"Little Grebe","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.3638679622597,78.8911814230177,110.861244207015,56.3638679622597,78.8911814230177,110.861244207015
2027,"Little Grebe","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.4736534249556,78.1756207981832,114.869565978537,53.4736534249556,78.1756207981832,114.869565978537
2028,"Little Grebe","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.7042275358259,77.4792744158915,119.145116001655,50.7042275358259,77.4792744158915,119.145116001655
2029,"Little Grebe","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.0626986081063,76.8017232026495,123.679854138224,48.0626986081063,76.8017232026495,123.679854138224
2030,"Little Grebe","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5505952782637,76.1425615638216,128.472664020314,45.5505952782637,76.1425615638216,128.472664020314
2031,"Little Grebe","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.1662508966145,75.5013969719074,133.52695490785,43.1662508966145,75.5013969719074,133.52695490785
1994,"Eurasian Collared-Dove","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,"Eurasian Collared-Dove","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Eurasian Collared-Dove","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Eurasian Collared-Dove","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Eurasian Collared-Dove","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Eurasian Collared-Dove","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Eurasian Collared-Dove","2015",-1.2953274835387,0.164003931094728,0.180071317616436,0.239522065353422,0.314505723413977,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Eurasian Collared-Dove","2016",-1.92853603208967,0.174546951586175,0.0980942456435166,0.135289790763703,0.185072521980917,NA,NA,NA,37.5500581863493,56.4832265303321,85.7955898657705,NA,NA,NA,37.5500581863493,56.4832265303321,85.7955898657705
2017,"Eurasian Collared-Dove","2017",-1.67734146276194,0.170695865931481,0.125176931999649,0.170448526315622,0.229811034262355,NA,NA,NA,46.8950652084962,71.1619307658023,105.396020526573,NA,NA,NA,46.8950652084962,71.1619307658023,105.396020526573
2018,"Eurasian Collared-Dove","2018",-1.26931423453091,0.153118661386097,0.187926532568973,0.244989990689633,0.315718431882545,NA,NA,NA,70.7283431179628,102.282848274602,152.771446471129,NA,NA,NA,70.7283431179628,102.282848274602,152.771446471129
2019,"Eurasian Collared-Dove","2019",-1.33885569495027,0.149205784385557,0.177720749253364,0.230600909997631,0.296153830113338,NA,NA,NA,65.7737158087573,96.2754348570654,141.398883416203,NA,NA,NA,65.7737158087573,96.2754348570654,141.398883416203
2020,"Eurasian Collared-Dove","2020",-1.66213756899241,0.151068018717396,0.131604337777214,0.172820021114359,0.225171940785567,NA,NA,NA,49.2594860781106,72.1520252672161,105.518638588828,NA,NA,NA,49.2594860781106,72.1520252672161,105.518638588828
2021,"Eurasian Collared-Dove","2021",-1.82100984437527,0.137187283312268,0.116355004837492,0.149441607413397,0.190871792740049,NA,NA,NA,43.6654764768775,62.3915826681319,91.9127369324262,NA,NA,NA,43.6654764768775,62.3915826681319,91.9127369324262
2022,"Eurasian Collared-Dove","2022",-1.8881906336847,0.138126434020627,0.10903480849558,0.140449241896319,0.179959410544443,NA,NA,NA,40.086328170388,58.6372874202977,84.223390816457,NA,NA,NA,40.086328170388,58.6372874202977,84.223390816457
2023,"Eurasian Collared-Dove","2023",-1.582840390656,0.136339616308329,0.145489751496608,0.185671049532752,0.235328792246811,NA,NA,NA,53.9892408318128,77.5173048290098,111.61719789354,NA,NA,NA,53.9892408318128,77.5173048290098,111.61719789354
