"LOCALITY.ID","group.id","month","timegroups"
"L7999546","S72645897",8,"before 2000"
"L7999546","S49001768",10,"before 2000"
"L6873924","G1151450",1,"before 2000"
"L1076318","G1364984",3,"before 2000"
"L6873924","S54094098",1,"before 2000"
"L3167817","S54094001",1,"before 2000"
"L3140877","S20472938",7,"before 2000"
"L8081317","G7263266",10,"before 2000"
"L8081317","S75582670",7,"before 2000"
"L3140880","S20399281",12,"before 2000"
"L3140850","S20399280",12,"before 2000"
"L3140877","S20377740",8,"before 2000"
"L2464155","S54538014",12,"before 2000"
"L3143422","S20399168",12,"before 2000"
"L3147933","S20399047",10,"before 2000"
"L967216","G1277360",12,"before 2000"
"L3653765","S23513004",12,"before 2000"
"L6873924","G1277358",12,"before 2000"
"L1076318","G1277359",12,"before 2000"
"L3852010","S117315958",5,"before 2000"
"L3158327","S20389174",2,"before 2000"
"L3140824","S20389173",2,"before 2000"
"L8081317","S75674878",7,"before 2000"
"L3167817","S53845738",8,"before 2000"
"L6873924","S53845504",8,"before 2000"
"L7024113","S43407549",2,"before 2000"
"L2464155","G5873498",7,"before 2000"
"L2464155","G5873499",7,"before 2000"
"L2464155","G5873502",7,"before 2000"
"L3357321","G5873501",7,"before 2000"
"L6873924","G5873506",12,"before 2000"
"L3140821","S20388721",4,"before 2000"
"L3142184","S20388777",8,"before 2000"
"L3140874","S20388775",8,"before 2000"
"L6873924","S56989158",12,"before 2000"
"L3357321","S54547369",8,"2000-2006"
"L2464155","S54547724",8,"2000-2006"
"L2464155","S54548506",8,"2000-2006"
"L3140783","S20377401",8,"2000-2006"
"L2796550","S69583484",9,"2000-2006"
"L3852010","S69576078",9,"2000-2006"
"L3176920","S69579732",9,"2000-2006"
"L3176920","S69579500",9,"2000-2006"
"L11538740","S69579149",9,"2000-2006"
"L3852010","S116609035",11,"2000-2006"
"L20516035","S116772806",11,"2000-2006"
"L3176920","S116608919",11,"2000-2006"
"L20560160","S116609107",11,"2000-2006"
"L8042583","S69582606",12,"2000-2006"
"L8042583","S69582392",12,"2000-2006"
"L11539895","S69585338",12,"2000-2006"
"L20050630","S114699199",6,"2000-2006"
"L3140783","S20437126",7,"2000-2006"
"L3176920","S180319263",12,"2000-2006"
"L33067207","S180315413",12,"2000-2006"
"L3140826","S20377515",2,"2000-2006"
"L3176920","S122645909",3,"2000-2006"
"L3176920","S57280431",6,"2000-2006"
"L3852010","S57264751",9,"2000-2006"
"L3852120","S50918467",10,"2000-2006"
"L3852120","S49226760",1,"2000-2006"
"L5173841","S49226719",1,"2000-2006"
"L8036414","S49226819",4,"2000-2006"
"L8036461","S49227053",4,"2000-2006"
