"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","X",1,NA,NA,NA,8,NA
"Lesser Whistling-Duck","Dendrocygna javanica","","","X",10,NA,0.183333333333333,0.3,8.6,2.51681774380974
"Bar-headed Goose","Anser indicus","","","X",8,NA,0.34375,0.625,10.125,3.61856670520249
"Graylag Goose","Anser anser","","","X",4,0.25,0.25,0.25,11.5,3.62290859209374
"Greater White-fronted Goose","Anser albifrons","","","",NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus","","","",NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","","","",NA,NA,NA,NA,NA,NA
"Ruddy Shelduck","Tadorna ferruginea","","","X",23,0.130434782608696,0.331521739130435,0.434782608695652,8.95652173913044,1.74473492211417
"Common Shelduck","Tadorna tadorna","","","",NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","X",1,NA,1,1,4,NA
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","","","X",1,NA,1,NA,12,NA
"Northern Shoveler","Spatula clypeata","","","X",2,NA,0.5,0.5,8.5,8.82
"Gadwall","Mareca strepera","","","X",10,0.1,0.2,0.4,7.2,3.07552806667227
"Falcated Duck","Mareca falcata","","","",NA,NA,NA,NA,NA,NA
"Eurasian Wigeon","Mareca penelope","","","X",5,NA,0.25,0.4,10.4,3.69812060376619
"Indian Spot-billed Duck","Anas poecilorhyncha","","","X",5,0.2,0.32,0.4,10,4.06434250525223
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","","","X",7,NA,0.244897959183673,0.285714285714286,9.28571428571429,3.7461446848727
"Northern Pintail","Anas acuta","","","X",3,NA,0.333333333333333,0.333333333333333,9.66666666666667,5.58208244694079
"Green-winged Teal","Anas crecca","","","X",3,NA,0.5,0.666666666666667,5,2.99394945403782
"Andaman Teal","Anas albogularis","","","",NA,NA,NA,NA,NA,NA
"Marbled Duck","Marmaronetta angustirostris","","","",NA,NA,NA,NA,NA,NA
"Pink-headed Duck","Rhodonessa caryophyllacea","","","",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","","","X",3,NA,0.333333333333333,0.333333333333333,6.33333333333333,4.28419316921064
"Red-crested Pochard","Netta rufina","","","X",3,0.333333333333333,0.333333333333333,0.333333333333333,9.33333333333333,5.34776381095667
"Common Pochard","Aythya ferina","","","X",1,1,NA,NA,13,NA
"Ferruginous Duck","Aythya nyroca","","","X",1,NA,1,NA,13,NA
"Baer's Pochard","Aythya baeri","","","",NA,NA,NA,NA,NA,NA
"Tufted Duck","Aythya fuligula","","","X",3,0.333333333333333,0.333333333333333,0.333333333333333,8,5.1856725696866
"Greater Scaup","Aythya marila","","","",NA,NA,NA,NA,NA,NA
"Long-tailed Duck","Clangula hyemalis","","","",NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula","","","",1,1,NA,NA,13,NA
"Smew","Mergellus albellus","","","",NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser","","","X",13,0.153846153846154,0.288461538461538,0.461538461538462,8.30769230769231,2.19004957929343
"Red-breasted Merganser","Mergus serrator","","","",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala","","","",NA,NA,NA,NA,NA,NA
"Nicobar Megapode","Megapodius nicobariensis","","","",NA,NA,NA,NA,NA,NA
"Hill Partridge","Arborophila torqueola","","","X",31,0.0967741935483871,0.266129032258065,0.548387096774194,7.25806451612903,1.63093170642102
"Chestnut-breasted Partridge","Arborophila mandellii","","","X",9,NA,0.347222222222222,0.444444444444444,7.66666666666667,3.92
