"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1994,"White-cheeked Partridge","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,"White-cheeked Partridge","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"White-cheeked Partridge","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"White-cheeked Partridge","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"White-cheeked Partridge","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"White-cheeked Partridge","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"White-cheeked Partridge","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"White-cheeked Partridge","2016",0.00882178399497181,0.0153010206112132,0.0264118863852445,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"White-cheeked Partridge","2017",0.00153944567789122,0.00423314793229097,0.00916179431951288,NA,NA,NA,9.94256137128338,27.2824095275564,56.0208098303169,NA,NA,NA,9.94256137128338,27.2824095275564,56.0208098303169
2018,"White-cheeked Partridge","2018",0.000668934220510336,0.00206240794553207,0.00484902987953565,NA,NA,NA,4.28410141989517,13.2599751094814,31.6696350009371,NA,NA,NA,4.28410141989517,13.2599751094814,31.6696350009371
2019,"White-cheeked Partridge","2019",0.000483358648960454,0.0020280828374681,0.00523389159524586,NA,NA,NA,3.36098269964981,13.0155652343479,31.5417760655664,NA,NA,NA,3.36098269964981,13.0155652343479,31.5417760655664
2020,"White-cheeked Partridge","2020",0.000546663535930944,0.00257587591552284,0.00693571179647172,NA,NA,NA,3.46273261343428,16.7842297574558,44.3899922216233,NA,NA,NA,3.46273261343428,16.7842297574558,44.3899922216233
