"gridg0","group.id","month","timegroups"
"295014","S109845908",1,"before 2000"
"298969","S54216855",2,"before 2000"
"299627","G6749888",3,"before 2000"
"299629","S98612826",7,"before 2000"
"306756","S98612992",3,"before 2000"
"299629","S98690448",8,"before 2000"
"300278","S40206900",12,"before 2000"
"299628","S163368686",4,"before 2000"
"299628","S162933689",4,"before 2000"
"292400","S89335322",4,"before 2000"
"299628","S163373628",5,"before 2000"
"293715","S57217411",5,"before 2000"
"293715","S57164999",12,"before 2000"
"305441","S57165001",1,"before 2000"
"294367","S57279681",1,"before 2000"
"293715","S57165000",1,"before 2000"
"310639","S57165004",1,"before 2000"
"310646","S57280300",1,"before 2000"
"314532","S57279341",1,"before 2000"
"314532","S57217410",1,"before 2000"
"314532","S57280299",1,"before 2000"
"314532","S57279679",1,"before 2000"
"314532","S57280134",1,"before 2000"
"314532","S57280240",1,"before 2000"
"314532","S57280135",1,"before 2000"
"314532","S57165008",1,"before 2000"
"309341","S57165005",1,"before 2000"
"309341","S57280360",1,"before 2000"
"309341","S57280239",1,"before 2000"
"309341","S57280361",1,"before 2000"
"309341","S57265728",1,"before 2000"
"309341","S57279545",1,"before 2000"
"309342","S57165003",1,"before 2000"
"309341","S57266151",1,"before 2000"
"300278","S40185030",12,"before 2000"
"299627","S56786160",3,"before 2000"
"299627","S56786158",3,"before 2000"
"299627","S56786159",3,"before 2000"
"300278","S56786157",3,"before 2000"
"300872","S283883742",4,"before 2000"
"309365","S56824582",12,"before 2000"
"309365","S56824584",12,"before 2000"
"311317","S56824491",12,"before 2000"
"309365","S56824578",12,"before 2000"
"321064","S56824585",12,"before 2000"
"319122","S56824490",12,"before 2000"
"318466","S223653181",12,"before 2000"
"319122","S56824492",12,"before 2000"
"318466","S56824489",12,"before 2000"
"318466","G15272205",12,"before 2000"
"299627","S139744728",2,"before 2000"
"300929","S117328732",2,"before 2000"
"297586","S56889899",3,"before 2000"
"299627","S191132740",2,"2000-2006"
"299628","S191134782",3,"2000-2006"
"300277","S191143219",3,"2000-2006"
"300278","S191258757",3,"2000-2006"
"300929","S191257826",3,"2000-2006"
"300929","S191249104",3,"2000-2006"
"299627","S191731231",3,"2000-2006"
"300275","S191268134",3,"2000-2006"
"299627","S191266008",3,"2000-2006"
"293049","S56824786",12,"2000-2006"
"293049","S56824787",12,"2000-2006"
"291752","S56824782",12,"2000-2006"
"294990","S299467313",12,"2000-2006"
"295717","S21953385",4,"2000-2006"
"300827","S54974392",4,"2000-2006"
"303526","S21953581",5,"2000-2006"
"321694","S120834026",11,"2000-2006"
"299627","S87815019",12,"2000-2006"
"299627","S88521638",12,"2000-2006"
"300929","S87963642",12,"2000-2006"
"300929","S87831023",12,"2000-2006"
"300929","S87963421",12,"2000-2006"
"299627","S87463547",12,"2000-2006"
