"LOCALITY.ID","group.id","month","timegroups"
"L23626083","G10007572",4,"2022"
"L23626269","G10007673",4,"2022"
"L23626554","G10007750",4,"2022"
"L23626555","G10007751",4,"2022"
"L3774779","G10008324",4,"2022"
"L3508339","G10008418",4,"2022"
"L23629168","G10008458",4,"2022"
"L3508339","G10008460",4,"2022"
"L23629992","G10008621",4,"2022"
"L23629976","G10008622",4,"2022"
"L14476634","G10008623",4,"2022"
"L23629944","G10008624",4,"2022"
"L12903160","G10008625",4,"2022"
"L4398904","G10008626",4,"2022"
"L14476568","G10008627",4,"2022"
"L6942046","G10008918",4,"2022"
"L3774779","G10008957",4,"2022"
"L6942046","G10015971",4,"2022"
"L6942046","G10016099",4,"2022"
"L12192463","G10016474",4,"2022"
"L23653707","G10016541",4,"2022"
"L23653714","G10016542",4,"2022"
"L23655685","G10017164",4,"2022"
"L18170351","G10017165",4,"2022"
"L3774779","G10017178",4,"2022"
"L23582847","G10018538",4,"2022"
"L17730375","G10023126",4,"2022"
"L3025449","G10028416",4,"2022"
"L3508339","G10028418",4,"2022"
"L17730375","G10028420",4,"2022"
"L3834855","G10028422",4,"2022"
"L3025449","G10028423",4,"2022"
"L3025449","G10028424",4,"2022"
"L3025449","G10028425",4,"2022"
"L10001501","G10028426",4,"2022"
"L13556455","G10028427",4,"2022"
"L3025449","G10028428",4,"2022"
"L6942046","G10028429",4,"2022"
"L3834855","G10028430",4,"2022"
"L3508339","G10028431",4,"2022"
"L4573742","G10028485",4,"2022"
"L13071676","G10028491",4,"2022"
"L14476568","G10028498",4,"2022"
"L18909035","G10028936",4,"2022"
"L12192463","G10028939",4,"2022"
"L23398192","G10028944",4,"2022"
"L4573742","G10028946",4,"2022"
"L4573742","G10028958",4,"2022"
"L22999596","G10028960",4,"2022"
"L13758735","G10028963",4,"2022"
"L13758735","G10028964",4,"2022"
"L4398904","G10028966",4,"2022"
"L4398904","G10028969",4,"2022"
"L13071676","G10028971",4,"2022"
"L13071676","G10028972",4,"2022"
"L14476568","G10028973",4,"2022"
"L15145383","G10028977",4,"2022"
"L14476634","G10028988",4,"2022"
"L14476634","G10028993",4,"2022"
"L13071676","G10028997",4,"2022"
"L13491275","G10028997",4,"2022"
"L13071676","G10029003",4,"2022"
"L12903160","G10029005",4,"2022"
"L13071676","G10029006",4,"2022"
"L13071766","G10029009",4,"2022"
"L23438165","G10029010",4,"2022"
"L19933604","G10029012",4,"2022"
"L12192463","G10029013",4,"2022"
"L12908549","G10029014",4,"2022"
"L13758735","G10029017",4,"2022"
"L22999596","G10029020",4,"2022"
"L4573742","G10029022",4,"2022"
"L12192463","G10029023",4,"2022"
"L4573742","G10029024",4,"2022"
"L22999596","G10029026",4,"2022"
"L13758735","G10029027",4,"2022"
"L4700860","G10029038",4,"2022"
"L13758735","G10029041",4,"2022"
"L13758735","G10029044",4,"2022"
"L13758735","G10029047",4,"2022"
"L13758735","G10029048",4,"2022"
"L4573742","G10029049",4,"2022"
"L12192463","G10029052",4,"2022"
"L23460421","G10029056",4,"2022"
"L22999596","G10029062",4,"2022"
"L22999596","G10029063",4,"2022"
"L22999596","G10029067",4,"2022"
"L18570811","G10032810",4,"2022"
"L23703764","G10033190",4,"2022"
"L23705352","G10033663",4,"2022"
"L23706577","G10033965",4,"2022"
"L13758735","G10034218",4,"2022"
"L18570811","G10034227",4,"2022"
"L4398904","G10037582",4,"2022"
"L4700860","G10038519",4,"2022"
"L12908549","G10038520",4,"2022"
"L12908549","G10038521",4,"2022"
"L23009896","G10038569",4,"2022"
"L18909035","G10038570",4,"2022"
"L23721966","G10038571",4,"2022"
"L6942046","G10038588",4,"2022"
"L23705108","G10038595",4,"2022"
