"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10"
"Fulvous Whistling-Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck",2.43451364203055,4.7319379036984,7.02936216536625,1.78293495611193,4.03633114707908,6.28972733804622,1.84016022949402,3.89441080451305,5.94866137953208,2.03836061236477,4.14574198745134,6.25312336253792,2.06853028411564,4.12221557506437,6.1759008660131,2.19206932599439,4.19772242182934,6.20337551766429,2.20665451994589,3.82658531870372,5.44651611746156,1.80306021136834,3.88605489195541,5.96904957254248,2.20535943122122,4.43962470176937,6.67388997231753,2.04165062291679,4.46769070309202,6.89373078326724
"Bar-headed Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Graylag Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whooper Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knob-billed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ruddy Shelduck",-7.15084814195809,-4.48740771391709,-1.8239672858761,-6.39216079611462,-3.86230638158515,-1.33245196705569,-5.7568480489103,-3.64396578965563,-1.53108353040097,-6.48407611123872,-4.39456243899365,-2.30504876674857,-6.49741080241238,-4.12597188716685,-1.75453297192132,-6.43827309117802,-4.15697383047962,-1.87567456978123,-6.44170999923963,-4.00304275628305,-1.56437551332648,-6.80206260533482,-4.33561435959424,-1.86916611385366,-6.60045031553187,-3.95045121834711,-1.30045212116236,-6.84936049828042,-3.99932002333307,-1.14927954838571
"Common Shelduck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose",-4.40952117835248,0.0130830781464083,4.4356873346453,-4.93171437615096,-0.667699703881359,3.59631496838824,-5.33150175689443,-1.11175723450896,3.10798728787652,-5.53388468981064,-1.8166628217158,1.90055904637905,-5.36984096528526,-1.47084681145712,2.42814734237102,-5.05368506904877,-1.23426163126014,2.5851618065285,-5.22861913018673,-1.13355832735211,2.96150247548251,-5.70522773949663,-1.36312463550357,2.9789784684895,-6.54474029903982,-2.49336204507804,1.55801620888375,-7.02614373843104,-2.36252505138274,2.30109363566557
"Mandarin Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Baikal Teal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garganey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Shoveler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gadwall",-3.72420191911022,-1.13579324966499,1.45261541978024,-3.60098031505665,-1.29755076222023,1.00587879061618,-2.73167186000519,-0.472161332439209,1.78734919512677,-2.96007514675343,-0.641373040047673,1.67732906665809,-3.03783934197415,-0.717009849681555,1.60381964261104,-3.11761742487732,-0.755482752408603,1.60665192006012,-3.2386423125379,-0.925452246988732,1.38773781856043,-3.26473041480841,-0.744996620370689,1.77473717406703,-3.17155942903274,-0.558356968979681,2.05484549107338,-2.87897659846367,-0.182957056417214,2.51306248562924
"Falcated Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
