"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1994,"Lesser Whistling-Duck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Lesser Whistling-Duck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Lesser Whistling-Duck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Lesser Whistling-Duck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Lesser Whistling-Duck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Lesser Whistling-Duck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Lesser Whistling-Duck","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Lesser Whistling-Duck","2016",0.10626863835207,0.130802793740922,0.160224282012195,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Lesser Whistling-Duck","2017",0.100616098611782,0.123965493293109,0.150307443176134,NA,NA,NA,80.4789329621603,94.9946026871614,111.857022252143,NA,NA,NA,80.4789329621603,94.9946026871614,111.857022252143
2018,"Lesser Whistling-Duck","2018",0.0989736611095122,0.122237814211256,0.149541910167899,NA,NA,NA,79.6407481155676,94.1596109847524,112.371744821153,NA,NA,NA,79.6407481155676,94.1596109847524,112.371744821153
2019,"Lesser Whistling-Duck","2019",0.112903406939149,0.137754207808347,0.164016404528784,NA,NA,NA,90.6316979950813,105.575463800335,121.83169487983,NA,NA,NA,90.6316979950813,105.575463800335,121.83169487983
2020,"Lesser Whistling-Duck","2020",0.115186170620979,0.137818943841024,0.16283000397057,NA,NA,NA,91.136107689731,105.212811344748,121.034613700355,NA,NA,NA,91.136107689731,105.212811344748,121.034613700355
2021,"Lesser Whistling-Duck","2021",0.116078177440174,0.139345051785024,0.165585679769175,NA,NA,NA,92.9998469866153,106.70092394486,123.147950795739,NA,NA,NA,92.9998469866153,106.70092394486,123.147950795739
2022,"Lesser Whistling-Duck","2022",0.145968674179588,0.174507263719683,0.204623949801097,NA,NA,NA,117.684855690372,133.720789160619,151.642290825565,NA,NA,NA,117.684855690372,133.720789160619,151.642290825565
2023,"Lesser Whistling-Duck","2023",0.14158866361615,0.169550087998629,0.197300254654824,NA,NA,NA,114.424263328002,129.656420639685,146.519860100538,NA,NA,NA,114.424263328002,129.656420639685,146.519860100538
2024,"Lesser Whistling-Duck","2024",0.1325982985494,0.157802740792949,0.186264180053836,NA,NA,NA,106.307315561787,120.784399800331,137.084915921059,NA,NA,NA,106.307315561787,120.784399800331,137.084915921059
2025,"Lesser Whistling-Duck","2025",0.139125249241693,0.165343985409181,0.193509905527907,NA,NA,NA,111.941379773685,126.917489349752,142.799141431833,NA,NA,NA,111.941379773685,126.917489349752,142.799141431833
2026,"Lesser Whistling-Duck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,122.616319607663,136.291451653848,151.318830472253,122.616319607663,136.291451653848,151.318830472253
2027,"Lesser Whistling-Duck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,125.442319315306,141.527362988283,159.604556866835,125.442319315306,141.527362988283,159.604556866835
2028,"Lesser Whistling-Duck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,128.009309736541,146.815291004366,168.430331806876,128.009309736541,146.815291004366,168.430331806876
2029,"Lesser Whistling-Duck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,130.752407553236,152.455617568644,177.809741779577,130.752407553236,152.455617568644,177.809741779577
2030,"Lesser Whistling-Duck","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,133.718696367365,158.180142412958,187.757096832652,133.718696367365,158.180142412958,187.757096832652
2031,"Lesser Whistling-Duck","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,136.596208352281,164.342342977549,197.983719883995,136.596208352281,164.342342977549,197.983719883995
2032,"Lesser Whistling-Duck","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,139.272447137477,170.646098057438,208.903597273672,139.272447137477,170.646098057438,208.903597273672
2033,"Lesser Whistling-Duck","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,142.126217987712,177.072897737922,220.303451149769,142.126217987712,177.072897737922,220.303451149769
1994,"Ruddy Shelduck","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Ruddy Shelduck","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,"Ruddy Shelduck","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,"Ruddy Shelduck","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Ruddy Shelduck","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Ruddy Shelduck","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Ruddy Shelduck","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Ruddy Shelduck","2016",0.0409743542762145,0.0680710963542537,0.103762606186789,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Ruddy Shelduck","2017",0.0424785317832663,0.0707793181731843,0.112208524283998,NA,NA,NA,79.7960231752932,104.306241445056,134.245518583116,NA,NA,NA,79.7960231752932,104.306241445056,134.245518583116
2018,"Ruddy Shelduck","2018",0.0462270288253467,0.0736600388955924,0.116181098148267,NA,NA,NA,83.9335105748327,109.048309117261,140.285343080823,NA,NA,NA,83.9335105748327,109.048309117261,140.285343080823
2019,"Ruddy Shelduck","2019",0.0327965710552196,0.0526859321707464,0.0833194117892359,NA,NA,NA,61.9749216607769,78.1387474907572,98.652625347824,NA,NA,NA,61.9749216607769,78.1387474907572,98.652625347824
2020,"Ruddy Shelduck","2020",0.0353872953818086,0.0559504179188409,0.0889102096059931,NA,NA,NA,66.1136530027068,83.1461718439623,103.382996626068,NA,NA,NA,66.1136530027068,83.1461718439623,103.382996626068
2021,"Ruddy Shelduck","2021",0.0397169326087346,0.0629435044233109,0.100080408994391,NA,NA,NA,75.0270084316535,93.1433221887899,116.715338985767,NA,NA,NA,75.0270084316535,93.1433221887899,116.715338985767
2022,"Ruddy Shelduck","2022",0.0321781917436213,0.0515396232582439,0.080640509221316,NA,NA,NA,61.9061744283029,75.9853704183928,93.5737122841892,NA,NA,NA,61.9061744283029,75.9853704183928,93.5737122841892
2023,"Ruddy Shelduck","2023",0.0351507339323913,0.0558456209239315,0.088448483901468,NA,NA,NA,68.512866291342,82.4947817940367,102.818685131605,NA,NA,NA,68.512866291342,82.4947817940367,102.818685131605
2024,"Ruddy Shelduck","2024",0.0296876177847932,0.0466584164608113,0.0732187489441262,NA,NA,NA,56.7044900867078,69.084214402267,86.1285219076857,NA,NA,NA,56.7044900867078,69.084214402267,86.1285219076857
2025,"Ruddy Shelduck","2025",0.028840321841558,0.045122086381445,0.0713928994885001,NA,NA,NA,55.3732816243762,66.7475327662107,82.8529850054522,NA,NA,NA,55.3732816243762,66.7475327662107,82.8529850054522
2026,"Ruddy Shelduck","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.388488497041,65.3742382370382,75.6831329467821,56.388488497041,65.3742382370382,75.6831329467821
2027,"Ruddy Shelduck","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7409370800678,62.3919822729918,73.8101494116244,52.7409370800678,62.3919822729918,73.8101494116244
2028,"Ruddy Shelduck","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,49.1622560243391,59.4852690185678,71.9646442269266,49.1622560243391,59.4852690185678,71.9646442269266
2029,"Ruddy Shelduck","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,45.8534327646806,56.6433739097665,70.1547901011014,45.8534327646806,56.6433739097665,70.1547901011014
