"LOCALITY.ID","group.id","month","timegroups"
"L3225665","S226548244",12,"2000-2006"
"L3612445","S87335423",12,"2000-2006"
"L3834143","S87327080",12,"2000-2006"
"L3834143","S87326274",12,"2000-2006"
"L5847776","S87307990",12,"2000-2006"
"L976256","S87251724",12,"2000-2006"
"L1131599","S95134123",3,"2000-2006"
"L1131604","S95133517",3,"2000-2006"
"L1131607","S95132410",3,"2000-2006"
"L12055394","S97421294",3,"2000-2006"
"L13743478","S81858485",4,"2000-2006"
"L2182902","S97874041",3,"2000-2006"
"L3831282","S71235223",2,"2000-2006"
"L5847776","S95132037",3,"2000-2006"
"L5847776","S95133315",3,"2000-2006"
"L6591181","S97652587",3,"2000-2006"
"L1131599","S31369325",2,"2000-2006"
"L1131599","S69382256",3,"2000-2006"
"L1131599","S99530542",12,"2000-2006"
"L1131604","S13171308",1,"2000-2006"
"L1131604","S99518509",12,"2000-2006"
"L1131607","S31370162",2,"2000-2006"
"L1131607","S99517785",12,"2000-2006"
"L1131607","S99532624",12,"2000-2006"
"L1131607","S99565374",12,"2000-2006"
"L1131607","S99535133",12,"2000-2006"
"L1131607","S99538893",12,"2000-2006"
"L1131614","S99533368",12,"2000-2006"
"L1131614","S99566411",12,"2000-2006"
"L13312272","S79466838",2,"2000-2006"
"L14119418","S83870650",1,"2000-2006"
"L14526269","S99564715",12,"2000-2006"
"L14526269","S99516402",12,"2000-2006"
"L14526269","S99519677",12,"2000-2006"
"L14526269","S99534338",12,"2000-2006"
"L14861193","S99625202",12,"2000-2006"
"L2019277","S13170105",1,"2000-2006"
"L2182902","S83872378",1,"2000-2006"
"L2525751","S99569014",12,"2000-2006"
"L3511657","S153452952",12,"2000-2006"
"L3612445","S31357943",2,"2000-2006"
"L3612445","S99568083",12,"2000-2006"
"L3612445","S134059647",2,"2000-2006"
"L3612445","S134061124",2,"2000-2006"
"L3612445","S31357746",2,"2000-2006"
"L3831282","S134242825",3,"2000-2006"
"L3834143","S30202959",2,"2000-2006"
"L3834143","S30190677",2,"2000-2006"
"L4012192","S99533828",12,"2000-2006"
"L4012192","S99564481",12,"2000-2006"
"L4012192","S99536163",12,"2000-2006"
"L4658742","S133783448",2,"2000-2006"
"L4658742","S133791974",2,"2000-2006"
"L4658742","S133782772",2,"2000-2006"
"L5037089","S99625547",12,"2000-2006"
"L5261600","S33688129",2,"2000-2006"
"L5261600","S33687617",2,"2000-2006"
"L5261600","S33825708",2,"2000-2006"
"L5261600","S33687540",2,"2000-2006"
"L5549331","S35023573",12,"2000-2006"
"L5847776","S99516054",12,"2000-2006"
"L8585341","S99569403",12,"2000-2006"
"L976256","S134149928",2,"2000-2006"
"L976256","S134142300",2,"2000-2006"
"L976256","S134155630",2,"2000-2006"
"L976256","S31368850",2,"2000-2006"
"L976256","S31370088",2,"2000-2006"
"L976256","S134151694",2,"2000-2006"
"L976256","S94483768",6,"2000-2006"
"L976256","S134077592",2,"2000-2006"
"L976256","S31369833",2,"2000-2006"
"L976256","S94483847",6,"2000-2006"
"L976256","S83459250",1,"2000-2006"
"L2525751","S66909657",12,"2000-2006"
"L2678036","S96985756",6,"2000-2006"
