"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1982,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Indian Peafowl","2016",0.171470914856114,0.286316027100519,0.4233292224616,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2017,"Indian Peafowl","2017",0.0770231946310442,0.137961441443247,0.204445344626733,NA,NA,NA,24.3303107870601,47.5563496557556,97.4776626427845,NA,NA,NA,24.3303107870601,47.5563496557556,97.4776626427845
2018,"Indian Peafowl","2018",0.227917635675991,0.287672323026997,0.354667178700687,NA,NA,NA,62.8734006125975,100.385604518931,180.268714129913,NA,NA,NA,62.8734006125975,100.385604518931,180.268714129913
2019,"Indian Peafowl","2019",0.263850585458873,0.298008081978504,0.332578690319296,NA,NA,NA,69.6995577594694,103.098997169495,174.70314500409,NA,NA,NA,69.6995577594694,103.098997169495,174.70314500409
2020,"Indian Peafowl","2020",0.282480109575417,0.32045137486236,0.362261141359175,NA,NA,NA,75.018091261126,111.726477686151,194.798903016719,NA,NA,NA,75.018091261126,111.726477686151,194.798903016719
2021,"Indian Peafowl","2021",0.416151784756891,0.462844223371703,0.511955623972903,NA,NA,NA,106.27480128194,161.367934405526,267.923328494109,NA,NA,NA,106.27480128194,161.367934405526,267.923328494109
2022,"Indian Peafowl","2022",0.34969445313096,0.40330244909187,0.457467202903198,NA,NA,NA,93.9498093729056,140.626971501636,237.866187619552,NA,NA,NA,93.9498093729056,140.626971501636,237.866187619552
2023,"Indian Peafowl","2023",0.253063172253636,0.301700911098919,0.34958852974976,NA,NA,NA,68.4157237871395,104.682607333924,180.679049090699,NA,NA,NA,68.4157237871395,104.682607333924,180.679049090699
2024,"Indian Peafowl","2024",0.146012458284815,0.189902298653682,0.234625882118776,NA,NA,NA,41.2021589776759,65.3670388386056,112.613051791967,NA,NA,NA,41.2021589776759,65.3670388386056,112.613051791967
2025,"Indian Peafowl","2025",0.280802435944642,0.329528619164705,0.375833796978975,NA,NA,NA,75.8500866867885,114.02715338868,197.665306427457,NA,NA,NA,75.8500866867885,114.02715338868,197.665306427457
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,72.1541539964632,118.109027588543,196.102602603759,72.1541539964632,118.109027588543,196.102602603759
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,69.1810164859519,121.748409433038,216.783881204432,69.1810164859519,121.748409433038,216.783881204432
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,66.2160192112175,125.381248646844,239.510937795889,66.2160192112175,125.381248646844,239.510937795889
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,63.193291632233,129.578209534092,266.055589298046,63.193291632233,129.578209534092,266.055589298046
2030,"Indian Peafowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,60.303810617811,133.559464453216,296.04115456795,60.303810617811,133.559464453216,296.04115456795
2031,"Indian Peafowl","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,57.4712228400061,137.492678929947,329.903574283153,57.4712228400061,137.492678929947,329.903574283153
2032,"Indian Peafowl","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.97776855111,142.08025962462,367.099361040306,54.97776855111,142.08025962462,367.099361040306
2033,"Indian Peafowl","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,52.3428480775691,146.770110545169,408.684550751585,52.3428480775691,146.770110545169,408.684550751585
1982,"Black Francolin","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,"Black Francolin","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Black Francolin","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Black Francolin","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Black Francolin","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
