"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1982,"Indian Peafowl","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,"Indian Peafowl","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Indian Peafowl","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",-1.32097274722747,0.334613387942808,0.129345185936409,0.23423165234737,0.402025050192511,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",-0.932545786533018,0.395005032023994,0.16594300329684,0.325342779328532,0.574105238389577,NA,NA,NA,56.8345785666648,138.89787143116,304.574029859926,NA,NA,NA,56.8345785666648,138.89787143116,304.574029859926
2017,"Indian Peafowl","2017",-1.75771269827326,0.393297804518094,0.0766736244605039,0.158390233789345,0.311162148968093,NA,NA,NA,27.3764530364135,67.6211913300467,165.188835321044,NA,NA,NA,27.3764530364135,67.6211913300467,165.188835321044
2018,"Indian Peafowl","2018",-1.14475168505384,0.244959137391212,0.178757598348703,0.272617603541934,0.40217841987866,NA,NA,NA,58.3014023540038,116.388029034452,240.888338407175,NA,NA,NA,58.3014023540038,116.388029034452,240.888338407175
2019,"Indian Peafowl","2019",-1.19129412828241,0.201991470481428,0.184943573479909,0.262012075782851,0.363266940830225,NA,NA,NA,57.3784260047997,111.860234582764,229.060825680195,NA,NA,NA,57.3784260047997,111.860234582764,229.060825680195
2020,"Indian Peafowl","2020",-1.38160637459637,0.208666247474582,0.153683031126427,0.22211357447894,0.314831811554446,NA,NA,NA,50.4272128619248,94.8264558837428,183.596321902119,NA,NA,NA,50.4272128619248,94.8264558837428,183.596321902119
2021,"Indian Peafowl","2021",-0.7870711377332,0.205958978772463,0.262133938903498,0.365663680420935,0.49416562983502,NA,NA,NA,84.1844204553096,156.11198433534,309.072606955376,NA,NA,NA,84.1844204553096,156.11198433534,309.072606955376
2022,"Indian Peafowl","2022",-0.693351703958476,0.246396311022263,0.265394259251696,0.39340731860294,0.55525223444176,NA,NA,NA,86.9096734427288,167.956514271397,340.717133492748,NA,NA,NA,86.9096734427288,167.956514271397,340.717133492748
2023,"Indian Peafowl","2023",-0.818322424471998,0.219032087478782,0.249627826120742,0.356717389062916,0.492227127088362,NA,NA,NA,77.7935782849326,152.292564001512,293.094752163325,NA,NA,NA,77.7935782849326,152.292564001512,293.094752163325
2024,"Indian Peafowl","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.171990338378,172.380630308458,276.941365316415,109.171990338378,172.380630308458,276.941365316415
2025,"Indian Peafowl","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.719872647045,184.507458330189,320.526979433449,108.719872647045,184.507458330189,320.526979433449
