"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck","Dendrocygna javanica","","","",122,0.0737704918032787,0.334016393442623,0.401639344262295,9.00819672131148,1.03683735974973
"Bar-headed Goose","Anser indicus","","","X",26,0.0769230769230769,0.283653846153846,0.346153846153846,14.4230769230769,2.40215652619295
"Graylag Goose","Anser anser","","","",10,0.1,0.233333333333333,0.4,14.7,3.22788985079864
"Greater White-fronted Goose","Anser albifrons","","","",NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus","","","",NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","","","",28,0.0714285714285714,0.227678571428571,0.392857142857143,12.75,2.41448330489768
"Ruddy Shelduck","Tadorna ferruginea","","","",38,0.105263157894737,0.230263157894737,0.210526315789474,12.7631578947368,2.2157540365388
"Common Shelduck","Tadorna tadorna","","","",NA,NA,NA,NA,NA,NA
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","",93,0.161290322580645,0.311827956989247,0.311827956989247,10.2795698924731,1.19128168236178
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","","","",41,0.195121951219512,0.341463414634146,0.414634146341463,13.3170731707317,1.95932945103164
"Northern Shoveler","Spatula clypeata","","","",31,0.290322580645161,0.221774193548387,0.32258064516129,12.8709677419355,2.45871713177755
