"gridg0","group.id","month","timegroups"
"208292","S265550104",2,"before 2000"
"221310","S28922880",12,"before 2000"
"209599","S28939829",12,"before 2000"
"244057","S44772669",1,"before 2000"
"243403","S44758620",1,"before 2000"
"239523","S44775394",2,"before 2000"
"236284","S44811780",2,"before 2000"
"239520","S44813326",3,"before 2000"
"224560","S44857240",10,"before 2000"
"224557","S44861335",11,"before 2000"
"224557","S44867550",12,"before 2000"
"221312","S44898843",12,"before 2000"
"221311","S44956619",12,"before 2000"
"214150","S44897553",2,"before 2000"
"221310","S44967657",3,"before 2000"
"209599","S44995678",5,"before 2000"
"200509","S44996147",6,"before 2000"
"212853","S44996313",6,"before 2000"
"212854","S45014394",8,"before 2000"
"214812","S45014681",9,"before 2000"
"209599","S45014471",9,"before 2000"
"209599","S45014629",9,"before 2000"
"202453","S45014757",10,"before 2000"
"209599","S45014915",10,"before 2000"
"209599","S45014713",10,"before 2000"
"215463","S45017194",11,"before 2000"
"214152","S45019014",11,"before 2000"
"209599","S45015201",11,"before 2000"
"211557","S45018695",11,"before 2000"
"211560","S45020289",12,"before 2000"
"214150","S45022880",12,"before 2000"
"214805","S45024393",1,"before 2000"
"206986","S45023129",1,"before 2000"
"209601","S45023795",1,"before 2000"
"209599","S45024076",1,"before 2000"
"211554","S45023556",1,"before 2000"
"216762","S45033773",2,"before 2000"
"214162","S45034132",2,"before 2000"
"215463","S45033405",2,"before 2000"
"211550","S45034454",2,"before 2000"
"177757","S28764601",3,"before 2000"
"176463","S28750492",3,"before 2000"
"208293","S28923106",3,"before 2000"
"189472","S45054880",3,"before 2000"
"203106","S45054619",3,"before 2000"
"196613","S45054979",3,"before 2000"
"192698","S28745564",3,"before 2000"
"187491","S28746168",3,"before 2000"
"209601","S45055112",3,"before 2000"
"209599","S45035164",3,"before 2000"
"209599","S28940027",3,"before 2000"
"208301","S45055145",3,"before 2000"
"209599","S45055267",4,"before 2000"
"209599","S45055396",4,"before 2000"
"214812","S45055351",5,"before 2000"
"194005","S259789482",5,"before 2000"
"195957","S45671253",5,"before 2000"
"209612","S45673075",5,"before 2000"
"209599","S45672140",5,"before 2000"
"209599","S45672722",5,"before 2000"
"208951","S45673462",6,"before 2000"
"208953","S45107707",6,"before 2000"
"209601","S45107504",6,"before 2000"
"207014","S45108746",7,"before 2000"
"208318","S45060810",7,"before 2000"
"209600","S45109395",7,"before 2000"
"209598","S45109164",7,"before 2000"
"213503","S45110574",8,"before 2000"
"210903","S45110355",8,"before 2000"
"211549","S45061367",8,"before 2000"
"205701","S45111332",8,"before 2000"
"208977","S45061868",9,"before 2000"
"210269","S45062258",10,"before 2000"
"209599","S45130482",10,"before 2000"
"209599","S45130675",10,"before 2000"
"200500","S45062692",11,"before 2000"
"206351","S45138352",11,"before 2000"
"209599","S45136932",11,"before 2000"
"211555","S45675089",12,"before 2000"
"208950","S45686033",1,"before 2000"
"209601","S45686304",1,"before 2000"
"209599","S45686819",2,"before 2000"
"209599","S45686479",2,"before 2000"
"209622","S45727541",5,"before 2000"
"212234","S45666148",6,"before 2000"
"214158","S45693281",7,"before 2000"
"203757","S45667092",7,"before 2000"
"199194","S45725701",5,"before 2000"
"214805","S45703220",6,"before 2000"
"201806","S45108512",6,"before 2000"
"208953","S45732276",7,"before 2000"
"209605","S45732502",7,"before 2000"
"214801","S45737934",8,"before 2000"
"190122","S45739378",8,"before 2000"
"190772","S45738279",8,"before 2000"
"191417","S45738582",8,"before 2000"
"208954","S45733043",8,"before 2000"
"208305","S45733375",8,"before 2000"
"208949","S45737287",8,"before 2000"
"208301","S45975362",8,"before 2000"
"205703","S45975383",9,"before 2000"
"201147","S45957498",10,"before 2000"
"209600","S45949234",10,"before 2000"
"209602","S45957001",10,"before 2000"
"208950","S45975805",10,"before 2000"
"208950","S45949476",10,"before 2000"
"209600","S45957747",11,"before 2000"
"209600","S45975847",11,"before 2000"
"208951","S45976070",11,"before 2000"
"208950","S45975886",11,"before 2000"
"210275","S46002054",12,"before 2000"
"208950","S46002266",12,"before 2000"
"208950","S46002938",12,"before 2000"
"206358","S45758042",1,"before 2000"
"208311","S46004738",1,"before 2000"
"208955","S45758165",1,"before 2000"
"208950","S46005407",1,"before 2000"
"209600","S46014443",1,"before 2000"
"209600","S46060946",2,"before 2000"
"209600","S46016721",2,"before 2000"
"209600","S46027916",2,"before 2000"
"215468","S46029089",3,"before 2000"
"214813","S46028576",3,"before 2000"
"214166","S46030429",3,"before 2000"
"216753","S46031513",3,"before 2000"
"221310","S46031934",3,"before 2000"
"217403","S46031650",3,"before 2000"
"218707","S46031768",3,"before 2000"
"210903","S46030983",3,"before 2000"
"209599","S46042738",6,"before 2000"
"208951","S46113002",7,"before 2000"
"209600","S46058394",7,"before 2000"
"209600","S46058307",7,"before 2000"
"208950","S46061208",7,"before 2000"
"209600","S46089411",7,"before 2000"
"209600","S46113687",8,"before 2000"
"208949","S46211357",8,"before 2000"
"209600","S46114623",8,"before 2000"
"209600","S46113202",8,"before 2000"
"209600","S46113417",8,"before 2000"
"208949","S46091834",8,"before 2000"
"209600","S46115282",8,"before 2000"
"209600","S46115871",9,"before 2000"
"209600","S46116172",9,"before 2000"
"203100","S46122322",11,"before 2000"
"208292","S46122408",11,"before 2000"
"211554","S46122451",11,"before 2000"
"208312","S46124098",12,"before 2000"
"211555","S46123233",12,"before 2000"
"211555","S46123208",12,"before 2000"
"211554","S46123102",12,"before 2000"
"212205","S46123170",12,"before 2000"
"211555","S46123136",12,"before 2000"
"208953","S46124218",12,"before 2000"
"186198","S46152163",1,"before 2000"
"192698","S46151697",1,"before 2000"
"222586","S46151299",1,"before 2000"
"209600","S46152245",1,"before 2000"
"208953","S46151465",1,"before 2000"
"210921","S46153497",2,"before 2000"
"208312","S46154338",2,"before 2000"
"208953","S46154239",2,"before 2000"
"214150","S46154781",3,"before 2000"
"208962","S46177576",6,"2000-2006"
"208953","S46177513",6,"2000-2006"
"214806","S46187640",7,"2000-2006"
"214155","S46188018",7,"2000-2006"
"214807","S46188169",7,"2000-2006"
"211555","S46185246",7,"2000-2006"
"212205","S46185371",7,"2000-2006"
"212205","S46186433",7,"2000-2006"
"208953","S46179661",7,"2000-2006"
"208311","S46190243",8,"2000-2006"
"209603","S46189494",8,"2000-2006"
"208308","S46191204",8,"2000-2006"
"209600","S46190547",8,"2000-2006"
"208950","S46202890",8,"2000-2006"
"209600","S46202835",8,"2000-2006"
"198544","S46203480",9,"2000-2006"
"209600","S46202949",9,"2000-2006"
"209600","S46203053",9,"2000-2006"
"209600","S46215099",10,"2000-2006"
"207654","S46214375",10,"2000-2006"
"209600","S46204023",10,"2000-2006"
"209600","S46214868",10,"2000-2006"
"209600","S46222077",3,"2000-2006"
"211554","S32163943",12,"2000-2006"
"211554","S32163923",1,"2000-2006"
"182304","S33980293",5,"2000-2006"
"179701","S33980329",5,"2000-2006"
"175805","S33980407",5,"2000-2006"
"212863","S33980492",5,"2000-2006"
"215452","S34006024",6,"2000-2006"
"221311","S34006055",6,"2000-2006"
"192715","S34006193",6,"2000-2006"
"209614","S33981601",6,"2000-2006"
"209615","S33981731",6,"2000-2006"
