"LOCALITY.ID","group.id","month","timegroups"
"L4483522","S28922880",12,"before 2000"
"L4485993","S28939829",12,"before 2000"
"L7254868","S44772669",1,"before 2000"
"L7252492","S44758620",1,"before 2000"
"L7255438","S44775394",2,"before 2000"
"L7261589","S44811780",2,"before 2000"
"L7261853","S44813326",3,"before 2000"
"L7269451","S44857240",10,"before 2000"
"L7269986","S44861335",11,"before 2000"
"L7270840","S44867550",12,"before 2000"
"L7275680","S44898843",12,"before 2000"
"L7284906","S44956619",12,"before 2000"
"L7275427","S44897553",2,"before 2000"
"L7286836","S44967657",3,"before 2000"
"L7291536","S44995678",5,"before 2000"
"L7291634","S44996147",6,"before 2000"
"L7291652","S44996313",6,"before 2000"
"L7294559","S45014394",8,"before 2000"
"L7294616","S45014681",9,"before 2000"
"L7294567","S45014471",9,"before 2000"
"L7294611","S45014629",9,"before 2000"
"L7294646","S45014757",10,"before 2000"
"L7294675","S45014915",10,"before 2000"
"L7294632","S45014713",10,"before 2000"
"L7295123","S45017194",11,"before 2000"
"L7295455","S45019014",11,"before 2000"
"L7294733","S45015201",11,"before 2000"
"L7295431","S45018695",11,"before 2000"
"L7295678","S45020289",12,"before 2000"
"L7296112","S45022880",12,"before 2000"
"L7296569","S45024393",1,"before 2000"
"L7296320","S45023129",1,"before 2000"
"L7296457","S45023795",1,"before 2000"
"L7296500","S45024076",1,"before 2000"
"L7296375","S45023556",1,"before 2000"
"L7298215","S45033773",2,"before 2000"
"L7298305","S45034132",2,"before 2000"
"L7298170","S45033405",2,"before 2000"
"L7298359","S45034454",2,"before 2000"
"L4459151","S28764601",3,"before 2000"
"L2652088","S28750492",3,"before 2000"
"L3854849","S28923106",3,"before 2000"
"L7301698","S45054880",3,"before 2000"
"L7301662","S45054619",3,"before 2000"
"L7301712","S45054979",3,"before 2000"
"L4456033","S28745564",3,"before 2000"
"L4456082","S28746168",3,"before 2000"
"L7301752","S45055112",3,"before 2000"
"L7298442","S45035164",3,"before 2000"
"L4485993","S28940027",3,"before 2000"
"L7301761","S45055145",3,"before 2000"
"L7301778","S45055267",4,"before 2000"
"L7301813","S45055396",4,"before 2000"
"L7301805","S45055351",5,"before 2000"
"L7407469","S45671253",5,"before 2000"
"L7408426","S45673075",5,"before 2000"
"L7408011","S45672140",5,"before 2000"
"L7408395","S45672722",5,"before 2000"
"L7408472","S45673462",6,"before 2000"
"L7309936","S45107707",6,"before 2000"
"L7309900","S45107504",6,"before 2000"
"L7310098","S45108746",7,"before 2000"
"L7302691","S45060810",7,"before 2000"
"L7310174","S45109395",7,"before 2000"
"L7310157","S45109164",7,"before 2000"
"L7310364","S45110574",8,"before 2000"
"L7310334","S45110355",8,"before 2000"
"L7302800","S45061367",8,"before 2000"
"L7310471","S45111332",8,"before 2000"
"L7302883","S45061868",9,"before 2000"
"L7302939","S45062258",10,"before 2000"
"L7313355","S45130482",10,"before 2000"
"L7313400","S45130675",10,"before 2000"
"L7303008","S45062692",11,"before 2000"
"L7314618","S45138352",11,"before 2000"
"L7314416","S45136932",11,"before 2000"
"L7408627","S45675089",12,"before 2000"
"L7410663","S45686033",1,"before 2000"
"L7410700","S45686304",1,"before 2000"
"L7410756","S45686819",2,"before 2000"
"L7410722","S45686479",2,"before 2000"
"L7416666","S45727541",5,"before 2000"
"L7406721","S45666148",6,"before 2000"
"L7411683","S45693281",7,"before 2000"
"L7406891","S45667092",7,"before 2000"
"L7416427","S45725701",5,"before 2000"
"L7413038","S45703220",6,"before 2000"
"L7310038","S45108512",6,"before 2000"
"L7417332","S45732276",7,"before 2000"
"L7417373","S45732502",7,"before 2000"
"L7418208","S45737934",8,"before 2000"
"L7418458","S45739378",8,"before 2000"
"L7418257","S45738279",8,"before 2000"
"L7418336","S45738582",8,"before 2000"
"L7417455","S45733043",8,"before 2000"
"L7417502","S45733375",8,"before 2000"
