"gridg0","group.id","month","timegroups"
"193159","S27194033",7,"2011-2012"
"194458","S37903906",1,"2011-2012"
"193159","S28264152",3,"2015"
"194458","S74441977",4,"2016"
"194459","S39187890",8,"2017"
"193159","G2860789",9,"2017"
"193809","S39970421",10,"2017"
"194458","S39970408",10,"2017"
"194459","S39970436",10,"2017"
"193159","G7057812",12,"2017"
"193159","G7057809",1,"2017"
"193159","S41606076",1,"2017"
"193159","S41606101",1,"2017"
"195107","S46536629",3,"2017"
"195108","S46535958",3,"2017"
"194459","S46315363",6,"2018"
"194459","S46492349",6,"2018"
"194458","S46541698",6,"2018"
"194458","S46540956",6,"2018"
"194458","S46515273",6,"2018"
"194459","S53078336",2,"2018"
"195109","S69023165",6,"2019"
"195107","S308659404",9,"2019"
"194459","S60865473",10,"2019"
"193809","S62261147",12,"2019"
"194459","S62953217",1,"2019"
"193809","S63797447",1,"2019"
"193809","S63410494",1,"2019"
"195107","S64489215",2,"2019"
"193809","S68581929",5,"2019"
"195109","S69546183",5,"2019"
"193809","S69354189",5,"2019"
"194459","S69998083",5,"2019"
"195107","S70113613",6,"2020"
"194459","S70113874",6,"2020"
"193809","S70411534",6,"2020"
"194458","S72830866",7,"2020"
"194459","S71341508",7,"2020"
"194458","G7057757",8,"2020"
"194458","S72831535",8,"2020"
"195107","S72831635",8,"2020"
"194458","S72831424",8,"2020"
"193809","G7057755",8,"2020"
"195107","S74234074",8,"2020"
"195107","S143010542",8,"2020"
"193808","G7057742",9,"2020"
"193808","G7057750",9,"2020"
"195107","G7057752",9,"2020"
"194458","G7057740",9,"2020"
"195107","S74233997",9,"2020"
"193808","S73580400",9,"2020"
"193159","G7057720",10,"2020"
"193159","S75812381",10,"2020"
"194459","G7057707",11,"2020"
"194459","S76273448",11,"2020"
"194459","G7057712",11,"2020"
"194459","G7057714",11,"2020"
"193159","S76832315",11,"2020"
"193159","G7057718",11,"2020"
"194459","S77716607",12,"2020"
"193809","G7057693",12,"2020"
"193809","G7057698",12,"2020"
"194459","G7057697",12,"2020"
"193809","G7057695",12,"2020"
"193159","G7057696",12,"2020"
"195110","G7057682",1,"2020"
"193809","G7057681",1,"2020"
"193809","G7057660",1,"2020"
"193809","G7057685",1,"2020"
"193809","S119412335",1,"2020"
"193809","G7057679",2,"2020"
"195110","S84440547",2,"2020"
"193809","G7057675",3,"2020"
"193809","G7057676",3,"2020"
"193809","G7057661",3,"2020"
"193809","G7057677",3,"2020"
"193809","G7057673",3,"2020"
"193809","G7057671",4,"2020"
"193809","G7057669",4,"2020"
"193809","G7057658",5,"2020"
"193809","G7057668",5,"2020"
"193809","G7057667",5,"2020"
"193809","G7057647",6,"2021"
"193809","S90097524",6,"2021"
"193809","S90357278",6,"2021"
"194458","G7057652",6,"2021"
"193809","G7057641",6,"2021"
"193809","G7057635",7,"2021"
"193809","G7057643",7,"2021"
"193809","G7057646",7,"2021"
"194459","S92605579",8,"2021"
"193808","G7077062",8,"2021"
"193809","S94038469",8,"2021"
"194459","S94695051",9,"2021"
"193809","S96585598",10,"2021"
"195109","S121894247",10,"2021"
"193808","S96101747",10,"2021"
"193809","S119499376",10,"2021"
"193159","G7333268",10,"2021"
"193809","S97913172",11,"2021"
"195107","S143011720",11,"2021"
"192510","S99550163",12,"2021"
"193809","G7837790",12,"2021"
"193809","S100924566",1,"2021"
"193809","G7837791",2,"2021"
"193809","S103140400",2,"2021"
"193809","S103140610",2,"2021"
"193809","S102957739",2,"2021"
"194458","S102834236",2,"2021"
"193809","S103140504",2,"2021"
"193809","S102555931",2,"2021"
"193809","S103140351",2,"2021"
"195107","S103325958",2,"2021"
"193809","S102741965",2,"2021"
"193159","S105278552",3,"2021"
"194459","S107011881",4,"2021"
"193809","G8285273",4,"2021"
"195108","S108347570",4,"2021"
"193809","S109626590",5,"2021"
"193809","G8285274",5,"2021"
"193809","G8285270",5,"2021"
"195107","S143013148",6,"2022"
"194459","S150421691",7,"2022"
"195107","G8768383",7,"2022"
"195107","S143013920",7,"2022"
"195107","S143014062",7,"2022"
"193808","S117748612",8,"2022"
"193809","S117840917",8,"2022"
"194458","S117748641",8,"2022"
"193808","S116537088",8,"2022"
"193808","S117374816",8,"2022"
"193808","S117374875",8,"2022"
"193808","S117374618",8,"2022"
"193159","S117312354",8,"2022"
"193808","G8947319",9,"2022"
"195108","S118713267",9,"2022"
"195107","S118715707",9,"2022"
"195108","S118708817",9,"2022"
"193808","G9473387",10,"2022"
"193809","G9120529",10,"2022"
"193159","S120983590",10,"2022"
"195110","S120578655",10,"2022"
"193809","S120299912",10,"2022"
"194458","S120435911",10,"2022"
"194459","S120435931",10,"2022"
"195110","S120705295",10,"2022"
"193809","S123626002",10,"2022"
"193809","S122106739",11,"2022"
"193809","G10130675",1,"2022"
"193159","S125436634",1,"2022"
"193809","S129751287",2,"2022"
"195107","S128495116",2,"2022"
"195107","S143015167",2,"2022"
"195107","S143019351",4,"2022"
"193809","S135800266",5,"2022"
"195107","S139550122",5,"2022"
"195107","S138218724",5,"2022"
"195107","S139702764",5,"2022"
"194459","S144688151",6,"2023"
"195110","S142165729",6,"2023"
"194459","S144419611",6,"2023"
"195108","S144420048",7,"2023"
"195108","S322766903",7,"2023"
"195108","S145466870",7,"2023"
"195107","S145641780",7,"2023"
"194459","S145793169",7,"2023"
"195108","S144419964",7,"2023"
"195107","S143640867",7,"2023"
"193159","S144580753",7,"2023"
"194458","S144419899",7,"2023"
"195108","S146080895",7,"2023"
"195108","S145468638",7,"2023"
"195107","S145188588",7,"2023"
"195107","S144984150",7,"2023"
"195110","S143783838",7,"2023"
"195110","S147223403",8,"2023"
"193808","S147976140",8,"2023"
"194457","G10750988",8,"2023"
"195107","S148282356",8,"2023"
"194459","G10742843",8,"2023"
"195107","S148316697",8,"2023"
"195107","S146956168",8,"2023"
"195108","S146955871",8,"2023"
"195107","S146613877",8,"2023"
"195110","G10838450",9,"2023"
"193808","G10874178",9,"2023"
"193158","G10797236",9,"2023"
"195110","G10786375",9,"2023"
"195110","G10808745",9,"2023"
"195107","S148935187",9,"2023"
"194457","S148966065",9,"2023"
