"gridg0","group.id","month","timegroups"
"201563","S33577130",1,"2000-2006"
"201562","S60476833",2,"2007-2010"
"201563","S49907104",1,"2007-2010"
"201563","S49945554",1,"2007-2010"
"201563","S49945481",1,"2007-2010"
"201563","S49945579",1,"2007-2010"
"201563","S49945742",1,"2007-2010"
"201563","S49907489",1,"2007-2010"
"201563","S49945809",1,"2007-2010"
"201563","S49907244",1,"2007-2010"
"201563","S49945823",1,"2007-2010"
"201562","S49907072",1,"2007-2010"
"201563","S49945758",1,"2007-2010"
"201563","S49945451",1,"2007-2010"
"201563","S157465767",1,"2007-2010"
"201562","S116432665",1,"2011-2012"
"201563","S27919878",9,"2014"
"196404","S47436846",10,"2014"
"201561","S22063505",2,"2014"
"201563","S143706416",2,"2014"
"201562","S22076515",2,"2014"
"201563","S143705269",2,"2014"
"201563","S143704191",2,"2014"
"201563","S143668466",2,"2014"
"201560","S22076407",2,"2014"
"201563","S29001103",4,"2015"
"201563","S29001464",4,"2015"
"201562","G1892809",8,"2016"
"201562","S33055078",11,"2016"
"201562","G1892808",8,"2016"
"201563","S29000893",3,"2015"
"201563","S29001645",4,"2015"
"201563","G1892807",8,"2016"
"197704","S31993152",10,"2016"
"201562","G3024532",12,"2017"
"196404","S39525708",10,"2017"
"197704","S39984129",10,"2017"
"201562","S268708315",12,"2017"
"196405","G2860782",10,"2017"
"197704","S41341046",6,"2017"
"201562","S49554786",10,"2018"
"201562","S46053168",5,"2017"
"201562","S49035708",10,"2018"
"200912","S49554825",10,"2018"
"200911","S85100472",3,"2017"
"201563","S49559034",10,"2018"
"200911","S50937575",12,"2018"
"200911","S49577787",10,"2018"
"201563","S49593263",11,"2018"
"201563","S49538045",10,"2018"
"201562","S155491767",4,"2017"
"201563","S155491120",4,"2017"
"201563","S85100726",3,"2017"
"201563","S44109186",3,"2017"
"197704","S199089757",10,"2018"
"201563","S85098199",3,"2017"
"201563","S85095313",3,"2017"
"200912","S85097214",3,"2017"
"200912","S85096375",3,"2017"
"200911","G10389667",11,"2019"
"197054","S211220021",12,"2019"
"201562","S54473031",4,"2018"
"201562","S137623349",3,"2018"
"201561","G10389670",11,"2019"
"201563","S54472979",3,"2018"
"197054","S62283965",12,"2019"
"196404","S62260135",12,"2019"
"197054","S62258851",12,"2019"
"201563","S52161648",1,"2018"
"196404","S75180985",10,"2020"
"197704","S77010420",12,"2020"
"201562","S81283030",2,"2020"
"201560","S82480165",2,"2020"
"201562","S82611208",3,"2020"
"197704","S79958136",1,"2020"
"196404","S79958317",1,"2020"
"201562","S81282807",2,"2020"
"201562","S159116164",10,"2021"
"197704","S90025410",6,"2021"
"197704","S96630105",10,"2021"
"197704","S96630115",10,"2021"
"201562","S95252578",9,"2021"
"197704","S100241939",12,"2021"
"201562","S82409198",2,"2020"
"201563","S81057485",2,"2020"
"200912","S159116245",10,"2021"
"201562","S98317953",11,"2021"
"201562","G9264531",12,"2022"
"201562","G7919212",2,"2021"
"201563","G7919286",2,"2021"
"201562","S121394188",10,"2022"
"201563","G11278832",2,"2021"
"197054","S106308983",4,"2021"
"196404","S107158198",4,"2021"
"197054","S105409503",3,"2021"
"197704","S120685137",10,"2022"
"201561","G9264534",12,"2022"
"201563","G9264533",12,"2022"
"201560","G9264529",12,"2022"
"201562","S117138561",8,"2022"
"201563","G9264530",12,"2022"
"197704","S102825279",2,"2021"
"201562","S119129341",9,"2022"
"201562","G13672175",12,"2022"
"201562","S119180539",9,"2022"
"197054","S108007676",4,"2021"
"197055","S107154476",4,"2021"
"197054","S107872193",4,"2021"
"201563","G9206838",11,"2022"
"201563","G9222435",11,"2022"
"201563","S125388987",11,"2022"
"200911","G9264527",12,"2022"
"200911","G9264528",12,"2022"
"201562","S118953149",9,"2022"
"201563","G9222427",11,"2022"
"201563","G9264535",12,"2022"
"201562","G9222149",11,"2022"
"201562","S117192141",8,"2022"
"197054","S106574545",4,"2021"
"201563","G13672180",12,"2022"
"201562","S119069492",9,"2022"
"201563","G9222431",11,"2022"
"201562","S158121030",12,"2023"
"201562","S156280403",12,"2023"
"201562","S129654181",2,"2022"
"201562","S152893147",10,"2023"
"201563","S135247588",4,"2022"
"200911","S150811043",9,"2023"
"197704","S151263784",9,"2023"
"201563","S153379059",10,"2023"
"201563","S153572375",11,"2023"
"201562","S150983812",9,"2023"
"201563","S150809767",9,"2023"
"197054","S151263799",9,"2023"
"201562","S153141838",10,"2023"
"197054","G10119705",4,"2022"
"201561","S141041332",6,"2023"
"197704","S148756046",9,"2023"
"201562","S150993823",9,"2023"
"201562","S129481874",2,"2022"
"201563","S150984942",9,"2023"
"201563","S155221118",11,"2023"
"201563","S150999468",9,"2023"
"200912","S129419776",2,"2022"
"201563","S158121150",12,"2023"
"197704","S148841961",9,"2023"
"197704","S157316577",12,"2023"
"196404","S131508348",2,"2022"
"201562","S140794552",6,"2023"
"200913","S129417260",2,"2022"
"200912","S153571121",11,"2023"
"201561","S150929862",9,"2023"
"201562","S207776929",1,"2023"
"201562","S204023356",11,"2024"
"201562","S204664099",12,"2024"
"201562","S205442464",12,"2024"
"201562","S185385623",7,"2024"
"201562","S185557146",7,"2024"
"201562","S200756008",10,"2024"
"201562","S186269391",7,"2024"
"201562","S185200525",7,"2024"
"201560","S201971085",11,"2024"
"201563","S163850408",3,"2023"
"197054","S203933351",11,"2024"
"197054","S166108564",3,"2023"
"201562","S195532047",9,"2024"
"201562","S204580760",12,"2024"
"201562","S189624815",7,"2024"
"201562","S190619661",8,"2024"
"201562","S192526656",8,"2024"
"201562","S193648824",9,"2024"
"201562","S191256753",8,"2024"
"201562","S186718717",7,"2024"
"201562","S186877860",7,"2024"
"201562","S189359847",7,"2024"
"201562","S204672368",12,"2024"
"201562","S193652726",9,"2024"
"201562","S189862628",8,"2024"
"201562","S186944329",7,"2024"
"201562","S186270191",7,"2024"
"201562","S194601086",9,"2024"
"201562","S190833435",8,"2024"
"201562","S185972781",7,"2024"
"201562","S190397876",8,"2024"
"201562","S193798211",9,"2024"
"201562","S187993133",7,"2024"
"201562","S204673101",12,"2024"
"201562","S190523587",8,"2024"
"201562","S198821171",10,"2024"
"201562","S192527675",8,"2024"
"197054","S191158302",8,"2024"
"201563","S194538535",9,"2024"
"201563","S201964755",11,"2024"
"200912","S197862052",10,"2024"
"201562","S205792250",12,"2024"
"201562","S205873151",12,"2024"
"201561","S205875333",12,"2024"
"201562","S205791332",12,"2024"
"201562","S201968211",11,"2024"
"201561","S201969830",11,"2024"
"201562","S203923187",11,"2024"
"197704","S203544267",11,"2024"
"201560","S204497972",12,"2024"
"201562","S204777016",12,"2024"
"197704","S166281661",3,"2023"
"197704","S161959603",2,"2023"
"197704","S169560764",4,"2023"
"201563","S162958205",2,"2023"
"197704","G11771515",2,"2023"
"201562","S196309234",9,"2024"
"201562","S194217380",9,"2024"
"201562","S189490438",7,"2024"
"201562","S196400987",9,"2024"
"201562","S201451841",11,"2024"
"201562","S191376126",8,"2024"
"201562","S190398988",8,"2024"
"201562","S196317849",9,"2024"
"201562","S204795226",12,"2024"
"201562","S187820406",7,"2024"
"201562","S194209727",9,"2024"
"201562","S192219105",8,"2024"
"201562","S192318210",8,"2024"
"201562","S193580089",9,"2024"
"201562","S194713816",9,"2024"
"201562","S203224690",11,"2024"
"201562","S191491862",8,"2024"
"201562","S196401298",9,"2024"
"201562","S190395534",8,"2024"
"201562","S186880539",7,"2024"
"201562","S190968096",8,"2024"
"201562","S187355346",7,"2024"
