"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",NA,NA,NA,NA,NA,NA
"Lesser Whistling-Duck","Dendrocygna javanica","","","",8,0.375,0.578125,0.375,10.125,5.01673449566548
"Bar-headed Goose","Anser indicus","","","X",6,0.5,0.708333333333333,0.5,11.6666666666667,6.29374009984877
"Graylag Goose","Anser anser","","","",6,0.333333333333333,0.770833333333333,0.666666666666667,11.6666666666667,6.29374009984877
"Greater White-fronted Goose","Anser albifrons","","","",1,NA,1,NA,14,NA
"Lesser White-fronted Goose","Anser erythropus","","","",NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","","","",6,0.5,0.791666666666667,0.666666666666667,12.3333333333333,5.60497556739645
"Ruddy Shelduck","Tadorna ferruginea","","","",7,0.571428571428571,0.607142857142857,0.428571428571429,10.8571428571429,5.55078372844772
"Common Shelduck","Tadorna tadorna","","","",5,0.2,0.28,0.2,13.6,6.15452483949817
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","",6,0.5,0.333333333333333,0.166666666666667,12.3333333333333,5.60497556739645
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","","","",6,0.5,0.541666666666667,0.5,11.6666666666667,6.29374009984877
"Northern Shoveler","Spatula clypeata","","","",6,0.666666666666667,0.791666666666667,0.666666666666667,11.6666666666667,6.29374009984877
