"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1985,"Indian Peafowl","before 2000",0.192661353325266,0.287847736038334,0.412431735464826,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Indian Peafowl","2000-2006",0.120838547924797,0.208705612037015,0.319144841321154,50.2206348779565,71.0076080319715,100.450960910263,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Indian Peafowl","2007-2010",0.120170487766848,0.211175689550108,0.333324248238623,48.5533436856701,73.8997846652574,101.928430651979,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",0.215928488877873,0.325896126041493,0.461759617442691,88.4569239862685,113.213487519699,141.771775869217,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",0.202455984228091,0.309107264455664,0.440911654046721,85.9253068532502,106.37056971319,134.757874506713,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",0.202385208177288,0.299556560929344,0.424584825331758,86.5973762359769,104.191529216146,127.653329568517,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",0.24129761188682,0.350599405491406,0.483368012921808,104.508637755161,121.480626961983,144.781625075004,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Indian Peafowl","2016",0.243637673201161,0.34932663121751,0.480892125833473,104.667881429168,121.308947346367,141.176579468906,100,100,100,NA,NA,NA,100,100,100
2017,"Indian Peafowl","2017",0.219451657484358,0.31829538634796,0.441418766596128,96.4805185350698,110.223582797972,129.872978669592,83.4497153487434,91.2189715012314,98.9880808415275,NA,NA,NA,83.4497153487434,91.2189715012314,98.9880808415275
2018,"Indian Peafowl","2018",0.214442502859435,0.312781566604234,0.432443565120002,92.9967721966119,108.044293412089,126.652966200665,82.1501116625132,89.2753804950601,97.134199467838,NA,NA,NA,82.1501116625132,89.2753804950601,97.134199467838
2019,"Indian Peafowl","2019",0.222669728653808,0.323472012263057,0.447433746518393,97.1943792666821,111.678889991932,130.264370388102,85.7335715644636,92.3705546331616,100.009467698768,NA,NA,NA,85.7335715644636,92.3705546331616,100.009467698768
2020,"Indian Peafowl","2020",0.252316962925338,0.366275078444685,0.495758721151837,109.075287020744,125.965452481546,147.476621297903,97.14123549673,104.122869104672,112.318072700939,NA,NA,NA,97.14123549673,104.122869104672,112.318072700939
2021,"Indian Peafowl","2021",0.208664525491412,0.305334960823188,0.423113791644451,92.2413821356228,105.490353402172,123.007511620492,80.5020541934456,87.5822770502888,94.538583827128,NA,NA,NA,80.5020541934456,87.5822770502888,94.538583827128
2022,"Indian Peafowl","2022",0.233296414993293,0.340100875901957,0.4660907652514,102.146163978493,117.633659517839,137.559889789944,89.8746916355109,97.3422004147323,104.592130711184,NA,NA,NA,89.8746916355109,97.3422004147323,104.592130711184
2023,"Indian Peafowl","2023",0.213433905064304,0.306580132209347,0.42308432727449,92.3304334255043,106.309445431148,123.785195690967,80.9189400045544,87.8639931312038,94.5576760903437,NA,NA,NA,80.9189400045544,87.8639931312038,94.5576760903437
2024,"Indian Peafowl","2024",0.246188535120732,0.351794800212386,0.481641835953333,107.06741503677,122.246086321124,142.822239709846,94.4893895200157,101.059027131839,108.621674380564,NA,NA,NA,94.4893895200157,101.059027131839,108.621674380564
2025,"Indian Peafowl","2025",0.2519822220987,0.358538161334996,0.485466623856736,107.788523937208,123.622036062417,144.014295947158,96.0968764813882,102.288342855152,109.793158419715,NA,NA,NA,96.0968764813882,102.288342855152,109.793158419715
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,88.7653924333805,97.7319576117145,107.633175045697,88.7653924333805,97.7319576117145,107.633175045697
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,87.992702196918,98.1949116906143,109.717943857084,87.992702196918,98.1949116906143,109.717943857084
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,87.1699084608001,98.6613791704752,111.961681061686,87.1699084608001,98.6613791704752,111.961681061686
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,86.3262213952371,99.1485206515711,114.201415727663,86.3262213952371,99.1485206515711,114.201415727663
2030,"Indian Peafowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,85.4933455839432,99.6948791944703,116.523466802388,85.4933455839432,99.6948791944703,116.523466802388
2031,"Indian Peafowl","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,84.652873356742,100.132854014478,118.92263925422,84.652873356742,100.132854014478,118.92263925422
2032,"Indian Peafowl","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,83.749448476587,100.62575045796,121.36039798869,83.749448476587,100.62575045796,121.36039798869
2033,"Indian Peafowl","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,82.8685761049432,101.089241011436,123.809971529762,82.8685761049432,101.089241011436,123.809971529762
1985,"Black Francolin","before 2000",0.00695892662920326,0.0112442945089753,0.0166707429268707,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Black Francolin","2000-2006",0.00094046937860863,0.00365379335249134,0.0101112188834938,6.97732056908523,32.148344358611,98.7809008793367,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,"Black Francolin","2007-2010",0.00248387123105674,0.00698252121270719,0.0162866852045057,19.2698416564469,62.1758973803858,162.176001979581,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Black Francolin","2011-2012",0.00104283708699819,0.00371450229017602,0.00806511629089028,10.0588246707605,32.7341554652011,79.4176179484945,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Black Francolin","2013",0.00104624441433327,0.0047641499473355,0.0122082590045634,8.70882444837649,42.5710053609628,124.425256083492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Black Francolin","2014",0.00138570197819711,0.00413140272386445,0.00801397953297925,11.3498888031099,37.1442238427039,81.1725054939919,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Black Francolin","2015",0.00479699193394625,0.00743471728041818,0.0108855516068161,38.0703762175746,67.0905539162895,117.736212634999,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Black Francolin","2016",0.00422666186228128,0.0060423679059991,0.00813382536632037,32.7481923288058,53.7646841203533,93.536968585672,100,100,100,NA,NA,NA,100,100,100
2017,"Black Francolin","2017",0.00374652387487787,0.0057359780193048,0.00789893949933281,29.8106064196537,51.0546482639333,87.329273495582,57.793273588024,94.6015150550067,151.038155587038,NA,NA,NA,57.793273588024,94.6015150550067,151.038155587038
2018,"Black Francolin","2018",0.00808227158094618,0.0112518106904293,0.0146551928734547,61.7020125418217,99.4594702250366,167.856891544296,123.914230007116,184.412438905359,276.721544412942,NA,NA,NA,123.914230007116,184.412438905359,276.721544412942
2019,"Black Francolin","2019",0.00694284170828811,0.0101183614640708,0.013713019332998,53.6387801598533,91.0761269984167,155.895510606507,107.2794074068,167.418970724379,260.405244033827,NA,NA,NA,107.2794074068,167.418970724379,260.405244033827
2020,"Black Francolin","2020",0.0023690533847043,0.00448150390392001,0.00715237951491767,18.5109850192099,40.3712138919285,75.6260451910685,37.9321489089128,74.7979900318975,129.276982831272,NA,NA,NA,37.9321489089128,74.7979900318975,129.276982831272
2021,"Black Francolin","2021",0.00283925272251533,0.00475985945538645,0.00729557018290224,22.4427001101118,42.2694355365304,78.70179613699,44.2684141519531,78.4266220951773,135.695445516351,NA,NA,NA,44.2684141519531,78.4266220951773,135.695445516351
2022,"Black Francolin","2022",0.0017848048543399,0.00318564112612033,0.00509884626638642,13.7388168863303,28.414448322711,53.4005823658612,27.4803392624048,52.5139896632339,92.4843839578078,NA,NA,NA,27.4803392624048,52.5139896632339,92.4843839578078
