"LOCALITY.ID","group.id","month","timegroups"
"L2666166","S71228672",12,"2000-2006"
"L3025563","S19464646",10,"2000-2006"
"L3035057","S19463016",11,"2000-2006"
"L3035057","S64604669",2,"2000-2006"
"L38255072","S203626735",2,"2000-2006"
"L38268291","S203688556",2,"2000-2006"
"L38268329","S203688731",2,"2000-2006"
"L6240682","S71222496",8,"2000-2006"
"L6240682","S71221675",7,"2000-2006"
"L6619799","S41465528",2,"2000-2006"
"L6619799","S41375152",1,"2000-2006"
"L7213949","S118229237",4,"2000-2006"
"L16511928","S20735622",2,"2000-2006"
"L17268037","S99780687",3,"2000-2006"
"L1880567","S71317125",6,"2000-2006"
"L2476142","S120826396",12,"2000-2006"
"L2666166","S19464716",1,"2000-2006"
"L2900901","S120826327",12,"2000-2006"
"L3030313","S19462907",4,"2000-2006"
"L3035223","G1951391",4,"2000-2006"
"L39392548","S209110367",2,"2000-2006"
"L4484480","G6329100",11,"2000-2006"
"L4561340","S120826178",12,"2000-2006"
"L6240682","S71230845",1,"2000-2006"
"L6240682","S71340452",10,"2000-2006"
"L6240682","S71317833",7,"2000-2006"
"L7213949","S254177327",2,"2000-2006"
"L14891266","S97652479",1,"2000-2006"
"L1671530","S134438639",3,"2000-2006"
"L1671530","S134439507",3,"2000-2006"
"L1882596","S33881292",9,"2000-2006"
"L2040822","S99625655",12,"2000-2006"
"L23599028","S134245575",3,"2000-2006"
"L23599028","S133782416",2,"2000-2006"
"L28248480","S156158871",2,"2000-2006"
"L3035233","S33696518",1,"2000-2006"
"L5136205","S33613010",9,"2000-2006"
"L5285998","S33832508",2,"2000-2006"
"L5410231","S64745893",9,"2000-2006"
"L6240682","S71384109",2,"2000-2006"
"L6240682","S71390365",2,"2000-2006"
"L9562610","S57819667",10,"2000-2006"
"L13397621","S79929632",12,"2000-2006"
"L1671530","G2750279",2,"2000-2006"
"L2040822","S104349088",7,"2000-2006"
"L2040822","S104349312",6,"2000-2006"
"L2040822","S34200142",11,"2000-2006"
"L2476142","S60381708",11,"2000-2006"
"L2666166","S79937840",12,"2000-2006"
"L3035057","S79941008",12,"2000-2006"
"L3035057","S79937570",12,"2000-2006"
"L3464334","S60517055",12,"2000-2006"
"L3844302","S52904578",11,"2000-2006"
"L39366292","G13787880",3,"2000-2006"
"L4146516","S55052442",2,"2000-2006"
"L4146516","S64749379",2,"2000-2006"
"L4198174","S79929825",12,"2000-2006"
"L4387579","S79930135",12,"2000-2006"
"L4819038","S104788307",6,"2000-2006"
"L5906291","G2750278",2,"2000-2006"
"L6481558","S40563842",11,"2000-2006"
"L6506650","S64766870",4,"2000-2006"
"L8607507","S52680358",12,"2000-2006"
"L11122477","S66922281",3,"2000-2006"
"L11299248","S68180346",12,"2000-2006"
"L13397621","S79954236",12,"2000-2006"
"L16511928","S12927962",12,"2000-2006"
"L2040822","S100592979",4,"2000-2006"
"L2040822","S100160481",4,"2000-2006"
"L2040822","S100593118",4,"2000-2006"
"L22577488","S55992054",2,"2000-2006"
"L2265071","S193263264",5,"2000-2006"
"L2265071","S193262538",4,"2000-2006"
"L2527837","S103587358",8,"2000-2006"
"L2666166","S33162056",2,"2000-2006"
"L3035057","S79954121",12,"2000-2006"
"L4041142","S39926687",3,"2000-2006"
"L4041142","S39926569",2,"2000-2006"
"L4041142","S39926717",7,"2000-2006"
"L4041142","S39926932",12,"2000-2006"
"L4484480","S103587754",8,"2000-2006"
"L4829337","S30959674",6,"2000-2006"
"L5220205","S33434317",2,"2000-2006"
"L5395026","S103588029",8,"2000-2006"
"L6428314","S40226209",1,"2000-2006"
"L8166530","S103589544",8,"2000-2006"
"L5902554","S37232863",5,"2000-2006"
"L26136279","G12848589",11,"2007-2010"
"L2527880","S37802135",1,"2000-2006"
"L1089474","S148333634",9,"2007-2010"
"L16511928","S80005839",1,"2000-2006"
"L2265071","S170295852",11,"2007-2010"
"L1671530","S79961088",12,"2007-2010"
"L16511928","S50163596",4,"2000-2006"
"L2346264","S15105505",6,"2007-2010"
"L4484480","S36081129",1,"2000-2006"
"L2476142","S213135069",9,"2007-2010"
"L5178707","S33201692",8,"2007-2010"
"L16511928","S266664489",3,"2000-2006"
"L3148814","S37803080",1,"2000-2006"
"L4484480","S36158331",2,"2000-2006"
"L6019540","S37803646",1,"2000-2006"
"L2527837","S266663847",3,"2000-2006"
"L11006653","S66081807",1,"2000-2006"
"L1089474","S72565198",2,"2000-2006"
"L2040822","S37803480",1,"2000-2006"
"L2527837","S203573109",2,"2000-2006"
"L2527837","S37802962",1,"2000-2006"
"L2265071","S250509862",10,"2007-2010"
"L20449116","S116454043",11,"2007-2010"
"L2040822","S170981961",11,"2007-2010"
"L14308923","S84835308",3,"2000-2006"
"L2527837","S250509864",10,"2007-2010"
"L20447593","S116447781",11,"2007-2010"
"L10843117","S64949089",4,"2000-2006"
"L2527880","S250509866",10,"2007-2010"
"L4484480","S250506448",10,"2007-2010"
"L2265071","S187476787",12,"2007-2010"
"L2040822","G7644215",4,"2007-2010"
"L3334320","S131656110",12,"2007-2010"
"L10300404","S99628027",2,"2007-2010"
"L2040822","S66946617",10,"2007-2010"
"L2265071","S63650785",12,"2007-2010"
"L3148814","G5545623",2,"2007-2010"
"L4106177","S26528417",2,"2007-2010"
"L3173861","G1787498",12,"2007-2010"
"L5391570","S64400298",12,"2007-2010"
"L1116651","S7869559",4,"2007-2010"
"L4819038","S65706347",4,"2007-2010"
"L16511928","G5545622",1,"2007-2010"
"L33134218","S180600435",11,"2007-2010"
"L2527837","S64380297",11,"2007-2010"
"L11097964","S67629485",3,"2007-2010"
"L3174359","G1787506",12,"2007-2010"
"L2476142","S37996476",7,"2007-2010"
"L1671530","S80636944",1,"2007-2010"
"L3444554","S43141605",12,"2007-2010"
"L1253084","G290447",11,"2007-2010"
"L1253072","G290443",11,"2007-2010"
"L2476142","S76272361",1,"2007-2010"
"L18099126","S104720199",8,"2007-2010"
"L6240682","S248400044",12,"2007-2010"
"L4819038","S55154756",12,"2007-2010"
"L2265071","S62193600",3,"2007-2010"
"L1253078","G290444",11,"2007-2010"
"L2399660","G717660",3,"2007-2010"
"L1253083","G290446",11,"2007-2010"
"L16511928","S61982164",4,"2007-2010"
"L2265071","S61982022",4,"2007-2010"
"L2265071","S61981756",4,"2007-2010"
"L23160544","S131490101",11,"2007-2010"
"L2265071","G717661",3,"2007-2010"
"L16511928","S131444731",8,"2007-2010"
"L16511928","S43142011",12,"2007-2010"
"L2476142","S131487495",11,"2007-2010"
"L2040822","S69473092",2,"2007-2010"
"L5395026","G13633579",1,"2007-2010"
"L10532163","S63650863",2,"2007-2010"
"L2527837","S75167600",2,"2007-2010"
"L12734289","S76272156",1,"2007-2010"
"L4819038","S55154794",12,"2007-2010"
"L5788033","S52934600",4,"2007-2010"
"L4819038","S55154809",12,"2007-2010"
"L4819038","S55154724",12,"2007-2010"
"L4819038","S69473457",2,"2007-2010"
"L23160544","S131489535",11,"2007-2010"
"L2040822","S48999278",1,"2007-2010"
"L9824329","S59174909",1,"2007-2010"
"L6240682","S248410833",1,"2007-2010"
"L2627767","G1017376",8,"2007-2010"
"L8644324","S248418424",3,"2007-2010"
"L3035233","G3832693",12,"2007-2010"
"L2265071","S78190570",7,"2007-2010"
"L6782044","S248403890",1,"2007-2010"
"L1671530","S42121665",7,"2007-2010"
"L1089474","S7589776",2,"2007-2010"
"L2040822","S30818720",3,"2007-2010"
"L2627767","S42939149",8,"2007-2010"
"L6240682","S272680975",11,"2007-2010"
"L2666166","S36826407",6,"2007-2010"
"L13072140","S78190597",7,"2007-2010"
