"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
1997,"Indian Peafowl","before 2000",0.0446489007252739,0.0702830100753693,0.100302066255833,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Indian Peafowl","2000-2006",0.0588831470058831,0.0789079366803917,0.106178142416192,72.8976728031105,111.925460045753,180.534405366374,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Indian Peafowl","2007-2010",0.0734246900570352,0.105049559767376,0.14193598221932,96.8566865317219,149.392016010648,249.40287317205,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",0.146683828453384,0.195107049942567,0.244952865715128,184.843368929236,275.396061953912,442.298063353072,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",0.134888360916073,0.183206240932828,0.230268256103826,167.67327757708,255.769603991791,403.895926849051,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",0.176414620819311,0.209918740899518,0.247058462163012,210.492721735674,297.948073853357,461.517518657471,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",0.183423733168619,0.217230592665908,0.253383820194626,220.753024051131,306.344682550718,480.467359258043,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Indian Peafowl","2016",0.146443716454996,0.175897960198073,0.20277969611834,176.137649222413,247.207391786618,382.405266433809,100,100,100,NA,NA,NA,100,100,100
2017,"Indian Peafowl","2017",0.169000619815614,0.201014148836099,0.232684283570506,202.209261925153,284.048114382882,445.852428207546,101.733202298298,114.09997328071,128.226841033087,NA,NA,NA,101.733202298298,114.09997328071,128.226841033087
2018,"Indian Peafowl","2018",0.185692869948766,0.218580987292978,0.25478312530649,220.334829322162,308.85058025827,488.0538173306,109.93594379858,124.874065706918,141.130782597266,NA,NA,NA,109.93594379858,124.874065706918,141.130782597266
2019,"Indian Peafowl","2019",0.174043065245866,0.206432156546112,0.241279277455836,207.511883493798,291.884479597654,451.743217966228,103.603343670326,118.000986746748,134.525502014371,NA,NA,NA,103.603343670326,118.000986746748,134.525502014371
2020,"Indian Peafowl","2020",0.201119741060582,0.241968289863976,0.279339202052318,242.954300769214,341.076082523051,533.96314932267,121.648872166873,137.317087163144,156.386036791926,NA,NA,NA,121.648872166873,137.317087163144,156.386036791926
2021,"Indian Peafowl","2021",0.207551109403709,0.243802394831658,0.282942647909763,241.829571414942,343.271296833543,540.958310254667,123.87026740012,138.431528121363,155.511889350196,NA,NA,NA,123.87026740012,138.431528121363,155.511889350196
2022,"Indian Peafowl","2022",0.20951697974668,0.244857847212836,0.279332782795914,247.246202681936,343.251722607942,542.325243675996,125.301757067755,139.359121079073,156.156362799903,NA,NA,NA,125.301757067755,139.359121079073,156.156362799903
2023,"Indian Peafowl","2023",0.27863241448031,0.315573154773601,0.357696823556179,317.601207729826,447.464576814609,691.933101564298,163.534021549739,179.799322136418,199.39850570091,NA,NA,NA,163.534021549739,179.799322136418,199.39850570091
2024,"Indian Peafowl","2024",0.214590961125829,0.244807016388244,0.278842351679232,246.106924434305,344.314617106394,535.484977939891,125.754170975048,139.347037649726,155.001373783188,NA,NA,NA,125.754170975048,139.347037649726,155.001373783188
2025,"Indian Peafowl","2025",0.20409687328373,0.233577685017717,0.267065747456113,236.066935941989,329.954061571071,519.107285005721,120.192639048915,133.067519681951,147.824206950607,NA,NA,NA,120.192639048915,133.067519681951,147.824206950607
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,138.303350224491,161.440839084661,188.49717861871,138.303350224491,161.440839084661,188.49717861871
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,140.552316962201,167.573975957388,200.404472555305,140.552316962201,167.573975957388,200.404472555305
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,142.503009008656,174.289008845323,213.013481864358,142.503009008656,174.289008845323,213.013481864358
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,144.594352688335,180.829828455135,226.529018280675,144.594352688335,180.829828455135,226.529018280675
2030,"Indian Peafowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,146.646287220697,187.838623012357,241.04725706292,146.646287220697,187.838623012357,241.04725706292
2031,"Indian Peafowl","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,148.79931734814,195.232519284021,256.558497544096,148.79931734814,195.232519284021,256.558497544096
2032,"Indian Peafowl","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,150.985580704486,202.980303831598,273.157990107867,150.985580704486,202.980303831598,273.157990107867
2033,"Indian Peafowl","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,152.948713621662,210.83567892721,290.682936542529,152.948713621662,210.83567892721,290.682936542529
1997,"Red Spurfowl","before 2000",0.0157016258393269,0.0331545257913951,0.058003274368375,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Red Spurfowl","2000-2006",0.0132989905875114,0.0264202803025857,0.0456588733475935,46.9350436015366,80.4969550512411,146.560366082258,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Red Spurfowl","2007-2010",0.0110295171569663,0.0264040649922866,0.0501610171749231,35.6865701517054,80.079799570865,165.215794765689,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Red Spurfowl","2011-2012",0.0419794017207319,0.0796493332500273,0.133311211204232,150.427529185399,241.110719302092,438.975329761632,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Red Spurfowl","2013",0.0125334689442166,0.0294882775202884,0.0522196786120997,43.9489680542113,87.8240947341136,170.564326296753,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Red Spurfowl","2014",0.034706692285702,0.058674705596958,0.0960403890159975,113.319010624781,177.952748248484,315.389959058223,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Red Spurfowl","2015",0.0199104766738011,0.035390817554421,0.0581032259357396,69.2329147933274,107.142786455694,183.846474467803,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Red Spurfowl","2016",0.011516484078208,0.0210962821751182,0.0345229243190085,40.3806521936414,63.3410168477734,113.445486873647,100,100,100,NA,NA,NA,100,100,100
2017,"Red Spurfowl","2017",0.0196398304563643,0.0355301121251433,0.0563127384937021,70.4910729772814,107.074667165501,192.342286390134,124.859574102704,168.866776245664,232.267103081464,NA,NA,NA,124.859574102704,168.866776245664,232.267103081464
2018,"Red Spurfowl","2018",0.0206796524385045,0.0366512459065458,0.0582257921440859,72.1619254235757,110.619236480099,194.98010137767,122.836907954569,174.872696940706,249.679829618077,NA,NA,NA,122.836907954569,174.872696940706,249.679829618077
2019,"Red Spurfowl","2019",0.0218362507003065,0.0385770411470222,0.062523977098777,73.5584695749342,116.202353736923,211.006185595176,130.185283135088,183.457716477777,260.825892425509,NA,NA,NA,130.185283135088,183.457716477777,260.825892425509
2020,"Red Spurfowl","2020",0.0291955265374631,0.0506453388775084,0.0820145571894286,97.9761072126207,153.699495003966,275.520947593656,177.340759800767,242.017438516001,335.211337679866,NA,NA,NA,177.340759800767,242.017438516001,335.211337679866
2021,"Red Spurfowl","2021",0.0224751101613337,0.0389295836003611,0.0628800975467138,74.2824283698648,116.344696753642,207.733820826052,137.328005555676,183.664446028197,252.984374469513,NA,NA,NA,137.328005555676,183.664446028197,252.984374469513
2022,"Red Spurfowl","2022",0.0235371839329155,0.040091252908673,0.0636402874886938,78.2278626344059,120.562677467881,216.711738992071,144.046278717805,189.984220631823,256.844952662863,NA,NA,NA,144.046278717805,189.984220631823,256.844952662863
2023,"Red Spurfowl","2023",0.0229283822943052,0.0382312150550438,0.0604082230651329,78.8394114904962,117.139774709349,200.412500731371,141.616137009959,182.962246951311,242.026663050979,NA,NA,NA,141.616137009959,182.962246951311,242.026663050979
2024,"Red Spurfowl","2024",0.014535985558617,0.0252981774906,0.0409491599386394,49.3852833165589,76.9069764086555,135.003801977273,90.8243654078254,120.995150136309,161.344711139007,NA,NA,NA,90.8243654078254,120.995150136309,161.344711139007
2025,"Red Spurfowl","2025",0.0151513038571164,0.025677280701901,0.0412686308900847,51.2522058941469,77.4120980083808,134.334276829889,95.4419681384603,122.585452951588,165.7585077223,NA,NA,NA,95.4419681384603,122.585452951588,165.7585077223
2026,"Red Spurfowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,107.971549820677,159.554658084167,237.189161823814,107.971549820677,159.554658084167,237.189161823814
2027,"Red Spurfowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,101.608051014399,158.826149612913,250.17422479339,101.608051014399,158.826149612913,250.17422479339
2028,"Red Spurfowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,95.8976332716781,158.243323394322,264.306515762406,95.8976332716781,158.243323394322,264.306515762406
2029,"Red Spurfowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,90.3243780095206,157.907203591525,279.529551847339,90.3243780095206,157.907203591525,279.529551847339
2030,"Red Spurfowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,84.7006322440035,157.639323261069,296.239509801638,84.7006322440035,157.639323261069,296.239509801638
2031,"Red Spurfowl","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,79.4054429158675,157.291284648051,314.413719991226,79.4054429158675,157.291284648051,314.413719991226
2032,"Red Spurfowl","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,74.5410440429738,157.087940247584,333.685169389599,74.5410440429738,157.087940247584,333.685169389599
2033,"Red Spurfowl","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,69.7598674125384,156.69947154619,354.195664024909,69.7598674125384,156.69947154619,354.195664024909
1997,"Gray Junglefowl","before 2000",0.0159035172097646,0.0492201969234963,0.122439182777994,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Gray Junglefowl","2000-2006",0.0249767863074778,0.0710173325895384,0.165277621709299,100.544968486849,143.163974509377,212.667093185951,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Gray Junglefowl","2007-2010",0.0193042902068991,0.0556351321453893,0.132877096818541,71.1076386667448,113.731431794078,181.835579803792,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Gray Junglefowl","2011-2012",0.0192308486429009,0.0560616085005615,0.135872089322324,71.3657108524784,112.105650944531,176.616703425347,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Gray Junglefowl","2013",0.0175208971547654,0.0509407505579752,0.122943702338232,65.0293267763834,103.57986598375,154.902655681934,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Gray Junglefowl","2014",0.0208267844877675,0.0543837944522561,0.128934929207578,79.0246872172737,110.876452987881,162.144295761006,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Gray Junglefowl","2015",0.0193730730593309,0.0546239399754524,0.128847510958033,78.5378308691041,110.616777208222,159.687391666187,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,"Gray Junglefowl","2016",0.0283451562000897,0.0757435007913958,0.173529765229366,111.422641792309,152.860987314583,218.931929327697,100,100,100,NA,NA,NA,100,100,100
2017,"Gray Junglefowl","2017",0.0228679094903383,0.0608891011055644,0.142383651188174,88.2106614604863,123.653037822936,173.23518761164,67.8320303563579,80.5536133914761,94.8535300705378,NA,NA,NA,67.8320303563579,80.5536133914761,94.8535300705378
2018,"Gray Junglefowl","2018",0.0242018993978361,0.0640474415121261,0.149695616019985,93.9157259153284,129.731638284294,185.553176083018,70.7253679511923,84.3954410117515,101.407062973941,NA,NA,NA,70.7253679511923,84.3954410117515,101.407062973941
2019,"Gray Junglefowl","2019",0.0260931876094323,0.0719282163423079,0.16835149997649,105.716519957076,143.818299387189,206.234063892444,78.3594499807772,94.4459394041703,112.251277700436,NA,NA,NA,78.3594499807772,94.4459394041703,112.251277700436
2020,"Gray Junglefowl","2020",0.0246855723001042,0.0656561604626887,0.154466707809468,96.5579888695982,135.64055579566,198.777801527266,73.3298991361648,88.120624323524,104.641328991498,NA,NA,NA,73.3298991361648,88.120624323524,104.641328991498
2021,"Gray Junglefowl","2021",0.0225154875974577,0.0607827845795666,0.142696352412802,88.9237684363728,122.753169914761,176.055397868899,67.6939663829676,80.2603825768148,94.8943713636703,NA,NA,NA,67.6939663829676,80.2603825768148,94.8943713636703
2022,"Gray Junglefowl","2022",0.0244921759636129,0.0641852253535038,0.149478148205757,93.461355438131,128.997219625883,180.697198921423,72.2842282396039,84.4161433884981,97.7146633896309,NA,NA,NA,72.2842282396039,84.4161433884981,97.7146633896309
2023,"Gray Junglefowl","2023",0.024028178850794,0.0627154434914192,0.147103087039089,94.1412749134342,126.097227891609,179.571462115765,71.8153823766557,82.5420510773698,96.1377971299284,NA,NA,NA,71.8153823766557,82.5420510773698,96.1377971299284
2024,"Gray Junglefowl","2024",0.0193622885298865,0.0523399439248113,0.123639206466287,77.6794573331651,106.338376480637,152.051277532242,58.690482651551,69.4252787664008,79.940052778482,NA,NA,NA,58.690482651551,69.4252787664008,79.940052778482
2025,"Gray Junglefowl","2025",0.0207837438022386,0.0568144829655273,0.129033352508636,83.5522802830669,114.874110022313,163.898618733861,65.4286547623761,75.1556539903607,86.2416597657165,NA,NA,NA,65.4286547623761,75.1556539903607,86.2416597657165
2026,"Gray Junglefowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,64.439616428118,72.6886499319754,82.081142687445,64.439616428118,72.6886499319754,82.081142687445
2027,"Gray Junglefowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,61.7009614962247,70.8601618921267,81.5772737233366,61.7009614962247,70.8601618921267,81.5772737233366
2028,"Gray Junglefowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,59.0876208254727,69.0436312056882,81.1171004415556,59.0876208254727,69.0436312056882,81.1171004415556
2029,"Gray Junglefowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,56.5277486655903,67.3370095326491,80.5533901401923,56.5277486655903,67.3370095326491,80.5533901401923
2030,"Gray Junglefowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1179434757566,65.7091727092249,80.1347575276505,54.1179434757566,65.7091727092249,80.1347575276505
2031,"Gray Junglefowl","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,51.8055503035708,64.123288685438,79.6226456043793,51.8055503035708,64.123288685438,79.6226456043793
2032,"Gray Junglefowl","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,49.574966760656,62.4982685054011,79.1670800668223,49.574966760656,62.4982685054011,79.1670800668223
2033,"Gray Junglefowl","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.442238292871,60.9748392835086,78.6447377225709,47.442238292871,60.9748392835086,78.6447377225709
1997,"Jungle Bush-Quail","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Jungle Bush-Quail","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Jungle Bush-Quail","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Jungle Bush-Quail","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Jungle Bush-Quail","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Jungle Bush-Quail","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Jungle Bush-Quail","2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
