"timegroups","COMMON.NAME","timegroupsf","mean_trans","se_trans","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_comb_std","mean_comb_std","rci_comb_std"
1998,"Indian Peafowl","before 2000",-3.2630755099639,0.879975374648468,0.00679726101536531,0.0375474526444394,0.193249439746887,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Indian Peafowl","2000-2006",-3.08048883516903,0.837628513348396,0.00885577901789647,0.0448976730840935,0.211187950115737,12.0444412744652,119.575816525446,1246.95610709194,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Indian Peafowl","2007-2010",-2.1977880029102,0.74887173951816,0.0252647778174871,0.105104677727567,0.382396913300608,30.6156916300877,279.924922531681,2184.21833545489,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Indian Peafowl","2011-2012",-1.96875824002022,0.764976884235779,0.03069485158277,0.13032016057346,0.464939344640162,40.5737037409692,347.081230270252,3170.9892431312,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Indian Peafowl","2013",-2.02449945506002,0.760092094611912,0.0293304911462544,0.123711521215028,0.443358523942071,36.7379419733633,329.480464058456,2654.84324377789,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Indian Peafowl","2014",-1.79416470580339,0.712605751899032,0.0403013840783036,0.153179283541053,0.48932737456441,45.541261599022,407.961852942742,3198.45483031703,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Indian Peafowl","2015",-1.95246876586527,0.710539292187201,0.0346415351537454,0.132312162675777,0.435218643434195,46.7702632372969,352.386522539158,2859.52156660202,100,100,100,NA,NA,NA,100,100,100
2016,"Indian Peafowl","2016",-1.84110305207438,0.709625010088557,0.0387105544750615,0.146698502763496,0.471375216946954,41.5830151067546,390.70161204457,3494.73607796985,19.4983038467445,110.873029203651,702.191778050623,NA,NA,NA,19.4983038467445,110.873029203651,702.191778050623
2017,"Indian Peafowl","2017",-1.7936447289925,0.704734656964067,0.0409357918540841,0.153252510965093,0.484223993321928,45.7939042059457,408.156879286428,3005.26496386369,19.0756029411556,115.826472688402,703.9627911359,NA,NA,NA,19.0756029411556,115.826472688402,703.9627911359
2018,"Indian Peafowl","2018",-1.69859422588863,0.708237252696613,0.0446242567647353,0.167182306754799,0.519591049722783,56.5197552434416,445.256055951263,3502.66293118526,21.6268900057486,126.354450999693,712.565002809723,NA,NA,NA,21.6268900057486,126.354450999693,712.565002809723
2019,"Indian Peafowl","2019",-1.56604058923391,0.707238967178305,0.0508829736176505,0.188499723744295,0.566296284909749,73.7311819945844,502.030658455898,3949.32811200581,23.7569524713613,142.465907844166,799.646930939995,NA,NA,NA,23.7569524713613,142.465907844166,799.646930939995
2020,"Indian Peafowl","2020",-1.57025389150311,0.70857380552529,0.0505455524200136,0.187786764628453,0.565717739843057,61.2055592247317,500.131836923067,3773.41120356501,24.8575654676656,141.927061602503,814.980448080636,NA,NA,NA,24.8575654676656,141.927061602503,814.980448080636
2021,"Indian Peafowl","2021",-1.50784329631539,0.705923136996065,0.0539837558985922,0.198593467505026,0.586531191511832,71.0075666176646,528.913291097624,4340.373487846,26.3144515137993,150.094642464327,871.467813541639,NA,NA,NA,26.3144515137993,150.094642464327,871.467813541639
2022,"Indian Peafowl","2022",-1.5094901023996,0.702292337753349,0.0542716489884462,0.198301476903609,0.583332864893538,65.02360706728,528.135633544709,4669.40083019663,28.361221787686,149.873959349856,801.818805697071,NA,NA,NA,28.361221787686,149.873959349856,801.818805697071
2023,"Indian Peafowl","2023",-1.49277318457434,0.699595392421104,0.0554449177697373,0.201282946237848,0.587505503658471,57.2134505344229,536.076170450028,3466.94048299244,29.1333267913087,152.127319338797,775.692502723014,NA,NA,NA,29.1333267913087,152.127319338797,775.692502723014
2024,"Indian Peafowl","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.5248094598638,230.356132688057,562.032813318938,99.5248094598638,230.356132688057,562.032813318938
2025,"Indian Peafowl","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.5841636961564,252.020988704755,713.479265533431,95.5841636961564,252.020988704755,713.479265533431
2026,"Indian Peafowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.1542458570746,277.457531848952,916.727859708846,92.1542458570746,277.457531848952,916.727859708846
2027,"Indian Peafowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.2887773875604,307.377060639758,1190.82009494208,89.2887773875604,307.377060639758,1190.82009494208
2028,"Indian Peafowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9953044894192,342.655179916579,1562.86592609552,86.9953044894192,342.655179916579,1562.86592609552
2029,"Indian Peafowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.2625129001389,384.374000076833,2071.63760133934,85.2625129001389,384.374000076833,2071.63760133934
2030,"Indian Peafowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.0737107755371,433.876495846706,2772.95219565211,84.0737107755371,433.876495846706,2772.95219565211
1998,"Red Spurfowl","before 2000",-3.98286526370941,1.06704369901588,0.00229867742321008,0.0184596707269696,0.140024572840107,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Red Spurfowl","2000-2006",-4.70232401645187,1.06855428445973,0.00111684325483586,0.00903311809077874,0.0710356196193536,2.76896541030625,48.9343402944959,919.539663280429,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Red Spurfowl","2007-2010",-3.63715086130941,0.951676016645988,0.00406852978977533,0.0259837066448065,0.156348231554171,9.01279379629821,140.759318132605,1823.65351276538,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Red Spurfowl","2011-2012",-2.78041571976522,0.883286390846639,0.0109201874025384,0.0601290704204321,0.295471700774189,26.6437395040604,325.732085418964,5659.11009149324,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Red Spurfowl","2013",-4.00919397235287,1.08096822412337,0.0021787976723838,0.0179843335567573,0.140149599339289,5.84797291744577,97.4249964842667,2037.75895105574,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Red Spurfowl","2014",-3.49459443782406,0.83763317330529,0.00586182930519059,0.0299047915278218,0.145118382116988,11.7277064377602,162.000676881689,2238.2022511284,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Red Spurfowl","2015",-3.84726115424687,0.844950804561802,0.00406476006721032,0.0211120516775375,0.105765533381468,8.58676911415212,114.368517130117,1318.53376670991,100,100,100,NA,NA,NA,100,100,100
2016,"Red Spurfowl","2016",-4.2579505219124,0.871337931860467,0.00256177442737581,0.0140516167937072,0.0751018526345229,4.39688161550123,76.1206253434294,923.087548129104,6.54836405568492,66.5573247372149,766.184966971303,NA,NA,NA,6.54836405568492,66.5573247372149,766.184966971303
2017,"Red Spurfowl","2017",-3.67266697629744,0.82327142225848,0.00504777273900866,0.0250885331410475,0.119772139173155,10.819304616475,135.90997105053,2123.94703347261,11.5139568077611,118.835125663039,985.17535316679,NA,NA,NA,11.5139568077611,118.835125663039,985.17535316679
2018,"Red Spurfowl","2018",-3.76309548447242,0.842437778354004,0.00444267329774542,0.0229444563780406,0.113971110959613,10.3356244455785,124.295046847822,1450.21002228781,11.5840754161084,108.67942504353,1029.12810067268,NA,NA,NA,11.5840754161084,108.67942504353,1029.12810067268
2019,"Red Spurfowl","2019",-3.48304920073731,0.838217450351631,0.00592292891945535,0.03024674499247,0.14682851753183,10.3149710579132,163.85311222415,2398.63122637785,13.6455468785534,143.267672201899,1644.36724844102,NA,NA,NA,13.6455468785534,143.267672201899,1644.36724844102
2020,"Red Spurfowl","2020",-3.46565413349475,0.843894500855557,0.00596005951637476,0.0307692422945002,0.150739308562695,11.5047988986167,166.683592300194,2116.69457474584,15.7257224622146,145.742549158487,1277.60225924173,NA,NA,NA,15.7257224622146,145.742549158487,1277.60225924173
2021,"Red Spurfowl","2021",-3.71574189235996,0.83076150392934,0.0047651714093957,0.0240436126897048,0.116622828473255,7.67526271105199,130.249412599636,1558.42969003264,12.4555358187134,113.885722983932,1075.46519498626,NA,NA,NA,12.4555358187134,113.885722983932,1075.46519498626
2022,"Red Spurfowl","2022",-3.58018555885103,0.82463881306136,0.00552073447492706,0.0274857261850665,0.130912142516411,13.4271754858498,148.896080496765,1999.13422426396,12.994521270062,130.189744724386,1154.87697146958,NA,NA,NA,12.994521270062,130.189744724386,1154.87697146958
2023,"Red Spurfowl","2023",-3.69719923000183,0.799888071630315,0.0051561583349413,0.0244880495861788,0.112109100802165,10.589310591008,132.657022697603,1788.7298016902,13.025503605418,115.990856597956,952.836934114974,NA,NA,NA,13.025503605418,115.990856597956,952.836934114974
2024,"Red Spurfowl","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.7151360878136,247.151114940863,839.703948776178,79.7151360878136,247.151114940863,839.703948776178
2025,"Red Spurfowl","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.671743724001,277.743991999706,1166.96731296878,74.671743724001,277.743991999706,1166.96731296878
2026,"Red Spurfowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5070192108009,316.469132751986,1662.11916616047,70.5070192108009,316.469132751986,1662.11916616047
2027,"Red Spurfowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.202508543629,365.693188974906,2423.19818090232,67.202508543629,365.693188974906,2423.19818090232
2028,"Red Spurfowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.7081670025294,428.627796061704,3613.29144765493,64.7081670025294,428.627796061704,3613.29144765493
2029,"Red Spurfowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.9717126011071,509.659487917137,5507.30515309998,62.9717126011071,509.659487917137,5507.30515309998
2030,"Red Spurfowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.9511407855663,614.819753524575,8574.81845554795,61.9511407855663,614.819753524575,8574.81845554795
1998,"Gray Junglefowl","before 2000",-3.56458862068357,0.983372114477081,0.00411113118648389,0.0279116938244408,0.176776854875694,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Gray Junglefowl","2000-2006",-2.97250215521659,0.872757319460118,0.00920758155023058,0.0498877105503502,0.246567777961863,15.7041137792686,178.734084947099,2367.76238708636,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Gray Junglefowl","2007-2010",-2.8425567111833,0.866200320479445,0.0106133817139469,0.0566109160880141,0.272605472158893,18.5104660483161,202.82149999239,2174.12477651774,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Gray Junglefowl","2011-2012",-3.0414608170741,0.888514576926678,0.00833633086113874,0.0466422597331466,0.238556539472615,15.3991835284418,167.10651824471,1865.72473065004,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Gray Junglefowl","2013",-3.17604710467393,0.91960624472758,0.00686090689854039,0.0408908213106519,0.223678889871315,11.0953820358651,146.500680208974,1940.46130062442,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Gray Junglefowl","2014",-3.23818193521267,0.839096471784098,0.00754706545341029,0.0384754318312993,0.18388694028809,13.6149821219989,137.846997295479,1579.13751402685,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Gray Junglefowl","2015",-3.29896102803597,0.823849605174463,0.00731830442722311,0.0362482207109789,0.169385851753709,11.2589659097683,129.867506210742,1385.32625494911,100,100,100,NA,NA,NA,100,100,100
2016,"Gray Junglefowl","2016",-2.88898196896576,0.815094554927569,0.0111960792592609,0.0541136170468744,0.240341734050329,20.6911416854137,193.874357418932,2059.98694647216,16.469333234053,149.286271120293,1474.20415340656,NA,NA,NA,16.469333234053,149.286271120293,1474.20415340656
2017,"Gray Junglefowl","2017",-3.27700230349563,0.814492291648739,0.0076180991864683,0.0370379000002579,0.169944462074533,9.4035529406022,132.696712113637,1586.74502324568,11.6115512374536,102.17853255633,948.433812071309,NA,NA,NA,11.6115512374536,102.17853255633,948.433812071309
2018,"Gray Junglefowl","2018",-3.28350022038022,0.821217362152532,0.00747020355771118,0.036802480642933,0.170980557302009,11.5433255677804,131.853268649383,1426.40012512554,12.0641801094864,101.529067968255,1059.40023547877,NA,NA,NA,12.0641801094864,101.529067968255,1059.40023547877
2019,"Gray Junglefowl","2019",-2.98435830773793,0.820783890134707,0.0100704366958779,0.0493144706351442,0.223285479041795,15.9445951310727,176.680322395777,2101.40852680072,13.4713040495084,136.046596682214,1523.59769414209,NA,NA,NA,13.4713040495084,136.046596682214,1523.59769414209
2020,"Gray Junglefowl","2020",-3.37773083244843,0.832710072719396,0.00664974549173066,0.0335491177354137,0.160154137894731,11.9688475770208,120.197355081463,1234.93337387664,9.97847759223235,92.553833201673,840.718944997639,NA,NA,NA,9.97847759223235,92.553833201673,840.718944997639
2021,"Gray Junglefowl","2021",-3.35918222023531,0.822568331942037,0.00690934242104898,0.0341663613843692,0.159959405219177,10.1694574357739,122.40877103077,1624.67282869717,10.0492862717107,94.2566578834057,773.979374360946,NA,NA,NA,10.0492862717107,94.2566578834057,773.979374360946
2022,"Gray Junglefowl","2022",-3.18870237295861,0.809579105727524,0.00839858966236208,0.040387125280825,0.182502776363859,13.5669018843272,144.696074465607,1526.58824453292,13.1095352683918,111.418228229317,1109.29465425272,NA,NA,NA,13.1095352683918,111.418228229317,1109.29465425272
2023,"Gray Junglefowl","2023",-3.37344514363475,0.802744535731797,0.00708075103157176,0.0336907524432909,0.152350456726321,10.445001328842,120.704793679664,1275.22584216064,9.89814277664856,92.9445688159986,888.098319980447,NA,NA,NA,9.89814277664856,92.9445688159986,888.098319980447
2024,"Gray Junglefowl","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9301796863849,147.51227824317,479.307182689106,49.9301796863849,147.51227824317,479.307182689106
2025,"Gray Junglefowl","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.0976110994831,149.83068699728,592.032343082226,43.0976110994831,149.83068699728,592.032343082226
2026,"Gray Junglefowl","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.533347351098,153.723208515764,743.700754347435,37.533347351098,153.723208515764,743.700754347435
2027,"Gray Junglefowl","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0343768976722,159.320780589488,948.4532236166,33.0343768976722,159.320780589488,948.4532236166
2028,"Gray Junglefowl","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.4104704379026,166.809066112154,1226.60235801845,29.4104704379026,166.809066112154,1226.60235801845
2029,"Gray Junglefowl","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4994130147943,176.437642724044,1607.34197005651,26.4994130147943,176.437642724044,1607.34197005651
2030,"Gray Junglefowl","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1686195889027,188.532554990399,2132.81737278703,24.1686195889027,188.532554990399,2132.81737278703
1998,"Nilgiri Wood-Pigeon","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Nilgiri Wood-Pigeon","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Nilgiri Wood-Pigeon","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Nilgiri Wood-Pigeon","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Nilgiri Wood-Pigeon","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Nilgiri Wood-Pigeon","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Nilgiri Wood-Pigeon","2015",-6.099995668064,1.0254118129598,0.000300532965822954,0.00224036406528258,0.0165968081348235,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Nilgiri Wood-Pigeon","2016",-5.05157479322371,0.92896469305182,0.00103550756767891,0.00637881643260378,0.0387547575824734,NA,NA,NA,17.5237671346734,284.722315067092,4492.82462595353,NA,NA,NA,17.5237671346734,284.722315067092,4492.82462595353
2017,"Nilgiri Wood-Pigeon","2017",-5.48391584256652,0.934469901125509,0.000664942882240614,0.00414442325878026,0.025596700582791,NA,NA,NA,12.6651185396828,184.988829405167,2538.44095972207,NA,NA,NA,12.6651185396828,184.988829405167,2538.44095972207
2018,"Nilgiri Wood-Pigeon","2018",-4.63690762370137,0.887463824397382,0.00169989758994945,0.00964083536647102,0.0536682976284931,NA,NA,NA,32.2899770349346,430.324495731233,6478.10646447143,NA,NA,NA,32.2899770349346,430.324495731233,6478.10646447143
2019,"Nilgiri Wood-Pigeon","2019",-5.07462984985615,0.94494956440521,0.000980721965961085,0.00623388889117338,0.0390704208295493,NA,NA,NA,15.1924071069529,278.253386928302,4232.49490153794,NA,NA,NA,15.1924071069529,278.253386928302,4232.49490153794
2020,"Nilgiri Wood-Pigeon","2020",-5.02667832302318,0.924935079125031,0.00107001102983745,0.00653909296892913,0.0394058937873658,NA,NA,NA,19.5600161145666,291.876354841656,4450.85386852115,NA,NA,NA,19.5600161145666,291.876354841656,4450.85386852115
2021,"Nilgiri Wood-Pigeon","2021",-5.81001099583236,0.979011234445899,0.00043984288379576,0.00299290940347703,0.0202147542386781,NA,NA,NA,7.1850557623434,133.590314621455,2322.15956006666,NA,NA,NA,7.1850557623434,133.590314621455,2322.15956006666
2022,"Nilgiri Wood-Pigeon","2022",-5.48363552440059,0.876771100360971,0.000744737042312763,0.00414558276700078,0.0228975876760548,NA,NA,NA,12.3500091745937,185.040584753259,3214.49994198295,NA,NA,NA,12.3500091745937,185.040584753259,3214.49994198295
2023,"Nilgiri Wood-Pigeon","2023",-5.71641919354567,0.875431790857411,0.000591670058766129,0.00328606499525267,0.0181386275398153,NA,NA,NA,10.7306106157298,146.675491103193,2241.09065760598,NA,NA,NA,10.7306106157298,146.675491103193,2241.09065760598
2024,"Nilgiri Wood-Pigeon","2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.5421553304156,387.940808502312,1828.02696959679,96.5421553304156,387.940808502312,1828.02696959679
2025,"Nilgiri Wood-Pigeon","2025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.1976325231364,413.577618316637,2557.05147393354,83.1976325231364,413.577618316637,2557.05147393354
2026,"Nilgiri Wood-Pigeon","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.4507721480828,446.574747043203,3674.48764519591,72.4507721480828,446.574747043203,3674.48764519591
2027,"Nilgiri Wood-Pigeon","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.869723663304,488.241155900908,5411.35438604824,63.869723663304,488.241155900908,5411.35438604824
2028,"Nilgiri Wood-Pigeon","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.0507020999925,540.283934243219,8152.40503801023,57.0507020999925,540.283934243219,8152.40503801023
2029,"Nilgiri Wood-Pigeon","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.652987825594,604.910763003681,12545.0667538212,51.652987825594,604.910763003681,12545.0667538212
2030,"Nilgiri Wood-Pigeon","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.4016669800883,684.966317059125,19690.1947636369,47.4016669800883,684.966317059125,19690.1947636369
1998,"Gray-fronted Green-Pigeon","before 2000",-2.61300300216575,0.84526813853448,0.0138882350941983,0.0706910658401244,0.319087099131119,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Gray-fronted Green-Pigeon","2000-2006",-2.6324618944358,0.822401848799199,0.0142423788665562,0.0693771919744976,0.302599291141647,11.9629363124014,98.141386255799,825.440304272857,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Gray-fronted Green-Pigeon","2007-2010",-2.20775928905024,0.796609848562372,0.0228083483823397,0.104118143743219,0.407809224542655,18.4421989312702,147.286142181947,1163.03891170235,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Gray-fronted Green-Pigeon","2011-2012",-2.66982167926747,0.819318596263639,0.0138063129964785,0.0669202226480025,0.291841622957407,11.3629248914845,94.6657429092241,987.034031313825,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Gray-fronted Green-Pigeon","2013",-2.37722956501613,0.831272798235601,0.0180319747997451,0.0886309307698513,0.377083659473754,15.2485801258807,125.377839075591,1075.95305167203,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Gray-fronted Green-Pigeon","2014",-2.33992886014759,0.781948565911314,0.0205903520902845,0.0918398063418551,0.359852392276925,15.1086013653086,129.917133445916,1023.47812411925,NA,NA,NA,NA,NA,NA,NA,NA,NA
