"LOCALITY.ID","group.id","month","timegroups"
"L2769974","S17835928",12,"2000-2006"
"L2769974","S17835893",12,"2000-2006"
"L2782079","S19464725",2,"2000-2006"
"L2782079","S19463052",2,"2000-2006"
"L2782079","S19463053",2,"2000-2006"
"L2790773","G1149602",5,"2000-2006"
"L2790773","G1149754",5,"2000-2006"
"L3025542","S25380201",3,"2000-2006"
"L3025542","S23642930",11,"2000-2006"
"L3025542","S19463054",2,"2000-2006"
"L3025542","S19463040",2,"2000-2006"
"L3035261","S19464087",2,"2000-2006"
"L3035537","S19464651",2,"2000-2006"
"L3118444","S25379649",3,"2000-2006"
"L3118444","S116586926",11,"2000-2006"
"L3303055","S23626948",9,"2000-2006"
"L3348790","G1149592",11,"2000-2006"
"L3348877","S21741205",11,"2000-2006"
"L3348946","G1149599",12,"2000-2006"
"L3386227","G1149600",4,"2000-2006"
"L3386617","G1149751",5,"2000-2006"
"L3386756","S21907227",5,"2000-2006"
"L3952071","S25377431",3,"2000-2006"
"L967292","S117339331",12,"2000-2006"
"L10226290","G5982559",1,"2000-2006"
"L10226290","S26104956",12,"2000-2006"
"L10226290","G9214435",1,"2000-2006"
"L10226290","G5982551",1,"2000-2006"
"L10226290","S66333757",11,"2000-2006"
"L1062323","S26103537",12,"2000-2006"
"L1062323","S98344485",1,"2000-2006"
"L1062323","S26103449",11,"2000-2006"
"L11041211","S66316461",11,"2000-2006"
"L11041211","S67150033",11,"2000-2006"
"L1233913","G6007041",1,"2000-2006"
"L1233913","S26105031",12,"2000-2006"
"L1233913","S120779908",12,"2000-2006"
"L1233913","S17511177",12,"2000-2006"
"L1234036","S120774139",12,"2000-2006"
"L1234036","S17920784",1,"2000-2006"
"L1234036","S120779125",12,"2000-2006"
"L1234036","S120833661",12,"2000-2006"
"L12892129","G6003746",1,"2000-2006"
"L12892981","G5982398",1,"2000-2006"
"L12939294","G6003737",1,"2000-2006"
"L12939294","S120772076",12,"2000-2006"
"L12939589","S77480952",1,"2000-2006"
"L12940905","G6004458",1,"2000-2006"
"L12940922","G6004471",1,"2000-2006"
"L14584247","S120771543",12,"2000-2006"
"L1883193","G6004211",1,"2000-2006"
"L1883193","S17535343",12,"2000-2006"
"L20289020","S115728456",5,"2000-2006"
"L21237341","S120714158",12,"2000-2006"
"L21237341","S120687304",12,"2000-2006"
"L21237341","S120723725",12,"2000-2006"
"L21237341","S120666073",12,"2000-2006"
"L21257020","S120772625",12,"2000-2006"
"L21257020","S120774502",12,"2000-2006"
"L2136709","S17530332",12,"2000-2006"
"L2136709","S122646569",3,"2000-2006"
"L2136709","S17530334",12,"2000-2006"
"L2136709","S17530333",12,"2000-2006"
"L2285281","S26092992",11,"2000-2006"
"L2285281","S26105332",12,"2000-2006"
"L2285281","S122646113",3,"2000-2006"
"L2285281","S26105255",12,"2000-2006"
"L22387029","S157060790",11,"2000-2006"
"L2286170","S26105198",12,"2000-2006"
"L2286170","S120781043",12,"2000-2006"
"L2286384","S26105373",12,"2000-2006"
"L2286384","S26105536",12,"2000-2006"
"L2285780","S23939329",9,"2000-2006"
"L2285878","S26105085",12,"2000-2006"
"L2286170","G6004271",1,"2000-2006"
"L2286170","S17511178",12,"2000-2006"
"L2286170","S23718211",9,"2000-2006"
"L2286170","S120833921",12,"2000-2006"
"L2286384","G6004385",1,"2000-2006"
"L2286384","S26093044",11,"2000-2006"
"L2286384","S26103331",11,"2000-2006"
"L2286405","S26105451",12,"2000-2006"
"L2286405","S26103370",11,"2000-2006"
"L2286405","G6004397",1,"2000-2006"
"L2286405","S26105167",12,"2000-2006"
"L2596738","S26105391",12,"2000-2006"
"L2596738","S26093125",11,"2000-2006"
"L2596738","S80498555",3,"2000-2006"
"L2596738","S80498807",3,"2000-2006"
"L2596738","S23980497",11,"2000-2006"
"L2725524","S17537100",12,"2000-2006"
"L2747557","G6007042",1,"2000-2006"
"L2747557","S120780414",12,"2000-2006"
"L2769974","G6003758",1,"2000-2006"
"L2769974","G6003753",1,"2000-2006"
"L2769974","S17836177",1,"2000-2006"
"L2782079","S17932082",1,"2000-2006"
"L2782079","G5982484",1,"2000-2006"
"L2782079","S66362140",11,"2000-2006"
"L2782079","G5982437",1,"2000-2006"
"L2782079","S17921091",1,"2000-2006"
"L2782079","G5982610",1,"2000-2006"
"L2782079","G5982461",1,"2000-2006"
"L2782079","G5982594",1,"2000-2006"
"L2782079","G5982694",1,"2000-2006"
"L3025542","S26093188",11,"2000-2006"
"L3025542","S26105290",12,"2000-2006"
"L3025542","S23940181",11,"2000-2006"
"L3025542","S120834089",12,"2000-2006"
"L3056540","S100271189",5,"2000-2006"
"L3118444","S23718480",1,"2000-2006"
"L3121903","S91775661",3,"2000-2006"
"L3175340","S58137607",5,"2000-2006"
"L3303055","S23928216",8,"2000-2006"
"L3303055","S23928255",9,"2000-2006"
"L3319481","S98348661",2,"2000-2006"
"L3356519","S120619018",12,"2000-2006"
"L3386227","G6007072",1,"2000-2006"
"L3386617","S100269947",5,"2000-2006"
"L3538456","S120827530",12,"2000-2006"
"L3538456","S120721894",12,"2000-2006"
"L3538456","S120687445",12,"2000-2006"
"L3538456","S120666192",12,"2000-2006"
"L3836009","S98348488",2,"2000-2006"
"L4072061","G6007074",1,"2000-2006"
"L4072061","G5982366",1,"2000-2006"
"L4072061","G6004305",1,"2000-2006"
"L4072061","G6003793",1,"2000-2006"
"L4072061","G5982722",1,"2000-2006"
"L4072061","G5982367",1,"2000-2006"
"L4072061","G6006958",1,"2000-2006"
"L4072061","G6004320",1,"2000-2006"
"L7849485","S98746754",3,"2000-2006"
"L9542766","S98348347",2,"2000-2006"
"L967292","S26105107",12,"2000-2006"
"L967292","S66376473",11,"2000-2006"
"L10226290","S81927724",1,"2000-2006"
"L10226290","S81921889",1,"2000-2006"
"L1062323","S82809365",1,"2000-2006"
"L12384563","S74169112",1,"2000-2006"
"L1233913","S84591793",1,"2000-2006"
"L1234036","S74171457",1,"2000-2006"
"L1234036","S126216981",1,"2000-2006"
"L1234036","S120927284",1,"2000-2006"
"L12939294","S84847276",1,"2000-2006"
"L12939294","S83002058",1,"2000-2006"
"L12939294","S80471583",1,"2000-2006"
"L13743617","S81859665",1,"2000-2006"
"L1883193","S74160114",1,"2000-2006"
"L1982939","S82859680",1,"2000-2006"
"L2036884","S117851679",12,"2000-2006"
"L20725520","S117841826",1,"2000-2006"
"L21237341","S120927224",1,"2000-2006"
"L21268508","S120836740",1,"2000-2006"
"L2136709","S74159971",1,"2000-2006"
"L2136709","S81929295",1,"2000-2006"
"L22217695","S126386682",1,"2000-2006"
"L22231956","S126322083",1,"2000-2006"
"L22217695","S126241040",1,"2000-2006"
"L2286170","S83012582",1,"2000-2006"
"L2285878","S83181052",1,"2000-2006"
"L2285878","S120836521",1,"2000-2006"
"L2286170","S23981309",4,"2000-2006"
"L2286170","S24165854",9,"2000-2006"
"L2286384","S117846881",3,"2000-2006"
"L2286384","S83008754",1,"2000-2006"
"L2286384","S120837272",1,"2000-2006"
"L2286405","S80460732",1,"2000-2006"
"L2596738","S84830229",1,"2000-2006"
"L2596738","S83175274",1,"2000-2006"
"L2596738","S120837462",1,"2000-2006"
"L2637937","S83174887",1,"2000-2006"
"L2782079","S81866065",1,"2000-2006"
"L2782079","S81860816",1,"2000-2006"
"L2782079","S81926335",1,"2000-2006"
"L2782079","S81878499",1,"2000-2006"
"L2782079","S82681546",1,"2000-2006"
"L2921366","S117850043",9,"2000-2006"
"L2921366","S117849715",4,"2000-2006"
"L3018388","S120927165",1,"2000-2006"
"L3025542","S84839160",1,"2000-2006"
"L3025542","S74168271",1,"2000-2006"
"L3025542","S120927052",1,"2000-2006"
"L3121903","S24768876",12,"2000-2006"
"L3199176","S74160071",1,"2000-2006"
"L3201078","S83124850",1,"2000-2006"
"L3201078","S117846636",3,"2000-2006"
"L3348946","S117848609",3,"2000-2006"
"L37390606","S199943626",10,"2000-2006"
"L37390606","S199943825",10,"2000-2006"
"L37390606","S199202512",7,"2000-2006"
"L37390702","S199203348",7,"2000-2006"
"L37390606","S199203531",7,"2000-2006"
"L37391042","S199205733",10,"2000-2006"
"L37539028","S199944105",10,"2000-2006"
"L6725495","S120927129",1,"2000-2006"
"L967292","S120927355",1,"2000-2006"
"L967292","S74169844",1,"2000-2006"
